GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
3803519-18,284,139,139,234.6,66.1,167.5,239.5,104.3,133.5,245.2,55.2,162.9,243.1,37.2,185.2,246.2,34.3,200.1
3803519-19,212,99,110,203.9,54.4,148.4,207.7,87.4,118.7,211.5,45.6,140.1,211.0,30.2,161.6,213.2,25.8,175.8
3803519-20,374,141,228,367.0,101.9,264.1,375.7,161.2,211.5,399.5,86.8,274.2,397.5,57.6,323.1,399.5,53.3,327.8
3803519-21,337,125,204,298.7,82.9,215.0,305.9,131.2,172.2,325.2,70.7,223.2,323.5,46.9,263.0,325.2,43.4,266.8
3803519-22,271,121,147,275.4,76.5,198.2,281.9,121.0,158.7,299.8,65.1,205.7,298.3,43.3,242.4,299.8,40.0,246.0
3803519-23,439,200,225,431.6,137.5,293.2,442.8,209.3,231.8,459.2,114.2,307.0,448.8,79.6,337.3,456.6,83.9,358.0
3803519-24,192,83,101,153.9,42.7,110.7,157.5,67.6,88.7,167.5,36.4,114.9,166.6,24.2,135.4,167.5,22.4,137.4
3803519-25,255,90,162,228.7,55.4,173.0,233.9,91.9,139.9,240.9,53.3,163.3,239.9,40.0,190.8,241.6,34.8,199.8
3803519-26,153,52,96,191.5,46.4,144.9,195.9,77.0,117.2,201.7,44.6,136.7,200.9,33.5,159.8,202.3,29.2,167.3
3803519-27,292,110,175,295.6,73.8,221.3,301.9,121.2,178.4,310.9,69.7,210.8,309.3,50.8,247.5,312.0,46.0,256.7
3803519-28,356,160,185,380.0,106.5,273.0,386.3,168.8,217.0,397.5,93.8,270.2,394.0,60.3,323.2,399.5,64.5,322.0
3803519-29,570,285,277,586.5,164.4,421.4,596.2,260.5,334.9,613.6,144.7,417.1,608.1,93.0,498.9,616.6,99.6,497.0
3803519-30,476,211,257,494.7,138.6,355.4,502.8,219.7,282.5,517.4,122.0,351.8,512.9,78.4,420.8,520.1,84.0,419.2
3803542-31,875,464,393,784.6,310.3,470.1,820.8,453.3,359.1,874.6,305.3,472.6,850.2,227.9,572.7,867.9,209.4,614.7
3803542-32,1612,887,703,631.9,287.1,342.5,660.0,378.3,275.4,1073.0,440.9,473.9,979.2,324.6,584.2,1021.1,316.6,625.1
3803542-33,962,493,452,341.6,148.9,191.7,357.2,196.0,158.6,672.0,254.8,329.9,589.6,170.0,382.1,624.5,175.3,401.4
3803542-34,1292,708,569,463.8,203.7,258.7,484.9,267.5,213.9,908.4,348.0,440.6,799.0,234.5,513.0,845.5,240.6,539.7
3803542-35,1225,706,492,743.7,322.4,416.1,776.9,450.0,323.1,948.8,381.4,455.2,883.1,272.2,558.5,901.6,285.5,571.0
3803542-36,645,371,258,427.0,193.3,230.0,447.2,263.9,178.2,524.9,212.4,244.8,495.3,158.7,304.3,504.3,163.4,310.5
3803543-37,1307,658,629,1134.0,476.0,657.0,1171.0,663.0,502.0,1229.0,506.0,614.0,1189.0,336.0,815.0,1207.0,372.0,802.0
3803543-38,576,291,279,460.6,187.6,272.4,482.5,272.7,207.7,520.5,199.4,273.0,502.4,127.6,355.8,516.1,132.4,363.5
3803543-39,697,410,275,483.6,237.6,246.1,500.0,321.1,176.9,550.2,232.4,245.4,520.2,162.5,338.1,535.2,163.2,346.6
3803543-40,654,388,257,469.4,240.4,228.9,483.0,307.9,172.1,513.8,221.6,226.6,480.8,173.5,284.9,494.8,164.8,300.4
3803543-41,1118,491,609,953.2,388.2,563.8,998.7,564.4,429.9,1077.3,412.7,565.0,1039.8,264.1,736.4,1068.1,273.9,752.4
3803543-42,1053,530,505,818.0,339.0,478.0,851.6,495.8,352.0,845.1,354.7,412.0,811.6,256.8,524.5,828.3,255.7,547.7
3803543-43,854,550,286,833.2,344.3,487.8,868.3,503.1,361.4,874.1,361.2,431.9,840.2,256.5,552.3,858.6,257.0,574.4
3803731-01,108,35,67,113.0,16.5,96.4,113.5,26.7,86.6,118.8,12.7,99.0,120.2,11.8,105.2,121.3,7.5,109.5
3803731-02,449,140,291,432.7,65.3,366.0,442.9,110.8,329.7,472.3,63.1,383.0,473.0,51.6,409.8,477.8,33.1,425.2
3803731-03,546,167,374,498.4,96.8,401.3,504.3,154.7,346.3,561.2,83.0,440.6,567.0,68.1,485.4,572.2,50.3,504.1
3803731-04,220,63,141,208.9,27.4,181.4,207.3,44.7,162.4,228.6,26.3,185.5,233.8,20.6,208.6,234.6,17.1,212.1
3803923-01,183,97,81,203.9,57.3,146.5,200.7,80.4,120.3,213.4,45.4,139.4,211.1,52.6,152.1,209.5,33.5,164.9
3803923-02,290,139,148,217.6,57.1,160.5,229.1,100.6,126.8,270.5,70.9,177.4,273.6,60.7,206.1,276.8,43.1,224.6
3803923-03,317,141,166,305.4,87.2,218.2,312.4,147.5,164.5,285.6,71.8,187.6,292.2,62.9,220.6,294.0,44.7,242.6
3803923-04,196,57,132,179.2,31.7,147.5,186.0,66.8,119.0,193.5,30.7,147.4,193.6,30.3,158.6,195.8,18.1,174.1
3803923-05,53,20,32,52.2,7.9,44.3,54.3,18.1,36.2,56.9,7.7,44.8,56.9,7.9,47.6,57.6,4.2,52.5
3803923-06,183,114,66,159.8,51.7,108.1,164.5,83.3,79.9,164.5,49.7,100.1,165.2,43.0,118.2,166.5,34.9,125.6
3803923-07,92,30,57,77.9,24.1,53.8,79.0,37.2,41.3,80.6,21.8,50.3,80.5,20.6,57.8,80.7,15.6,61.8
3804131-01,652,201,427,627.5,81.4,546.1,638.0,134.2,500.5,664.6,86.0,546.3,652.5,75.9,552.2,666.1,46.7,591.8
3804131-02,223,47,170,182.4,20.6,161.8,186.0,37.8,146.5,222.4,18.0,187.8,216.5,17.2,196.8,218.8,7.3,207.1
3804136-03,473,158,296,438.9,73.0,364.0,445.0,102.0,341.0,409.0,64.0,316.0,418.0,50.0,355.0,411.0,34.0,361.0
3804314-01,136,57,67,117.0,29.0,87.0,120.0,44.0,74.0,123.0,31.0,80.0,124.0,22.0,97.0,125.0,23.0,97.0
3804314-02,86,37,45,81.0,20.0,61.0,83.0,37.0,46.0,85.0,19.0,60.0,86.0,21.0,63.0,86.0,12.0,71.0
3804314-03,84,31,49,76.0,24.0,52.0,76.0,40.0,36.0,74.0,14.0,54.0,76.0,15.0,59.0,77.0,10.0,63.0
3804314-04,573,202,347,597.0,113.0,484.0,603.0,164.0,437.0,653.0,79.0,534.0,655.9,86.0,553.0,665.0,44.0,591.0
3804314-05,116,33,79,134.0,16.0,117.0,129.0,25.0,104.0,135.0,10.0,118.0,136.0,10.0,122.0,137.0,4.0,127.0
3804314-06,233,62,165,269.0,38.0,231.0,269.0,54.0,214.0,306.0,26.0,265.0,307.0,24.0,273.0,308.0,24.0,275.0
3804526-01,431,154,257,382.3,110.6,271.6,392.2,171.5,220.8,418.5,99.6,287.9,421.1,72.4,340.9,425.8,60.3,355.0
3804526-02,167,76,85,174.5,50.5,124.0,179.0,78.2,100.8,191.0,45.5,131.4,192.2,33.0,155.6,194.3,27.5,162.0
3804528-03,466,177,279,406.5,110.2,295.7,413.0,162.0,249.2,431.8,88.9,302.2,430.6,67.2,352.3,433.6,52.4,364.7
3804528-04,295,93,196,283.5,76.8,206.3,288.0,113.0,173.8,301.1,62.0,210.8,300.3,46.9,245.7,302.4,36.6,254.3
3804528-05,198,54,134,193.0,37.0,156.0,195.0,60.0,135.0,201.0,29.0,159.0,206.0,17.0,186.0,207.0,9.0,192.0
3804529-06,222,101,119,151.1,43.7,107.4,155.1,67.8,87.3,165.4,39.4,113.8,166.5,28.6,134.8,168.4,23.8,140.4
3804529-07,56,21,33,74.2,24.1,50.2,75.8,34.8,40.0,74.8,23.6,46.4,75.8,17.7,56.0,76.2,14.1,58.9
3804529-08,159,79,77,153.0,49.6,103.3,156.3,71.7,82.4,154.0,48.5,95.6,156.3,36.4,115.4,157.0,29.1,121.3
3804529-09,247,113,130,209.9,67.4,142.5,214.5,98.0,113.9,213.2,65.4,133.9,216.1,48.9,161.3,217.3,39.2,169.4
3804728-01,260,63,187,256.0,37.0,219.0,255.0,57.0,196.0,279.1,17.0,242.0,288.1,18.0,263.0,283.1,11.0,263.0
3804728-02,381,99,273,378.0,55.0,323.0,378.0,75.0,302.0,412.0,46.0,347.0,419.0,37.0,375.0,424.0,27.0,392.0
3804728-03,286,102,177,220.0,46.0,172.0,218.0,74.0,143.0,231.0,41.0,172.0,237.0,32.0,191.0,238.0,27.0,198.0
3804728-04,61,15,42,53.0,8.0,45.0,57.0,7.0,49.0,62.0,3.0,57.0,64.0,6.0,58.0,65.0,1.0,63.0
3804728-05,69,20,47,71.0,7.0,64.0,69.0,15.0,51.0,83.0,7.0,70.0,82.0,3.0,77.0,82.0,6.0,73.0
3804907-16,142,36,105,175.0,22.0,153.0,173.0,39.0,133.0,198.0,14.0,159.0,202.0,18.0,176.0,203.0,10.0,180.0
3804907-18,515,215,286,532.4,108.0,424.4,531.4,166.6,360.2,551.9,88.4,410.4,561.2,86.5,457.9,566.7,65.2,479.3
3804907-27,148,48,98,139.0,31.0,108.0,142.0,53.0,88.0,183.0,33.0,134.0,184.0,30.0,148.0,183.0,17.0,156.0
3804907-41,260,85,164,307.6,65.1,242.6,308.6,89.4,215.8,361.2,40.6,271.6,358.8,40.4,303.1,360.3,29.9,308.7
3804907-47,776,347,417,845.0,224.0,619.0,836.9,332.0,503.0,903.7,191.0,627.9,918.0,145.0,746.0,913.0,101.0,787.0
3804907-55,226,126,94,190.0,51.0,139.0,192.0,86.0,106.0,219.0,61.0,138.0,219.0,50.0,160.0,222.0,39.0,167.0
3804907-58,171,57,108,206.0,38.0,168.0,205.0,62.0,143.0,219.9,32.0,169.0,225.0,25.0,193.0,223.0,15.0,198.0
3804907-62,178,67,102,163.0,28.0,135.0,164.0,51.0,110.0,183.1,30.0,140.0,185.0,32.0,151.0,185.0,19.0,157.0
3805128-01,483,200,273,379.0,65.0,313.0,386.0,122.0,262.0,405.9,56.0,324.0,410.0,46.0,355.0,410.0,30.0,366.0
3805128-02,213,98,108,224.0,56.0,168.0,226.0,84.0,141.0,208.0,35.0,160.0,205.0,36.0,166.0,208.0,21.0,181.0
3805128-03,72,36,34,70.0,16.0,54.0,75.0,42.0,32.0,68.0,23.0,40.0,71.0,13.0,57.0,69.0,5.0,61.0
3805128-04,467,157,296,469.0,75.0,394.0,460.0,142.0,318.0,448.0,82.0,315.0,465.0,56.0,398.0,471.0,36.0,429.0
3805128-05,142,44,95,149.5,20.2,128.3,149.7,44.4,103.3,152.8,22.2,121.5,155.6,13.1,137.5,155.7,7.1,146.5
3805128-06,155,44,110,147.4,20.8,126.7,158.3,32.7,125.7,163.3,16.8,139.5,152.4,9.9,139.5,159.3,10.9,143.5
3805304-01,182,160,22,214.3,186.6,26.8,218.2,201.9,15.3,234.4,175.1,39.2,223.9,156.0,58.4,225.8,126.3,81.3
3805304-02,205,184,20,246.7,205.4,40.2,249.8,225.1,24.7,187.6,139.9,22.8,184.1,127.0,43.6,182.2,109.7,57.7
3805339-03,177,67,107,99.0,10.0,89.0,99.0,15.0,84.0,122.0,13.0,104.0,122.0,11.0,107.0,122.0,10.0,109.0
3805339-04,95,23,72,321.5,53.7,266.7,328.4,65.7,260.8,401.1,32.9,340.4,401.1,25.9,356.3,399.1,20.9,355.3
3805339-05,258,62,187,239.5,29.3,210.3,240.6,44.3,196.2,265.9,15.1,232.6,263.9,18.1,238.7,265.9,15.1,240.7
3805339-06,149,40,106,81.0,10.0,71.0,84.0,19.0,65.0,93.0,2.0,84.0,92.0,6.0,85.0,94.0,2.0,88.0
3805339-07,70,4,65,123.0,23.0,100.0,128.0,30.0,98.0,166.0,17.0,144.0,159.0,13.0,144.0,166.0,7.0,156.0
3805339-08,131,15,115,151.0,13.0,138.0,150.0,21.0,128.0,175.0,5.0,157.0,173.0,8.0,155.0,173.0,4.0,166.0
3805339-09,209,49,159,474.1,49.4,421.8,488.7,77.6,408.6,547.8,40.6,478.7,541.9,26.1,501.9,542.7,27.0,489.9
3805339-10,322,82,233,734.2,78.7,651.3,756.6,122.3,630.5,848.0,64.7,738.7,838.5,41.4,775.5,839.5,43.0,756.7
3805339-11,267,74,188,473.9,82.0,390.9,483.8,108.8,373.5,542.3,66.5,438.8,529.5,40.8,475.1,528.3,45.7,459.2
3805339-12,227,65,159,419.9,72.6,346.2,428.6,96.4,330.9,480.4,58.9,388.8,469.0,36.1,420.9,468.0,40.5,406.8
3805339-13,209,60,143,215.0,43.0,172.0,222.0,69.0,153.0,255.0,24.0,215.0,251.0,27.0,218.0,254.0,13.0,237.0
3805339-14,214,48,164,308.9,53.4,254.8,315.3,70.9,243.5,353.5,43.3,286.0,345.1,26.6,309.7,344.4,29.8,299.3
3805504-08,303,104,193,294.5,66.6,227.9,297.4,87.5,209.5,321.2,57.8,240.6,326.6,51.0,266.8,328.0,39.9,276.0
3805504-09,987,397,575,1216.9,266.9,949.9,1228.4,369.1,852.6,1309.6,231.3,990.6,1311.1,192.7,1083.3,1317.8,154.8,1113.7
3805504-10,211,182,29,287.0,239.0,46.0,293.0,272.0,18.0,243.0,185.0,24.0,231.0,171.0,43.0,231.0,132.0,77.0
3805504-11,175,90,82,169.1,38.2,130.9,170.8,50.2,120.3,184.4,33.2,138.1,187.5,29.3,153.2,188.3,22.9,158.5
3805508-01,373,133,227,378.2,82.6,295.6,381.8,115.0,264.4,406.3,71.6,307.7,405.9,59.1,335.9,408.0,47.7,345.0
3805508-02,1014,341,654,926.1,202.3,723.8,934.9,281.7,647.6,995.0,175.2,753.6,994.0,144.8,822.6,999.2,116.8,844.9
3805508-03,202,60,132,173.2,37.8,135.4,174.9,52.7,121.1,186.1,32.8,140.9,185.9,27.1,153.9,186.9,21.8,158.0
3805508-04,631,243,370,681.9,149.0,532.9,688.3,207.4,476.7,732.5,129.0,554.8,731.8,106.6,605.6,735.6,86.0,622.0
3805508-05,537,215,312,563.2,123.1,440.1,568.5,171.3,393.8,605.0,106.6,458.2,604.4,88.1,500.2,607.6,71.0,513.7
3805508-06,126,24,101,131.8,28.8,103.0,133.1,40.1,92.2,141.6,24.9,107.3,141.5,20.6,117.1,142.2,16.6,120.2
3805508-07,177,78,92,177.4,38.8,138.6,179.1,54.0,124.0,190.6,33.6,144.3,190.4,27.7,157.5,191.4,22.4,161.8
3805733-01,336,185,138,293.0,100.0,192.0,295.0,128.0,164.0,343.0,85.0,233.0,343.0,88.0,241.0,347.0,79.0,253.0
3805733-02,1670,624,1003,1414.0,355.0,1057.0,1421.0,473.0,944.0,1685.0,292.0,1267.0,1654.0,247.0,1378.0,1684.0,222.0,1398.0
3805733-03,10,8,2,10.0,6.0,4.0,10.0,7.0,3.0,9.0,5.0,4.0,9.0,4.0,5.0,9.0,3.0,6.0
3805733-04,1766,473,1249,1703.0,215.0,1487.0,1718.0,325.0,1382.0,1973.0,174.0,1681.0,1960.0,151.0,1752.0,1973.0,123.0,1791.0
3805733-05,216,49,153,209.0,41.0,166.0,214.0,52.0,159.0,239.0,21.0,199.0,232.0,25.0,199.0,236.0,18.0,208.0
3805733-06,207,99,99,175.0,31.0,144.0,175.0,49.0,125.0,203.0,28.0,165.0,204.0,22.0,176.0,204.0,14.0,175.0
3805733-07,192,38,145,195.0,20.0,175.0,191.0,27.0,164.0,229.9,16.0,210.0,222.0,15.0,203.0,223.9,11.0,210.0
3805931-17,1377,516,830,1608.8,405.7,1195.2,1640.8,523.3,1096.5,1704.6,309.0,1240.0,1668.7,244.2,1358.7,1682.6,208.3,1391.6
3805931-18,586,246,325,559.0,150.0,407.0,575.0,195.0,374.0,659.0,124.0,465.0,644.0,108.0,506.0,653.0,98.0,519.0
3805931-20,239,81,148,231.0,39.0,192.0,237.0,50.0,185.0,272.1,36.0,222.0,270.0,36.0,228.0,271.1,25.0,238.0
3805931-23,255,91,160,244.0,35.0,209.0,243.0,46.0,197.0,256.9,25.0,220.0,251.0,21.0,225.0,256.0,12.0,237.0
3805931-24,482,155,322,762.8,159.0,602.7,774.2,208.0,560.0,734.2,108.1,581.2,732.8,80.2,628.7,739.1,80.7,634.5
3805933-32,1115,391,699,1416.1,318.3,1097.8,1441.2,419.7,1016.5,1507.4,223.0,1183.0,1493.3,171.8,1275.3,1499.4,152.7,1288.4
3805933-33,743,235,482,736.0,146.0,590.0,753.0,214.0,535.0,834.1,109.0,674.0,837.0,83.0,729.0,839.0,70.0,739.0
3805933-34,136,35,97,125.0,21.0,104.0,127.0,24.0,103.0,158.0,15.0,137.0,158.0,20.0,133.0,157.0,11.0,139.0
3805934-01,1358,564,764,1645.2,434.0,1202.2,1684.8,617.0,1051.0,1767.8,357.9,1242.8,1735.2,278.8,1375.3,1760.9,237.3,1446.5
3805934-02,1054,359,680,2011.0,528.0,1470.0,2054.0,743.0,1301.0,2043.0,446.0,1417.0,2027.0,299.0,1668.0,2038.0,268.0,1699.0
3805934-03,967,453,489,875.0,338.0,529.0,905.0,423.0,468.0,1044.0,272.0,635.0,993.0,232.0,699.0,1010.0,208.0,731.0
3805934-04,911,341,553,791.0,235.0,555.0,805.0,324.0,471.0,886.0,213.0,593.0,878.0,150.0,701.0,885.0,135.0,726.0
3805934-05,655,317,322,538.0,182.0,355.0,544.0,243.0,293.0,596.0,170.0,369.0,592.0,129.0,446.0,599.0,119.0,459.0
3805934-06,1161,493,638,953.0,304.0,646.0,964.0,430.0,527.0,1044.0,278.0,653.0,1040.0,225.0,762.0,1046.0,196.0,803.0
3805934-07,670,313,332,610.0,217.0,390.0,619.0,284.0,327.0,653.0,166.0,392.0,642.0,128.0,476.0,654.0,125.0,495.0
3805934-08,649,309,314,645.0,217.0,422.0,661.0,263.0,385.0,705.0,148.0,468.0,693.0,141.0,504.0,701.0,109.0,534.0
3805936-36,506,108,392,457.0,48.0,409.0,462.0,81.0,380.0,522.9,41.0,461.0,520.0,31.0,478.0,521.0,18.0,490.0
3805936-38,400,72,322,401.0,71.0,329.0,406.0,87.0,313.0,444.0,39.0,383.0,440.0,33.0,396.0,444.0,31.0,393.0
3806102-01,635,198,426,855.0,134.0,720.0,859.0,181.0,676.0,976.0,130.0,789.0,962.0,101.0,817.0,970.0,75.0,855.0
3806102-06,100,23,70,146.0,25.0,120.0,147.0,29.0,117.0,161.0,14.0,133.0,158.0,22.0,123.0,159.0,13.0,132.0
3806102-07,250,72,176,348.0,48.0,300.0,348.0,60.0,288.0,391.0,33.0,341.0,387.0,33.0,342.0,389.0,17.0,358.0
3806104-02,673,531,137,746.5,552.7,190.8,759.4,609.1,148.3,792.0,544.8,158.2,783.1,485.5,250.2,778.1,408.4,306.5
3806104-03,441,290,145,521.0,261.0,260.0,526.0,310.0,216.0,522.0,226.0,244.0,517.0,203.0,291.0,522.0,163.0,333.0
3806104-04,145,60,80,187.0,38.0,149.0,192.0,51.0,141.0,223.0,30.0,183.0,222.0,41.0,175.0,223.0,28.0,189.0
3806104-05,194,53,133,264.0,27.0,237.0,262.0,42.0,220.0,290.0,20.0,257.0,291.0,24.0,262.0,294.0,9.0,277.0
3806104-08,313,151,154,486.5,194.3,289.2,492.7,233.9,257.7,513.0,177.2,300.8,503.9,175.5,307.9,511.8,152.7,327.5
3806104-09,187,99,85,232.0,56.0,176.0,234.0,89.0,144.0,238.0,45.0,176.0,235.0,40.0,191.0,236.0,26.0,202.0
3806323-01,379,195,177,342.2,121.4,220.3,347.2,182.6,162.3,362.0,113.0,216.1,367.7,105.4,249.8,369.0,68.1,283.2
3806323-02,339,204,120,299.8,106.4,193.0,304.2,159.9,142.2,317.2,99.0,189.3,322.2,92.4,218.9,323.3,59.7,248.1
3806323-03,313,128,181,320.7,113.8,206.4,325.4,171.1,152.1,339.3,105.9,202.5,344.6,98.8,234.2,345.8,63.8,265.4
3806323-04,368,213,144,344.1,122.1,221.5,349.1,183.6,163.2,364.1,113.7,217.3,369.8,106.0,251.2,371.0,68.5,284.7
3806323-05,353,167,178,316.2,112.2,203.6,320.9,168.7,150.0,334.6,104.5,199.7,339.9,97.4,230.9,341.0,63.0,261.7
3806533-01,207,62,140,196.0,28.0,168.0,208.0,55.0,153.0,211.0,21.0,177.0,217.0,17.0,194.0,216.0,15.0,193.0
3806533-02,145,58,83,116.0,28.0,85.0,112.0,35.0,74.0,123.0,15.0,98.0,126.0,13.0,109.0,126.0,8.0,115.0
3806533-03,82,28,53,100.0,20.0,80.0,101.0,36.0,65.0,101.0,17.0,75.0,101.0,13.0,82.0,102.0,11.0,86.0
3806533-04,67,23,43,66.0,10.0,56.0,68.0,18.0,50.0,66.0,7.0,56.0,66.0,4.0,62.0,66.0,3.0,61.0
3806533-05,151,38,111,136.0,16.0,120.0,138.0,24.0,114.0,142.0,13.0,123.0,140.0,14.0,123.0,141.0,11.0,126.0
3806533-06,197,53,138,181.0,22.0,159.0,184.0,38.0,145.0,191.0,16.0,165.0,189.0,17.0,169.0,192.0,8.0,178.0
3806533-07,191,70,114,161.0,35.0,126.0,161.0,44.0,116.0,183.0,30.0,136.0,182.0,27.0,151.0,182.0,18.0,156.0
3806710-01,620,261,342,518.0,132.0,385.0,526.0,190.0,333.0,569.0,105.0,416.0,570.0,89.0,464.0,573.1,74.0,486.0
3806710-02,645,317,304,561.0,124.0,437.0,577.0,203.0,370.0,623.0,121.0,461.0,630.0,92.0,521.0,631.0,69.0,546.0
3806710-03,705,322,363,662.5,151.6,510.8,668.6,255.1,412.4,719.5,160.7,492.7,717.6,113.4,585.0,724.6,102.4,605.1
3806710-04,717,291,408,625.5,147.9,477.6,647.5,238.8,406.6,669.4,130.9,486.6,681.4,87.9,577.5,682.4,93.9,567.5
3806710-05,275,119,148,229.0,62.5,166.5,230.0,101.1,126.9,229.0,62.5,147.7,229.0,34.7,182.4,229.0,38.7,183.4
3806716-01,345,184,157,303.0,108.0,195.0,313.0,144.0,165.0,343.0,101.0,204.0,343.0,96.0,226.0,344.0,75.0,256.0
380697-01,122,35,86,112.0,27.0,85.0,111.0,30.0,81.0,106.0,12.0,84.0,107.0,13.0,90.0,109.0,7.0,98.0
380697-02,164,63,98,122.9,27.5,95.4,121.1,41.3,79.8,118.3,25.7,84.3,117.4,22.9,94.5,117.4,21.1,94.5
380697-03,235,74,155,245.1,40.9,204.2,245.8,73.1,170.2,268.9,31.6,209.0,265.5,37.2,220.8,269.7,23.6,235.9
