GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
3810103-14,558,175,374,567.5,114.7,451.2,570.8,166.2,401.2,625.6,97.4,482.3,617.4,69.6,511.0,619.9,46.7,542.9
3810103-15,718,251,454,786.2,163.1,621.9,808.5,215.8,586.6,915.1,107.9,725.7,900.6,76.8,784.0,902.7,49.7,804.1
3810103-16,788,388,388,817.0,275.4,538.3,836.5,350.0,476.9,1078.5,238.0,703.5,1057.2,177.9,804.9,1067.7,145.3,863.5
3810103-17,1263,529,694,1067.5,359.9,703.2,1092.9,457.4,623.0,1396.2,310.8,905.6,1369.5,232.6,1039.4,1382.8,190.0,1114.7
3810103-18,772,374,387,648.6,218.7,427.2,664.1,277.9,378.5,721.8,186.6,418.1,717.2,142.3,512.1,720.5,117.1,546.5
3810103-19,789,355,411,782.7,262.2,517.3,800.7,334.8,456.9,982.6,241.9,585.6,964.1,187.5,705.4,976.0,163.0,742.5
3810104-07,141,54,84,115.0,30.5,84.4,118.1,45.8,72.3,146.3,29.8,112.5,145.5,21.7,119.8,142.3,14.5,125.4
3810104-11,228,116,109,217.0,51.0,166.0,215.0,79.0,136.0,259.0,50.0,193.0,252.0,44.0,200.0,252.0,25.0,222.0
3810104-12,435,132,289,526.6,102.2,423.9,533.4,139.9,391.9,563.9,68.7,455.3,561.2,61.7,482.6,567.9,40.9,501.0
3810104-13,338,152,183,312.0,74.1,237.9,314.9,97.9,215.8,346.5,52.8,265.4,340.4,48.7,285.4,343.3,33.4,304.1
3810105-24,1531,598,921,1390.6,388.1,1000.1,1415.3,543.4,863.5,1529.7,340.8,1018.9,1506.6,237.1,1188.7,1524.5,174.7,1278.9
3810105-27,643,258,377,599.7,175.6,422.9,611.1,245.7,361.2,702.7,167.6,463.6,690.6,118.2,544.5,700.4,84.9,589.6
3810105-28,1576,630,931,1403.4,408.8,991.9,1429.9,572.0,848.2,1633.0,386.8,1078.4,1605.3,272.5,1265.8,1627.7,196.2,1369.7
