GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg
320031303,822,468,335,977.0,528.0,396.0,951.0,500.0,372.0,900.0,490.0,369.0,902.0,494.0,365.0,891.0,463.0,377.0,902.0,473.0,364.0
320031304,1129,709,404,1838.0,1038.0,671.0,1787.0,989.0,637.0,1713.0,1074.0,585.0,1715.0,1056.0,574.0,1702.0,1015.0,610.0,1710.0,1045.0,560.0
320031305,795,417,358,1899.0,926.0,865.0,1856.0,863.0,851.0,1966.0,1037.0,867.0,1966.0,1038.0,845.0,1954.0,956.0,890.0,1975.0,1005.0,842.0
320031307,1072,607,446,1402.0,729.0,589.0,1369.0,663.0,601.0,1230.0,673.0,522.0,1232.0,672.0,524.0,1218.0,629.0,529.0,1221.0,647.0,504.0
320031308,667,414,242,848.6,504.1,304.0,831.0,464.0,292.8,678.6,425.5,225.9,679.0,421.8,229.7,674.6,409.8,231.6,680.7,413.7,227.3
320031310,1436,854,560,1903.7,1047.7,773.2,1856.8,972.7,750.9,1546.4,897.6,604.9,1546.4,890.4,591.3,1534.6,856.5,598.0,1556.8,868.0,588.1
320031311,1174,656,497,1638.1,852.8,684.4,1599.2,784.5,670.7,1348.8,758.7,532.9,1350.4,743.3,537.5,1339.8,731.1,526.6,1359.1,736.4,516.1
320031312,836,527,300,1854.0,942.0,820.0,1808.0,884.0,785.0,1692.0,909.0,716.0,1688.0,867.0,739.0,1682.0,854.0,744.0,1690.0,881.0,713.0
320031313,681,269,389,722.3,242.7,438.1,711.7,242.7,418.5,644.3,238.4,380.4,644.7,234.6,383.3,640.6,236.2,383.5,647.8,246.4,367.5
320031314,333,135,185,429.0,138.0,270.0,419.0,149.0,251.0,386.0,142.0,232.0,386.0,123.0,243.0,385.0,130.0,238.0,390.0,137.0,233.0
320031315,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320031316,861,535,312,2117.0,1218.0,793.0,2070.0,1121.0,743.0,1904.0,1184.0,656.0,1910.0,1188.0,636.0,1895.0,1148.0,654.0,1900.0,1153.0,634.0
320031317,529,346,172,784.8,492.2,244.8,763.3,444.3,235.3,694.0,476.9,184.2,695.6,468.8,193.0,689.9,463.7,196.4,688.5,456.3,193.6
320031318,754,507,232,984.0,621.0,304.0,945.0,572.0,292.0,820.0,586.0,199.0,824.0,579.0,205.0,815.0,554.0,209.0,827.0,561.0,199.0
320031319,544,348,189,956.7,485.3,407.9,940.0,466.3,392.9,825.2,458.6,333.8,824.2,437.6,337.2,816.8,437.9,332.2,825.2,441.6,320.5
320031321,1056,503,533,1256.6,495.7,686.0,1235.1,491.0,641.7,1067.0,443.3,575.6,1062.9,429.6,571.8,1059.4,415.1,584.6,1065.8,439.0,558.2
320031322,915,460,429,859.9,370.4,413.8,846.8,382.5,405.2,751.2,363.4,369.5,751.2,363.4,356.5,748.6,333.0,369.5,743.4,356.5,351.2
320031323,864,451,387,947.7,401.9,483.1,929.5,410.0,443.5,795.9,387.1,362.4,795.9,385.0,368.9,793.9,364.6,373.9,802.3,386.0,362.1
