GEOID20,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
72005035.10,1254,9,1236,65,4,0,0,992,9,978,5,0,0,0,1421,6,1407,273,125,3,5,1098,6,1087,199,89,1,4,1098,6,1087,0,1,0,0,0,4
72005035.18,1642,0,1642,64,0,0,0,1343,0,1343,0,0,0,0,1846,5,1833,347,80,6,4,1530,5,1517,312,72,6,2,1530,5,1517,3,5,0,0,0,0
72005035.12,5528,33,5436,514,39,0,7,4152,29,4087,15,0,0,0,6472,29,6426,925,217,7,15,5419,28,5374,802,171,6,11,5419,28,5374,15,0,0,0,2,0
72005035.13,2293,0,2293,28,0,0,0,1767,0,1767,0,0,0,0,2559,14,2530,259,75,8,1,2094,14,2065,221,58,5,0,2094,14,2065,6,4,1,0,0,4
720050035.9,2692,21,2671,89,0,0,0,2198,20,2178,0,0,0,0,3447,17,3423,421,63,4,1,2942,15,2920,375,56,3,0,2942,15,2920,2,0,0,0,0,5
72005035.14,1962,0,1947,79,0,0,0,1701,0,1689,16,0,0,0,2067,5,2058,241,55,0,3,1745,5,1736,203,46,0,1,1745,5,1736,1,0,1,0,0,2
720070081.6,3967,0,3939,1553,1,0,0,3263,30,3238,0,0,0,0,3437,19,3415,697,168,7,3,2999,19,2979,603,140,7,3,2999,19,2979,0,1,0,0,0,0
720070081.5,4331,0,4331,1778,106,0,0,3725,0,3725,0,0,0,0,3962,11,3941,779,126,18,8,3263,10,3245,667,111,18,3,3263,10,3245,2,1,0,0,1,4
720070081.4,5456,0,5453,2624,12,0,0,4267,0,4264,3,0,0,0,4865,26,4832,1141,157,10,8,4011,24,3983,950,136,6,6,4011,24,3983,0,2,0,0,2,0
720070081.3,1180,0,1180,694,0,0,0,986,0,986,0,0,0,0,1145,1,1141,179,41,5,5,1004,1,1000,157,41,5,3,1004,1,1000,1,1,0,0,0,1
720070081.1,4582,93,4489,2009,0,0,0,3570,35,3535,0,0,0,0,4391,12,4375,864,96,18,1,3591,10,3578,714,75,15,1,3591,10,3578,0,0,0,0,2,1
