GEOID20,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres
0900303-156,3175,1720,1119,3160,2101,1024,3109,1898,1178,3777,2684,1036,3438,2290,1071,3474,2238,1059
0900303-025,2581,1010,1387,2554,1324,1187,2532,1145,1354,3264,1789,1405,2901,1640,1189,2950,1389,1371
0900303-152,3840,2394,1055,3815,2914,871,3763,2614,1110,4489,3542,891,4066,2998,982,4085,3025,862
0900101-074,1721,728,980,1719,914,799,1681,762,915,2182,1316,825,1974,1012,934,1974,1046,804
0900101-075,1183,708,470,1173,772,392,1146,683,457,1581,997,560,1371,898,435,1447,895,509
0900101-001,1155,649,493,1142,717,413,1130,652,469,1457,920,520,1261,754,479,1296,734,502
0900101-034,3166,1301,1770,3114,1574,1512,3101,1347,1727,4255,2081,2112,3604,1816,1703,3705,1576,1985
0900101-112,3391,1874,1458,3369,2117,1213,3313,1908,1379,4313,2744,1506,3756,2403,1292,3879,2242,1481
0900101-017,3085,2199,830,3003,2305,674,2932,2152,758,4213,3075,1094,3863,3067,730,4089,2958,1020
0900101-020,1502,1333,157,1476,1349,115,1431,1292,131,2447,2092,339,2197,1988,172,2363,2110,222
0900101-097,5339,2190,3035,5302,2545,2711,5255,2247,2966,7173,3446,3643,6232,2976,3113,6424,2569,3597
0900101-052,261,135,115,257,161,91,238,142,96,368,205,160,324,214,103,350,216,124
0900101-044,509,305,194,505,345,157,488,301,185,1669,1043,609,1503,991,480,1566,935,567
0900101-146,922,582,322,916,640,266,913,623,280,1367,919,432,1135,797,309,1201,762,384
0900101-145,156,98,55,153,108,44,154,105,47,232,156,73,192,134,52,201,129,63
0900101-064,3240,1636,1532,3215,1947,1243,3169,1634,1509,3982,2484,1444,3576,2157,1373,3621,1958,1525
0900101-183,279,154,122,284,195,86,276,167,107,337,252,81,298,188,106,301,207,84
0900101-199,1550,861,678,1542,1069,466,1526,935,586,1861,1394,447,1653,1040,585,1667,1149,458
0900101-180,1547,938,595,1547,1097,445,1518,990,522,1937,1437,468,1659,1110,529,1684,1173,449
0900101-191,1548,939,597,1548,1096,446,1519,990,522,1939,1442,470,1670,1113,537,1687,1176,450
0901313-010,1304,905,326,1295,981,295,1277,899,361,1513,1127,351,1479,1106,325,1483,1047,336
0900101-029,511,453,57,497,444,45,486,424,57,775,647,121,659,589,58,729,647,71
0900101-030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0900101-028,855,747,100,935,850,71,810,724,79,1220,1051,163,1076,973,85,1183,1066,104
0900101-102,2498,1191,1220,2465,1380,1053,2420,1194,1199,3136,1786,1305,2639,1478,1114,2685,1322,1224
0900101-090,3103,1253,1770,3064,1531,1498,3042,1313,1713,4045,2047,1946,3604,1913,1623,3659,1620,1881
0900101-193,2215,1384,801,2174,1537,620,2149,1408,730,2680,1768,885,2481,1653,781,2592,1736,769
0900101-129,1326,826,475,1309,919,371,1289,839,437,2601,1953,604,1494,989,467,1558,1039,460
0900101-116,2803,1427,1323,2775,1609,1135,2751,1488,1244,3623,2103,1460,3080,1830,1175,3177,1676,1365
0900101-171,4215,1688,2439,4177,2092,2057,4129,1798,2317,5413,2877,2469,4853,2636,2150,4898,2219,2468
0900101-113,3281,1798,1416,3255,2038,1193,3227,1854,1353,4291,2655,1593,3635,2302,1264,3763,2120,1487
0900101-086,2324,931,1382,2316,1129,1176,2274,967,1298,3094,1717,1346,2731,1253,1435,2704,1370,1208
0900101-133,1307,950,337,1301,1019,269,1269,959,300,1833,1328,484,1576,1244,300,1650,1192,406
0900101-038,3361,1632,1649,3317,1857,1429,3238,1610,1600,4380,2400,1911,3903,2235,1610,3907,1910,1824
0900101-130,1485,1085,386,1479,1126,333,1412,1043,350,2077,1554,483,1836,1407,388,1963,1458,439
0900101-182,1196,718,460,1186,849,333,1163,764,391,1550,1164,365,1338,860,460,1359,927,369
0900101-123,4794,1411,3269,4713,1919,2745,4641,1499,3108,6208,2553,3570,5382,2662,2658,5518,1862,3437
0900101-067,2153,1207,899,2126,1375,723,2099,1232,839,3038,1920,1080,2457,1643,741,2560,1498,939
0900101-068,1932,1053,846,1920,1221,677,1899,1066,813,2275,1501,747,2366,1404,925,2477,1437,940
0900101-162,776,451,299,760,502,248,727,461,258,1107,708,389,923,655,250,952,562,355
0900101-179,806,461,337,809,554,250,794,502,289,1018,764,235,906,585,310,906,624,245
0900101-178,1288,737,538,1278,874,397,1258,794,459,1614,1215,373,1428,923,489,1441,990,392
0900101-105,4190,2576,1529,4167,2870,1253,4097,2602,1459,5270,3609,1595,4542,3086,1354,4775,3047,1531
0900101-051,937,537,384,931,589,330,917,543,366,1597,958,625,983,579,387,1018,559,413
0900101-098,1019,445,559,1017,492,512,1006,443,553,1385,655,700,1212,581,608,1253,502,705
0900707-011,3982,1916,1843,3941,2384,1518,3890,2015,1829,4715,3011,1635,4097,2547,1495,4092,2291,1620
0900707-029,912,509,358,898,590,302,887,503,366,1173,759,389,1038,740,270,1069,654,366
0900707-024,319,235,67,319,256,57,311,228,75,433,343,83,366,293,57,382,282,83
0900101-151,2606,1379,1203,2583,1567,997,2572,1501,1064,3393,2069,1292,2986,1762,1170,3034,1768,1146
0900101-019,2435,1641,762,2391,1765,603,2323,1625,678,3284,2260,985,2947,2266,623,3119,2105,937
0901515-005,853,288,502,846,380,450,842,303,528,1067,464,572,959,477,448,962,367,513
0901111-035,1741,1107,544,1699,1258,412,1654,1063,555,2122,1528,559,1999,1491,440,2063,1347,601
0901111-015,2001,987,901,1967,1192,742,1949,1015,911,3031,1735,1203,2457,1536,831,2583,1299,1039
0901111-031,697,303,357,690,383,297,677,300,367,1029,538,464,831,511,291,857,360,431
0901111-002,3193,1373,1610,3145,1708,1380,3127,1435,1658,4053,2173,1773,3567,2072,1409,3638,1646,1756
0901111-026,1479,773,645,1470,910,544,1468,801,659,1772,1165,576,1712,1137,548,1691,1019,567
0901111-043,4249,1961,2054,4198,2435,1732,4155,2052,2057,5413,3226,2099,4665,2942,1667,4709,2498,1999
0900909-011,1432,753,641,1420,915,498,1406,788,610,1696,1045,642,1511,1056,436,1528,890,601
0900909-140,1738,691,1003,1721,865,833,1696,736,948,2077,1085,965,1918,1130,756,1911,890,961
0901111-036,2581,1021,1397,2554,1325,1191,2508,1029,1448,3375,1601,1710,2929,1697,1155,3030,1289,1560
0900909-165,1564,898,622,1528,990,520,1506,903,595,2125,1314,781,1879,1310,529,1996,1187,761
0900909-064,2715,1299,1269,2658,1612,1015,2624,1361,1231,3864,2144,1675,3026,1954,1003,3150,1708,1313
0900909-100,1231,1089,113,1220,1125,81,1208,1078,103,1373,1250,105,1160,1045,74,1187,1048,89
0900909-101,171,155,14,172,161,11,169,154,13,194,180,13,165,150,11,167,150,13
