GEOID20,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres
0901111-054,2207,1094,996,2182,1305,835,2164,1069,1055,2880,1667,1156,2438,1552,822,2517,1260,1123
0901111-014,1742,858,766,1719,1065,615,1703,899,766,2402,1416,912,1991,1312,618,2068,1074,858
0901111-051,1198,575,556,1188,735,445,1172,577,582,1576,973,580,1279,808,450,1295,680,558
0901111-049,912,424,416,898,537,353,884,443,433,1165,702,446,987,646,323,1009,538,425
0901111-007,3254,1670,1414,3224,2031,1152,3162,1651,1472,4062,2519,1489,3454,2253,1122,3520,1876,1481
0901111-055,2604,1170,1303,2561,1452,1053,2539,1171,1319,3454,1892,1479,2894,1798,1021,2984,1404,1405
0901111-012,1842,918,810,1791,1109,646,1773,904,836,2736,1654,1018,2258,1495,672,2373,1275,956
0901111-017,2395,1297,950,2365,1568,770,2339,1318,998,2835,1871,924,2586,1764,776,2645,1609,910
0901111-038,2695,1358,1191,2635,1651,935,2620,1379,1198,3809,2303,1405,3168,2189,867,3280,1767,1317
0901111-010,1649,650,891,1597,836,729,1594,619,951,2379,1087,1223,1934,1188,682,2018,789,1090
0901111-044,2158,779,1216,2118,1048,1036,2103,800,1275,2868,1270,1529,2425,1379,974,2514,978,1377
0901111-053,2113,995,991,2085,1218,821,2055,976,1035,2818,1571,1167,2380,1516,774,2424,1185,1094
0901111-056,2510,1149,1203,2467,1445,997,2436,1142,1262,3164,1787,1322,2701,1677,966,2758,1384,1239
0901111-009,971,368,530,944,488,435,934,368,552,1261,553,674,1074,620,420,1097,413,613
0900909-014,2431,1234,1131,2418,1470,917,2399,1279,1103,2942,1740,1160,2568,1707,820,2604,1431,1092
0900909-142,2355,529,1746,2292,759,1514,2279,574,1688,2909,921,1950,2606,1119,1444,2699,717,1883
0900909-156,2764,1059,1667,2813,1406,1376,2744,1118,1595,3756,1921,1761,3028,1814,1156,3074,1344,1577
0900909-157,1674,721,878,1635,899,713,1562,732,808,2316,1251,1042,1888,1172,678,1955,911,955
0900909-013,2603,1345,1181,2563,1577,955,2529,1393,1111,3570,2132,1379,2943,1975,903,2954,1667,1163
0900909-019,2142,879,1163,2130,1102,1005,2119,961,1139,2681,1385,1226,2348,1312,988,2391,1102,1186
0900909-168,1911,848,977,1870,1017,830,1861,903,937,2524,1398,1094,2223,1343,825,2335,1137,1095
0900909-085,2243,806,1349,2214,1069,1112,2174,846,1294,3091,1458,1584,2632,1496,1046,2728,1103,1495
0900909-191,2490,675,1706,2443,912,1509,2349,703,1629,3097,1124,1918,2720,1267,1412,2827,876,1842
0900101-184,1571,988,569,1564,1119,437,1529,1021,502,1953,1470,458,1706,1131,544,1712,1213,440
0900101-076,1433,809,598,1409,911,487,1390,823,559,1986,1261,710,1603,1063,508,1642,1012,587
0901111-021,3526,1480,1824,3486,1863,1539,3443,1480,1920,4639,2423,2089,3919,2215,1561,4037,1818,1952
0901111-022,1766,787,885,1739,947,766,1709,766,927,2360,1289,1008,1982,1170,771,2038,927,967
0901111-016,1838,835,883,1806,1062,720,1777,857,900,2383,1370,946,1971,1261,656,2055,1026,891
0901111-019,2442,940,1297,2418,1192,1170,2391,950,1397,3047,1392,1571,2662,1482,1101,2696,1098,1432
0901111-057,2431,927,1366,2382,1215,1131,2362,922,1405,3110,1486,1547,2842,1659,1111,2919,1175,1572
0901111-047,1714,974,542,1705,1221,470,1677,1055,601,2006,1442,534,1790,1271,482,1810,1201,540
0901111-048,3630,1750,1625,3584,2251,1280,3524,1789,1676,4886,2815,1988,4007,2619,1275,4134,2047,1886
0901111-013,1271,728,471,1252,881,354,1249,746,487,1750,1171,536,1507,1075,384,1578,974,513
0901111-006,3579,1781,1635,3557,2192,1336,3509,1799,1685,4549,2813,1658,3865,2483,1305,3934,2139,1606
0901111-041,1661,1070,501,1627,1194,401,1604,1041,525,2392,1653,683,2061,1521,450,2178,1411,621
0901111-040,3112,1639,1282,3052,1956,1054,2997,1627,1320,4389,2632,1678,2672,1542,1032,3859,2124,1508
0901111-046,1274,427,766,1252,599,623,1245,441,781,1557,641,882,1475,838,582,1509,535,864
0901111-008,2463,1265,1071,2434,1533,868,2405,1278,1098,3145,1958,1138,2704,1793,865,2759,1497,1127
0901111-034,2563,1853,595,2515,2020,441,2441,1781,600,3444,2619,756,2888,2320,441,3086,2229,689
0901111-003,1965,816,1022,1937,1032,879,1918,871,1025,2541,1343,1138,2213,1260,869,2283,1027,1085
0901111-005,485,194,253,476,258,215,474,199,271,615,337,268,527,319,198,540,259,255
0901111-045,2062,800,1133,2048,1043,980,2024,845,1166,2623,1285,1291,2302,1289,964,2346,1029,1182
0901111-011,2832,966,1673,2789,1300,1439,2774,963,1777,3602,1478,2034,3136,1768,1278,3258,1145,1922
0900909-040,1978,1417,502,1953,1541,390,1919,1412,483,2674,2080,562,2252,1843,354,2321,1733,504
0900909-131,3051,898,2048,2977,1221,1725,2953,986,1943,4031,1644,2336,3401,1831,1518,3546,1234,2173
0900909-075,3405,1282,2038,3354,1636,1685,3313,1385,1905,4252,2113,2087,3770,2170,1535,3826,1634,2062
0900909-024,1189,597,551,1169,714,446,1162,637,513,1711,1006,682,1443,961,447,1524,809,666
0900909-193,2561,614,1865,2508,864,1622,2434,642,1766,3279,1092,2135,2834,1266,1530,2933,820,2019
0900909-159,1742,659,1028,1694,767,908,1673,668,994,2179,948,1206,1957,1040,872,2067,829,1164
0900909-083,1634,584,990,1600,754,824,1583,619,944,2194,1018,1139,1904,1070,786,1942,776,1069
0900909-003,797,381,391,780,458,320,761,378,375,1094,605,471,956,625,308,994,508,440
0900909-080,941,337,573,913,424,483,895,349,528,1287,589,677,1104,579,495,1146,467,627
0900909-065,2469,1068,1257,2416,1366,1014,2386,1131,1218,3246,1770,1413,2778,1778,937,2870,1424,1314
0900909-054,1435,761,612,1383,884,472,1354,760,576,1871,1156,686,1615,1116,446,1686,986,626
0900909-032,1921,773,1096,1833,961,843,1815,799,996,2693,1259,1403,2214,1415,748,2364,1036,1262
0900909-194,4047,2242,1703,4007,2625,1359,3963,2383,1537,4788,3254,1474,4447,3070,1306,4502,2853,1482
0900909-138,4256,1712,2444,4202,2130,2037,4158,1839,2296,5235,2706,2459,4646,2751,1822,4715,2161,2367
0900909-158,3398,1199,2037,3268,1555,1680,3218,1283,1907,4270,2060,2150,3689,2103,1524,3775,1606,1995
0900909-152,1361,606,698,1338,737,577,1303,611,673,1738,955,747,1493,935,527,1529,746,716
0900909-034,2295,1376,854,2257,1600,642,2237,1430,787,2785,1995,754,2407,1740,636,2428,1614,714
0900909-081,1767,583,1093,1719,767,923,1685,637,1031,2532,1151,1336,2047,1131,867,2126,830,1202
0900909-008,2907,901,1873,2846,1208,1601,2818,969,1822,3803,1543,2191,3245,1683,1483,3332,1146,2002
0900909-144,3192,1063,2000,3119,1443,1635,3088,1151,1899,4349,1943,2342,3709,2071,1562,3791,1444,2182
0900909-146,2234,787,1360,2184,1064,1083,2146,833,1290,2989,1327,1612,2503,1464,979,2582,988,1458
0900909-027,1970,820,1115,1907,1033,856,1886,823,1050,2784,1333,1420,2241,1461,744,2340,1040,1244
0900909-110,568,484,78,551,494,56,538,473,63,791,571,219,862,788,69,917,810,93
0900909-185,1057,743,284,1035,806,218,1011,753,249,1478,1124,345,1381,1131,219,1496,1108,354
0900909-136,1339,502,802,1320,664,649,1309,543,757,1688,804,864,1480,842,617,1507,638,813
0900909-151,2288,1107,1076,2239,1346,857,2165,1124,1004,2912,1685,1171,2574,1720,780,2618,1382,1111
0900909-007,1240,436,747,1207,577,614,1195,482,702,1597,706,879,1400,845,536,1427,550,832
0900909-073,1906,842,997,1882,1054,809,1854,909,930,2485,1352,1095,2099,1340,704,2181,1054,1035
0900909-072,2773,1290,1406,2742,1575,1140,2717,1377,1309,3615,2002,1556,3110,2033,1020,3177,1604,1444
0900909-137,2913,934,1888,2847,1281,1542,2819,1002,1797,3702,1651,2004,3237,1861,1317,3316,1280,1919
0900909-161,2378,1009,1276,2319,1156,1127,2267,1010,1241,3136,1551,1541,2782,1649,1072,2886,1341,1461
0900909-052,5224,2378,2643,5164,3053,2081,5099,2601,2464,6445,4042,2321,5667,3405,2187,5704,3157,2317
0900101-003,2973,1307,1594,2951,1558,1361,2911,1360,1523,3777,2064,1656,3329,1568,1710,3393,1517,1687
0900909-074,1037,527,470,1025,634,380,1016,563,442,1338,836,481,1094,719,348,1127,634,436
0900909-192,2877,647,2132,2814,882,1909,2746,729,1994,3626,1117,2466,3272,1386,1827,3332,879,2331
0900909-123,2048,1752,244,2030,1821,189,2015,1736,256,2435,2141,254,2123,1838,221,2161,1841,232
0900909-125,1064,919,130,1027,927,89,996,861,128,1453,1286,156,1197,1056,111,1259,1090,129
0900909-124,1822,1514,271,1806,1602,185,1766,1512,244,2253,1984,235,2020,1789,201,2062,1742,249
0900909-009,3097,1285,1722,3052,1551,1471,3039,1350,1654,3698,1912,1718,3353,1857,1433,3380,1580,1646
0900101-138,2221,1568,620,2208,1683,500,2157,1574,566,3185,2419,711,2489,1810,613,2573,1898,575
0900101-136,1549,1089,437,1534,1153,360,1510,1091,408,2131,1574,528,1804,1314,446,1860,1357,432
0900101-023,1827,1355,445,1800,1426,359,1765,1339,411,2661,2026,609,2247,1809,400,2384,1779,537
0900909-036,2761,1379,1297,2730,1721,991,2696,1469,1207,3301,2148,1112,2867,1819,992,2920,1688,1113
0900909-035,2622,1383,1169,2595,1654,921,2559,1441,1094,3052,1905,1110,2773,1862,869,2820,1618,1101
0900909-038,2373,1401,906,2355,1619,726,2320,1451,849,2829,1955,834,2517,1768,707,2553,1633,830
0900909-132,2290,800,1411,2216,1084,1121,2186,872,1290,2964,1353,1590,2522,1522,959,2611,1076,1446
0900909-107,1134,852,253,1102,897,193,1075,825,228,1532,1177,333,1359,1162,162,1432,1114,268
0900909-133,2693,875,1745,2593,1184,1394,2580,943,1620,3520,1491,1993,2864,1701,1130,2961,1127,1745
0900909-043,2548,2037,432,2542,2184,328,2502,2039,425,3053,2603,418,2564,2214,301,2601,2152,368
0900909-004,522,282,229,519,336,178,515,293,214,743,465,267,559,382,159,601,342,233
0900909-071,2732,1332,1313,2687,1601,1041,2653,1371,1241,3589,2084,1454,2990,1985,928,3061,1579,1330
0900909-037,2430,1135,1221,2406,1343,1032,2379,1171,1179,2900,1613,1240,2552,1531,964,2602,1311,1171
0900909-069,4621,2030,2470,4547,2552,1955,4498,2178,2280,5911,3239,2593,5110,3229,1800,5231,2586,2451
0900909-077,4766,2154,2462,4699,2691,1967,4659,2297,2331,6174,3468,2636,5420,3344,1971,5500,2650,2621
0900101-173,2641,1255,1325,2606,1487,1090,2568,1300,1246,3426,2011,1361,3062,1881,1120,3118,1604,1360
0900909-093,188,173,13,180,175,5,185,174,10,271,233,38,235,226,7,259,243,16
0900909-170,841,467,356,818,516,295,810,463,341,1203,729,467,982,659,306,1050,600,415
0900909-111,1309,906,373,1276,988,272,1236,914,308,1658,1183,466,1406,1135,233,1510,1056,403
0900909-112,87,60,25,83,65,18,81,60,20,107,77,30,93,75,15,100,70,27
0900909-046,2654,1667,902,2625,1895,699,2606,1704,872,3448,2485,913,2963,2192,700,3060,1989,957
0900101-110,1012,766,227,1003,814,176,982,773,202,1504,1142,349,1269,1028,205,1374,1043,286
0900101-109,2476,2016,433,2432,2096,320,2401,1997,388,3482,2858,597,2995,2531,391,3228,2674,457
0900101-107,3200,2069,1071,3187,2294,870,3138,2084,1020,4162,2854,1265,3650,2641,932,3823,2521,1157
0900101-177,3074,1777,1255,3074,2117,942,3023,1885,1122,3867,2780,1012,3409,2103,1249,3396,2273,948
0900101-119,4567,2232,2246,4550,2734,1780,4490,2421,2042,5787,3710,1969,5046,2694,2264,5113,2856,1982
0900909-186,1835,1237,556,1806,1343,436,1767,1224,524,2595,1915,656,2225,1776,402,2340,1660,603
0900909-190,2910,1183,1632,2837,1452,1346,2819,1227,1555,3600,1820,1739,3049,1904,1080,3168,1376,1672
0900909-018,1566,621,876,1551,786,756,1554,673,866,1936,1064,841,1707,928,755,1719,842,797
0900909-108,610,511,90,584,516,56,558,474,71,818,669,144,830,743,66,900,772,105
0900909-016,1529,671,833,1514,840,664,1500,718,773,1869,1096,747,1636,1003,605,1657,831,768
0900909-169,1759,1021,690,1711,1133,567,1682,1008,659,2273,1395,859,2015,1446,521,2110,1335,722
0900909-167,2616,1191,1347,2534,1357,1148,2518,1215,1292,3487,1829,1620,2968,1827,1088,3147,1569,1491
0900909-021,1245,549,624,1238,707,518,1222,602,601,1549,888,632,1377,828,515,1379,715,581
0900101-186,3075,1435,1587,3054,1795,1240,3019,1575,1428,3941,2605,1259,3450,1859,1523,3463,2000,1269
0900101-152,1894,1044,827,1870,1153,694,1859,1127,724,2553,1534,994,2103,1382,693,2190,1219,885
0900101-070,2956,1527,1389,2943,1871,1048,2893,1598,1268,3772,2496,1216,3332,2004,1289,3369,2001,1229
0900101-069,2980,1465,1470,2966,1774,1172,2916,1517,1379,3803,2472,1287,3288,1843,1379,3315,1831,1345
0900101-160,1272,683,552,1256,783,457,1207,688,505,1616,1009,589,1502,1069,413,1530,858,607
0900101-175,5074,2218,2775,5010,2683,2296,4949,2348,2581,6036,3570,2383,5710,3215,2407,5816,2693,2894
0900101-049,1472,733,709,1466,833,615,1433,747,681,2149,1208,917,1767,1016,718,1808,951,788
0900909-198,2175,997,1082,2115,1208,884,2090,1070,1001,2717,1476,1214,2326,1530,740,2392,1154,1147
0900909-099,1095,931,139,1074,966,91,1051,915,110,1296,1147,128,1228,1087,100,1271,1095,128
0900909-097,2166,1903,222,2151,1975,161,2098,1868,197,2348,2133,192,511,159,280,2761,2467,186
0900909-163,972,788,161,942,831,102,913,776,133,1456,1175,269,1248,1104,118,1389,1204,157
0901515-002,3134,1169,1769,3092,1530,1509,3066,1148,1874,4222,1876,2262,3642,2021,1517,3720,1462,2052
0901515-008,511,209,270,501,277,215,503,227,263,693,329,347,504,311,175,521,222,257
0901515-017,1667,619,939,1644,805,797,1637,598,1019,2374,987,1324,1977,1102,788,2042,734,1168
0901515-027,689,197,464,672,274,387,672,203,459,1012,343,653,822,402,394,867,249,564
0901515-024,849,322,479,845,441,393,842,333,498,1146,500,624,940,525,377,959,385,501
0901515-014,1242,440,703,1216,607,584,1216,457,737,1776,722,1026,1496,868,561,1541,563,866
0901515-015,991,367,560,970,496,459,966,360,594,1367,564,779,1162,671,458,1194,446,680
0901515-033,3717,1488,2013,3699,1878,1767,3685,1544,2096,5179,2548,2520,4374,2401,1846,4486,1945,2281
0901515-012,878,264,560,868,371,487,875,276,584,1379,540,804,1068,520,503,1121,360,691
0901515-006,925,424,434,902,508,380,896,422,457,1139,572,551,1018,609,376,1059,484,509
0901515-004,1045,440,548,1021,516,485,1008,427,562,1290,598,662,1130,644,443,1151,434,624
0901515-013,1031,400,557,1025,530,483,1015,406,590,1607,655,912,1143,649,459,1204,473,657
0901515-032,379,257,103,375,294,73,360,253,95,478,339,130,427,325,81,447,303,121
0901515-023,1314,378,864,1286,512,735,1290,375,893,1908,639,1229,1638,793,787,1684,478,1102
0900101-094,5283,1868,3365,5269,2505,2738,5214,2143,3058,6574,3857,2616,5939,2568,3290,5910,3040,2523
0900101-089,2670,1265,1384,2659,1496,1147,2604,1315,1280,3384,2008,1334,2865,1594,1217,2925,1564,1236
0900101-012,1292,1106,175,1275,1128,140,1240,1081,156,1869,1574,275,1589,1422,141,1706,1448,221
0900101-026,916,758,144,894,787,101,874,741,124,1258,1037,209,1154,1019,121,1240,1073,145
0900101-010,1245,1101,143,1231,1097,125,1186,1047,133,1980,1617,311,1701,1539,132,1857,1632,188
0900101-008,1688,1434,238,1639,1451,181,1580,1363,209,2565,2071,483,2180,1932,213,2399,2036,320
0900101-009,1417,1322,85,1391,1315,64,1345,1254,81,2064,1843,210,1872,1794,60,2020,1891,103
0900909-141,6630,1837,4577,6529,2528,3942,6475,2023,4396,8514,3269,5118,7176,3332,3735,7343,2398,4685
0900909-113,1712,899,765,1641,1049,575,1575,898,645,2158,1270,861,1880,1383,463,1968,1062,830
0900909-092,507,448,54,487,441,41,483,428,52,891,730,148,756,702,43,822,739,68
0900909-135,1618,700,874,1599,872,713,1592,739,839,1983,1056,903,1746,1065,647,1773,853,855
0900909-143,2585,761,1719,2543,950,1571,2535,805,1706,3202,1189,1985,2823,1287,1483,2886,944,1818
0900909-005,857,399,426,843,496,338,839,420,408,1207,684,501,1004,667,310,1044,516,477
0900909-180,1075,683,365,1047,735,299,1012,658,346,1626,1069,545,1504,1138,326,1629,1099,489
0900909-160,741,353,353,720,418,292,704,355,341,1057,574,472,854,544,290,901,452,416
0900909-001,842,436,360,822,511,295,813,459,343,1194,747,436,3105,2791,292,1056,581,423
0900101-055,1676,448,1215,1660,677,978,1627,522,1105,2300,1371,887,1867,621,1227,1836,881,812
0900101-060,1659,629,1014,1634,811,815,1613,713,894,2229,1349,860,1868,854,987,1878,971,806
0900101-093,3081,1092,1927,3039,1368,1638,3006,1127,1853,3973,1874,2041,3516,1741,1696,3613,1386,2072
0900101-083,1504,685,812,1513,848,661,1482,719,754,1972,1238,706,1738,905,802,1703,990,618
0900101-117,3197,1717,1423,3175,1971,1187,3149,1779,1349,3927,2554,1317,3654,2102,1482,3643,2117,1356
0900101-082,813,321,489,820,415,398,797,339,455,1070,613,442,1018,476,528,1013,561,410
0901515-018,417,119,262,414,171,235,411,131,272,629,209,401,529,277,225,532,170,314
0901515-016,658,212,397,649,294,340,637,205,424,945,372,550,796,457,316,811,264,484
0900909-147,4400,1845,2429,4358,2210,2112,4330,1971,2336,5469,2852,2553,3767,2013,1693,3827,1796,1908
0900909-148,4367,1680,2528,4325,2085,2205,4283,1771,2483,5356,2682,2609,5733,2784,2860,5854,2453,3166
0900909-149,1556,522,991,1538,663,855,1531,572,945,2165,1036,1098,1889,875,985,1899,764,1026
0900909-139,1557,658,864,1531,778,740,1520,668,839,1941,1025,893,1705,1030,648,1741,783,893
0901515-030,1662,1182,394,1633,1294,301,1598,1149,403,2481,1692,745,2038,1683,279,2183,1576,474
0901515-031,1909,930,857,1876,1099,751,1858,911,914,2311,1243,1025,2038,1282,685,2122,1048,968
0901515-007,932,340,532,922,452,456,915,347,544,1643,669,933,1191,721,417,1237,472,669
0901515-019,1984,918,963,1970,1108,835,1960,920,1022,2524,1357,1113,2213,1295,859,2232,1084,1014
0900101-124,4116,1665,2335,4064,2060,1956,4006,1775,2197,5675,2873,2726,4793,2825,1864,4963,2174,2563
0900101-125,879,341,518,868,424,439,860,350,502,1208,571,616,1031,617,388,1063,455,557
0900101-187,3423,1653,1722,3411,2037,1346,3372,1810,1542,4199,2732,1380,3772,2112,1607,3759,2202,1364
0900101-062,3217,1326,1840,3192,1712,1463,3171,1442,1717,4134,2552,1510,3585,1760,1776,3594,1937,1447
0900101-174,4206,1751,2380,4169,2152,1984,4109,1825,2264,5367,2823,2453,4849,2688,2108,4931,2292,2477
0900101-032,1161,980,164,1154,1004,137,1132,961,159,1796,1454,330,1555,1329,186,1688,1408,227
0900101-031,481,420,53,472,429,41,456,404,46,722,603,114,595,515,71,671,571,85
0900707-010,6355,2548,3380,6271,3225,2955,6219,2662,3461,7988,4051,3746,7087,4143,2771,7245,3210,3648
0900707-025,1803,968,730,1797,1157,616,1770,1019,732,2167,1375,756,1985,1334,606,2001,1156,745
0900707-031,2462,1071,1257,2441,1338,1081,2422,1145,1265,3113,1777,1294,2493,1439,1012,2489,1251,1158
0900707-020,1549,723,746,1534,862,654,1513,738,761,2036,1186,819,1732,1077,615,1769,917,755
0900707-035,1457,548,836,1437,717,707,1424,589,823,1865,992,853,1527,885,614,1574,709,816
0901111-033,2571,1977,484,2503,2081,362,2463,1901,491,3557,2765,730,3251,2648,433,3538,2729,634
0901111-050,1830,961,681,1810,1228,562,993,216,760,2256,1521,692,1905,1292,583,1925,1169,672
0900707-015,3635,1490,1982,3592,1884,1673,3559,1571,1961,4387,2343,1979,3952,2248,1634,4015,1895,1943
0900707-032,3418,1528,1698,3383,1928,1423,3348,1613,1701,4230,2476,1701,3694,2312,1327,3736,1956,1626
0900707-009,4674,1935,2467,4617,2390,2164,4567,2013,2483,5825,2980,2731,5001,2856,2017,5087,2331,2487
0900909-199,1910,816,1035,1874,1005,846,1864,866,977,2466,1255,1187,2109,1373,703,2180,992,1118
0900909-121,904,848,48,899,855,32,861,807,44,1222,1119,95,1264,1192,40,1317,1243,46
0900909-053,4907,2147,2567,4875,2823,2015,4770,2338,2383,5992,3583,2317,5222,3027,2117,5209,2778,2183
0900909-056,1454,951,462,1424,1023,370,1403,948,433,2156,1444,680,1736,1325,355,1867,1259,521
0900909-091,162,139,21,162,144,14,159,138,19,261,213,45,279,251,21,311,277,31
0900909-049,2435,1199,1158,2402,1402,983,2386,1231,1138,2871,1714,1137,2656,1629,976,2718,1443,1203
0900909-039,1903,1158,684,1875,1321,528,1857,1196,630,748,534,203,1767,1226,505,1851,1093,687
0901515-025,1610,575,934,1578,769,777,1568,582,962,2262,897,1312,1906,1060,780,1996,716,1163
0901515-003,2366,742,1469,2336,987,1302,2319,731,1548,3012,1182,1755,2664,1328,1270,2712,932,1609
0901515-020,2052,922,979,2007,1178,801,2025,931,1057,2939,1473,1398,2371,1543,713,2461,1129,1153
0900707-017,1023,717,257,1010,782,208,989,710,251,1403,1056,315,1261,979,219,1335,931,309
0900707-028,2171,1228,828,2137,1408,698,2106,1237,834,2715,1779,889,2474,1762,633,2588,1559,873
0900707-033,4737,1990,2381,4684,2528,2103,4642,2160,2424,5888,3155,2641,5148,3087,1929,5253,2494,2491
0900707-034,1996,793,1088,1956,1041,884,1934,847,1058,2446,1296,1105,2171,1249,879,2218,990,1120
0900707-012,2254,933,1182,2237,1170,1041,2209,981,1202,2740,1399,1294,2404,1332,1025,2451,1103,1212
0900707-013,2085,727,1219,2066,970,1068,2051,790,1227,2513,1189,1283,2247,1179,1025,2263,912,1225
0900707-002,6501,2814,3414,6408,3545,2798,6324,2913,3333,7804,4368,3312,7069,4320,2603,7191,3493,3415
0900707-016,2350,940,1281,2302,1187,1085,2281,996,1258,2853,1442,1356,2591,1513,1035,2636,1154,1361
0900707-003,6880,2964,3473,6793,3784,2941,6717,3201,3440,8783,4872,3749,7538,4685,2696,7714,3808,3486
0900707-026,1244,613,559,1212,704,486,1202,636,550,1646,988,621,1352,864,456,1408,754,572
0900303-019,2251,820,1336,2214,1053,1137,2207,885,1303,3229,1464,1701,2685,1508,1105,2775,1162,1488
0900303-020,2461,1087,1239,2415,1345,1042,2395,1121,1245,3530,1899,1569,3084,2010,1003,3187,1550,1463
0900303-161,1155,600,468,1137,735,388,1118,639,478,1541,1000,511,1298,870,396,930,793,74
0900303-045,744,349,345,737,420,311,726,376,345,949,574,357,806,477,313,817,434,339
0900303-116,2880,1466,1227,2841,1734,1080,2774,1511,1235,3673,2168,1458,3248,2140,1054,3282,1818,1330
0900303-094,2098,1333,645,2066,1469,564,2040,1351,656,2981,2139,802,2604,1997,524,2739,1865,740
0900303-130,3875,1747,1769,3849,2243,1573,3769,1915,1821,4649,2925,1646,3900,2292,1538,3958,2199,1554
0900303-136,3661,1800,1566,3629,2231,1351,3584,1924,1617,4451,2774,1580,4067,2668,1310,4095,2288,1616
0900303-137,2007,903,928,1990,1187,782,1967,988,955,2449,1494,896,2232,1370,818,2231,1222,884
0900303-160,2567,946,1423,2525,1265,1246,2485,1075,1386,3122,1584,1485,2766,1502,1217,2865,1262,1464
0900505-049,2303,621,1586,2257,836,1398,2244,658,1568,2957,1082,1832,2655,1270,1329,2739,840,1798
0900303-087,1632,960,576,1621,1078,516,1605,996,575,2402,1699,657,1811,1257,492,1863,1161,593
0900303-150,6479,2453,3619,6383,3180,3126,6312,2552,3688,8686,4363,4155,7367,3913,3273,7558,3334,3789
0900303-029,2506,1901,507,2420,1991,395,2337,1807,499,3537,2781,724,3242,2718,448,3395,2702,625
0900303-067,1504,1428,56,1451,1411,32,901,868,29,1970,1880,81,1822,1779,20,1949,1888,42
0900303-091,1476,838,531,1461,960,477,1440,869,553,2661,1747,857,1692,1195,448,1758,1081,555
0900303-095,2100,1186,753,2077,1358,672,2044,1234,780,2167,1597,518,2402,1693,630,2499,1527,785
0900303-089,2859,1414,1230,2820,1640,1138,2792,1486,1268,3512,2247,1211,3127,2011,1048,3177,1741,1263
0900303-016,2581,1118,1302,2529,1401,1090,2516,1180,1300,3420,1803,1552,2963,1917,989,3039,1492,1406
0900505-047,2725,780,1857,2689,966,1691,2664,788,1851,3308,1210,2059,2936,1263,1629,3048,967,1975
0900505-048,2209,577,1525,2165,777,1370,2157,651,1490,2859,967,1851,2526,1194,1289,2605,811,1704
0900505-022,734,348,348,719,404,298,716,351,358,919,491,416,861,498,342,861,405,416
0900505-028,4424,1273,2940,4379,1633,2696,4334,1321,2965,6593,2477,3984,5740,2865,2795,5810,1884,3767
0900303-158,4134,2309,1416,4112,2871,1205,4055,2564,1447,4779,3570,1148,4361,2888,1391,4369,3002,1167
0900303-157,3154,1722,1060,3137,2195,909,3097,1951,1119,3708,2750,889,3392,2241,1080,3370,2347,854
0900303-038,2679,1288,1229,2637,1564,1029,2607,1297,1269,3846,2261,1500,3305,2125,1048,3444,1750,1436
0900303-050,4014,2085,1595,3985,2570,1371,3948,2206,1702,5067,3296,1700,4539,3025,1412,4582,2763,1593
0900303-018,2478,853,1495,2431,1122,1283,2422,920,1484,3213,1516,1652,2881,1622,1205,2927,1220,1580
0900303-023,4905,1861,2744,4845,2345,2449,4805,2023,2728,6233,3099,3034,5289,2768,2426,5385,2352,2773
0900303-034,1220,536,595,1198,680,502,1188,583,593,1650,881,734,1447,871,527,1505,728,699
0900303-021,1971,988,868,1937,1180,718,1916,1011,873,2976,1764,1169,2523,1674,757,2629,1462,1052
0900303-120,1713,754,823,1686,976,688,1610,791,795,2163,1173,948,1905,1242,618,1952,995,870
0900303-011,1735,1580,120,1699,1604,87,1647,1515,117,2211,2057,141,2039,1955,62,2113,1984,106
0900303-121,1519,790,635,1493,930,544,1452,813,627,1918,1157,738,1749,1163,563,1774,987,711
0900303-013,2458,2004,362,2420,2113,283,2385,1998,362,3082,2716,337,2689,2390,265,2786,2401,320
0900303-129,2027,864,1011,2011,1106,879,1988,936,1028,2553,1387,1131,2277,1435,804,2330,1125,1100
0900303-100,364,234,115,356,269,86,326,227,97,488,316,169,407,304,92,432,294,127
0900303-035,2341,959,1237,2299,1179,1100,2273,989,1260,2873,1535,1300,2634,1535,1048,2734,1260,1351
0900303-041,3630,1523,1888,3552,1930,1566,3525,1584,1895,4983,2635,2263,4169,2563,1518,4323,1959,2158
