GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
0900303-105,5784,1885,3125,905,70,106,16,4292,1726,2002,605,48,72,11,5990,1634,3656,627,36,63,19,3928,1181,2353,333,12,40,0,5963,1624,3516,683,39,119,23,3896,1149,2276,356,12,95,0
0900505-051,8915,8365,227,69,65,211,3,7038,6667,143,51,41,148,3,8494,7687,398,32,55,334,0,6486,6119,203,34,40,87,0,8463,7718,390,58,123,224,0,6597,6170,220,44,90,73,0
0900505-052,1060,1001,18,23,14,13,0,838,799,11,15,10,7,0,1123,906,69,4,0,145,0,834,771,52,5,0,8,0,1099,985,88,8,0,19,0,928,850,65,5,0,7,0
0900303-155,7054,4356,1133,693,65,930,7,5494,3659,757,450,43,644,7,7409,4551,1275,565,66,1054,0,5097,3581,547,318,29,608,0,7552,4330,1272,650,51,1311,0,5148,3474,506,422,15,720,0
0900303-031,5942,3958,961,853,47,234,9,4783,3462,643,552,36,157,3,5523,3490,1232,783,42,189,13,4263,2932,771,436,4,125,0,5711,3483,1261,917,50,207,13,4331,2876,793,511,14,126,0
0900303-037,8479,7916,215,166,34,157,5,6660,6296,120,103,29,116,4,8463,7519,391,366,98,194,0,6706,6171,242,157,33,114,0,8670,7362,493,533,117,212,17,6833,6112,287,255,36,117,0
0900303-131,6543,5870,199,92,29,355,3,4855,4433,126,59,16,216,2,6746,6247,185,130,0,198,3,5002,4805,70,63,0,64,0,6475,5850,226,151,0,259,2,4932,4629,121,73,0,113,0
0900303-138,7595,6168,337,309,36,797,14,5794,4867,199,212,25,511,6,7566,5899,586,166,11,1033,0,5714,4921,339,80,3,355,0,7669,5579,670,379,36,1141,0,5741,4696,397,277,3,359,0
0900303-134,1796,1438,99,94,21,153,2,1436,1193,63,70,14,103,1,1776,1455,119,15,2,185,4,1335,1165,88,4,2,75,0,1702,1401,80,34,34,175,4,1311,1168,52,21,2,62,0
0900303-099,4791,1872,2019,943,52,118,6,3429,1603,1229,581,33,77,6,4225,1099,2037,1071,9,119,0,2783,994,1090,608,10,75,0,4848,1190,2349,1414,12,110,0,3012,1061,1245,639,10,50,0
