GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_ltg,Dem_2016_ltg,Rep_2016_ltg,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
100031-19,1154.0,663.0,429.0,1106.0,721.0,350.0,1057.0,679.0,378.0,1193,849,323
1000310-18,554.0,360.3,161.5,535.3,365.5,153.1,523.7,368.0,155.7,653,459,181
100032-19,839.0,469.0,326.0,815.0,526.0,267.0,796.0,514.0,282.0,844,608,225
100035-19,991.4,502.1,440.5,935.2,572.7,342.3,907.7,569.3,338.4,969,657,300
100032-21,518.6,261.3,228.5,498.4,310.8,177.6,483.8,309.2,174.5,588,379,193
1000313-20,1116.7,575.8,471.2,1118.4,619.7,474.6,1085.7,586.1,499.6,1139,677,443
100032-27,704.0,419.5,240.1,662.7,439.1,201.3,668.5,460.7,207.8,692,481,209
100039-27,1163.0,668.7,433.1,1123.9,704.6,380.6,1111.4,725.5,385.9,1056,713,323
100033-1,718.0,696.1,17.3,655.9,621.3,21.9,664.1,536.4,127.7,834,819,12
1000311-1,685.0,595.9,67.7,641.1,564.7,55.1,643.9,489.6,154.3,802,730,65
100036-2,497.4,414.7,52.6,474.8,390.1,68.2,471.8,376.6,95.2,571,501,65
100035-4,543.3,472.7,52.4,491.9,417.5,60.7,481.1,391.1,89.9,570,492,74
100037-24,660.1,485.2,151.6,621.6,471.6,133.1,620.0,460.4,159.6,584,459,119
100039-24,878.3,504.0,322.7,855.7,534.8,289.9,847.8,545.8,302.0,931,638,284
100032-26,676.6,515.7,134.3,644.2,508.3,115.7,634.9,491.5,143.4,816,642,166
100037-26,1615.5,1051.2,477.2,1558.3,1083.4,433.6,1523.4,1091.0,432.4,1520,1156,345
100036-9,2368.1,1420.9,801.1,2295.3,1481.8,746.5,2286.6,1517.8,768.8,2043,1362,656
100039-1,1439.0,1343.3,65.4,1307.9,1215.3,70.0,1282.0,1059.0,223.0,1478,1438,36
100032-2,1113.3,1073.0,25.4,985.9,948.7,24.4,965.3,816.3,149.0,1077,1064,12
1000310-7,678.8,394.3,244.3,667.1,407.7,242.1,648.9,395.2,253.8,760,465,286
100032-7,943.3,564.6,323.2,923.0,573.4,325.9,898.0,555.8,342.2,998,594,395
100033-9,3681.9,1920.2,1553.8,3570.1,2077.3,1420.6,3538.1,2103.3,1434.8,2558,1594,938
100035-8,2643.2,1540.1,963.4,2555.5,1658.8,852.4,2569.8,1717.8,852.0,2135,1424,693
100031-12,826.0,460.0,317.0,785.0,504.0,246.0,766.0,517.0,249.0,849,604,232
100035-15,1421.6,765.5,578.8,1352.9,787.8,523.5,1329.7,816.4,513.3,1202,817,367
100037-27,1202.2,622.4,529.6,1166.9,646.8,495.4,1139.8,654.0,485.7,1209,695,493
100039-15,1911.3,958.1,850.8,1848.1,1049.6,757.9,1830.1,1019.0,811.1,1859,1125,710
100032-3,850.8,624.1,189.7,804.9,644.1,143.0,780.4,621.9,158.5,984,808,162
100033-3,231.5,169.5,51.8,218.9,175.0,39.1,212.2,168.9,43.3,221,185,34
1000310-4,704.9,505.6,167.8,668.2,515.8,135.1,645.7,483.6,162.2,756,620,128
100037-11,654.1,366.8,254.1,656.3,400.5,245.8,643.7,360.6,283.1,617,331,279
100032-4,542.5,309.4,205.6,541.2,337.3,195.7,531.3,302.2,229.1,520,291,224
1000311-4,1065.4,611.8,386.8,1059.4,622.6,407.9,1036.3,577.3,459.0,1094,567,520
1000316-4,158.2,79.6,72.0,157.2,78.8,76.7,153.7,71.3,82.4,197,59,136
1000310-17,788.1,537.2,214.1,738.4,539.6,170.9,722.9,520.5,202.4,790,612,169
100032-6,1242.2,754.9,415.7,1218.6,787.2,390.0,1189.8,774.8,415.0,1304,846,439
100036-6,1209.4,665.2,484.9,1195.3,683.9,487.9,1155.5,667.0,488.5,1170,684,476
100033-4,1267.0,822.0,380.0,1271.0,905.0,349.0,1239.0,863.0,376.0,1294,843,438
1000311-5,770.9,612.8,131.9,732.5,603.4,115.1,724.1,573.5,150.6,754,631,114
100033-7,1107.2,651.3,402.5,1078.1,669.8,372.3,1049.9,638.7,411.2,1114,664,429
100035-11,702.4,434.6,230.8,691.8,462.1,212.9,679.9,453.9,225.9,668,484,175
100033-8,1589.2,946.0,570.7,1528.6,981.9,519.4,1539.1,1039.6,499.4,1439,945,475
100035-9,2282.0,1003.7,1155.1,2235.7,1128.3,1063.8,2219.1,1183.6,1035.5,1619,792,800
1000311-7,777.1,400.4,335.2,763.5,406.6,338.9,748.0,412.8,335.2,829,469,351
100033-10,1070.0,566.0,461.0,1026.0,575.0,422.0,1003.0,573.0,430.0,1080,636,427
100037-8,1217.2,288.3,861.0,1164.3,422.0,714.4,1154.4,537.8,616.6,1139,514,609
100038-8,1404.4,513.6,821.5,1353.2,636.4,691.3,1346.3,705.9,640.4,846,496,333
100034-11,900.6,511.2,327.5,888.6,554.1,306.5,859.7,542.2,317.5,950,601,332
100039-23,558.2,329.8,185.1,555.0,338.9,199.7,545.9,351.7,194.2,1094,660,418
100032-23,1676.9,975.6,575.6,1661.0,999.2,612.1,1633.2,1040.9,592.4,982,615,353
1000314-22,106.0,60.3,38.1,104.4,61.5,39.8,102.7,64.4,38.2,328,189,131
100032-24,1172.0,749.0,363.0,1116.0,744.0,321.0,1081.0,752.0,329.0,1233,910,298
100031-26,597.0,428.0,138.0,554.0,412.0,129.0,545.0,402.0,143.0,592,470,115
100032-16,649.1,557.5,78.5,582.9,511.5,59.1,578.8,469.5,109.3,819,793,25
1000310-16,449.9,386.5,54.4,404.1,354.5,40.9,401.2,325.5,75.7,406,334,69
100035-16,1179.5,1078.7,71.5,1092.3,1017.6,55.5,1076.2,935.1,141.2,1204,1152,49
100031-15,2149.0,1754.2,339.2,2010.3,1686.3,281.2,1993.7,1536.0,457.6,2034,1739,280
100036-17,834.8,627.8,175.9,790.8,625.9,147.1,786.4,576.1,210.4,805,659,136
1000310-12,954.9,496.1,400.9,950.6,508.1,419.9,927.3,495.4,431.9,1012,548,453
100037-12,1014.8,550.5,421.2,1003.9,554.2,436.7,980.5,516.3,464.1,1119,580,530
100034-12,676.5,337.6,310.3,672.4,337.0,327.5,656.8,304.0,352.7,675,354,316
