GEOID10,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
0400324,941.7,339.4,577.3,947.6,387.9,538.9,930.0,409.7,519.8,1090.9,440.3,560.4,1058.5,428.8,538.4,666,214,443
0400318,496.5,339.7,141.7,498.7,375.7,107.6,491.0,390.6,99.7,597.4,446.1,112.7,588.7,372.5,201.5,525,352,167
0400328,321.7,189.1,122.5,320.9,209.3,104.5,318.0,223.3,94.1,411.0,275.9,106.8,400.7,241.2,138.0,689,457,224
0400359,389.3,99.3,274.8,391.3,111.6,268.7,384.2,119.6,262.6,455.8,117.4,309.8,440.6,139.6,254.4,478,147,324
0400322,1353.0,337.0,993.0,1358.0,416.0,923.0,1336.0,422.0,912.0,1424.0,359.0,948.0,1385.0,388.0,883.0,1251,382,846
0400326,838.5,194.6,612.9,838.5,254.5,562.0,825.5,254.5,568.0,982.2,240.6,648.8,958.2,296.5,573.9,939,281,644
0400345,668.8,254.9,388.8,672.4,306.9,340.9,658.6,309.3,348.1,834.7,296.2,432.7,820.9,290.9,455.2,386,165,213
0400351,1070.0,247.0,792.0,1080.0,298.0,754.0,1064.0,310.0,751.0,1099.0,294.0,727.0,1069.0,336.0,661.0,1067,321,727
0400307,305.9,234.5,63.3,306.6,245.3,54.1,305.0,250.2,54.8,321.3,228.0,58.4,316.7,224.7,68.2,398,346,45
0400308,401.0,257.5,129.3,401.7,281.4,107.9,396.7,290.7,105.6,423.7,260.2,117.6,419.1,258.6,129.4,431,298,125
0400305,370.6,284.1,76.7,371.4,297.1,65.6,369.5,303.1,66.4,389.2,276.2,70.7,383.7,272.3,82.6,527,374,140
0400358,1122.7,216.7,867.8,1120.8,290.1,792.3,1105.7,323.3,779.4,1224.9,283.9,833.8,1188.8,339.9,745.7,1199,374,793
