GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
350157,2278,1278,28,916,19,24,12,1,36,60,24,10,1708,1038,19,612,12,17,9,1,22,35,16,6,2628.8,956.7,50.3,1598.2,17.0,2.9,3.7,0.0,52.0,18.2,3.7,0.0
350158,802,541,3,254,2,1,1,0,4,3,1,0,614,450,3,158,2,0,1,0,3,3,1,0,1025.1,551.3,6.3,467.4,0.0,0.0,0.0,0.0,24.5,0.0,0.0,0.0
350159,1738,607,24,1077,7,18,5,0,49,24,7,0,1224,485,10,709,5,10,5,0,22,17,6,0,1644.2,822.9,0.3,816.6,4.2,0.1,0.0,0.0,1.3,4.3,0.0,0.0
3501510,1270,297,88,863,7,12,3,0,108,54,6,2,962,239,78,631,4,7,3,0,87,28,3,0,1405.2,624.4,79.9,637.2,0.0,63.8,0.0,0.0,79.9,0.7,78.9,0.0
3501511,1006,231,23,726,8,9,8,1,36,26,9,1,718,181,14,505,6,5,6,1,21,18,7,1,1013.7,376.0,29.6,596.7,0.1,11.3,0.0,0.0,29.8,0.1,15.1,0.0
3501512,455,165,8,272,4,4,2,0,11,6,3,1,324,130,8,179,2,4,1,0,9,3,1,0,445.1,136.8,26.8,279.1,0.2,2.2,0.0,0.0,28.9,0.2,0.5,0.0
3501513,1357,495,45,797,8,11,0,1,61,16,0,2,1002,383,36,572,7,3,0,1,39,14,0,2,1357.2,508.3,73.0,758.5,0.0,17.4,0.0,0.0,106.4,38.0,0.0,0.0
3501514,903,305,18,554,4,18,1,3,29,30,6,8,668,255,13,382,3,11,1,3,20,26,3,4,923.4,239.8,67.4,611.4,0.0,4.9,0.0,0.0,72.3,0.0,0.0,0.0
3501515,1386,552,21,781,6,21,5,0,39,25,13,4,972,431,14,499,5,18,5,0,23,18,11,4,1475.0,505.0,12.0,934.0,8.0,16.0,0.0,0.0,12.0,8.0,0.0,0.0
3501516,2021,890,30,1060,9,23,9,0,50,26,22,6,1429,707,28,662,9,17,6,0,38,23,14,2,1547.0,550.0,0.0,976.0,12.0,9.0,0.0,0.0,0.0,21.0,0.0,0.0
3501517,1574,976,12,546,15,17,6,2,28,38,8,3,1193,810,8,347,11,10,5,2,12,25,6,3,1512.8,949.4,41.5,508.7,9.9,3.2,0.0,0.0,42.2,24.0,0.0,0.7
3501518,1314,846,11,423,14,13,7,0,27,31,8,0,970,669,6,272,11,7,5,0,10,21,6,0,1386.6,695.3,0.0,689.7,1.7,0.0,0.0,0.0,0.0,1.7,0.0,0.0
3501519,931,677,8,225,4,9,8,0,13,18,11,2,754,585,5,149,3,7,5,0,7,10,7,0,1035.7,469.1,0.5,529.1,33.6,0.2,3.3,0.0,0.5,83.7,8.3,0.0
3501520,1377,843,16,482,2,14,19,1,26,15,20,1,1093,709,12,346,2,9,14,1,17,12,15,1,1477.2,641.5,38.3,788.9,2.5,6.0,0.0,0.0,43.5,2.5,6.0,0.0
3501521,1104,661,22,387,7,15,12,0,41,26,16,0,815,517,18,258,5,8,9,0,27,18,10,0,1516.3,969.4,23.2,476.4,0.7,10.1,36.5,0.0,23.5,11.6,36.8,0.0
3501523,1337,628,19,660,2,19,9,0,33,33,10,0,969,496,12,438,2,12,9,0,18,21,9,0,1697.0,552.0,0.0,1133.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
3501525,730,510,4,179,12,12,13,0,11,31,17,1,575,422,4,117,11,8,13,0,9,25,14,1,990.4,656.9,12.8,292.3,0.3,5.9,22.1,0.0,12.8,6.9,22.1,0.0
3501526,1222,808,12,369,13,14,6,0,16,21,11,5,891,631,7,232,10,7,4,0,8,17,6,2,875.4,413.4,3.5,431.6,6.1,20.8,0.0,0.0,7.8,39.0,0.0,4.3
3501527,1627,1187,13,351,14,20,42,0,28,26,47,2,1262,978,9,221,12,9,33,0,13,21,36,1,1605.1,1011.3,4.9,578.2,0.1,2.3,8.4,0.0,4.9,2.6,8.4,0.0
3501528,1187,925,2,194,10,12,44,0,3,23,49,0,916,746,1,117,6,11,35,0,2,16,37,0,1821.9,1215.6,20.2,531.5,7.1,22.5,25.0,0.0,39.0,25.6,33.8,0.0
3501529,89,85,0,2,2,0,0,0,0,3,0,0,79,75,0,2,2,0,0,0,0,3,0,0,100.3,64.9,0.0,32.1,3.2,0.2,0.0,0.0,0.2,3.2,0.0,0.0
3501530,138,101,0,31,1,5,0,0,1,4,1,1,114,91,0,19,1,3,0,0,1,3,0,0,144.8,93.6,0.0,46.3,4.7,0.2,0.0,0.0,0.2,4.7,0.0,0.0
3501532,2174,680,7,1452,21,13,1,0,25,55,3,0,1552,523,5,1002,12,9,1,0,15,35,3,0,1962.5,615.9,0.1,1202.5,129.0,14.9,0.0,0.0,11.0,144.0,0.0,0.0
3501533,1972,1098,4,815,24,22,8,1,14,54,12,3,1488,861,4,589,15,13,5,1,8,36,8,3,2492.7,1140.9,42.8,1233.5,58.8,16.6,0.0,0.0,42.9,68.4,0.0,0.0
3501534,2912,1649,18,1171,17,54,3,0,53,69,9,1,2132,1289,17,785,11,27,3,0,31,43,9,0,3110.3,1326.5,125.0,1578.6,31.1,49.0,0.0,0.0,140.2,32.7,47.9,0.0
3501535,1285,821,2,414,24,20,3,1,10,50,8,3,977,658,1,280,19,15,3,1,5,34,6,3,1153.6,743.0,0.0,356.4,54.0,0.1,0.0,0.0,0.1,54.0,0.0,0.0
3501536,1150,885,7,228,5,13,12,0,7,23,13,0,877,702,7,147,5,8,8,0,7,15,8,0,1308.2,845.8,5.3,414.6,8.0,2.5,32.0,0.0,5.4,11.1,80.0,0.0
3501537,767,595,5,125,2,13,27,0,6,12,33,1,589,488,3,74,2,6,16,0,3,8,18,0,844.3,531.6,0.0,287.7,10.1,2.7,12.2,0.0,0.5,20.5,24.9,0.0
3501538,264,225,2,33,2,0,2,0,2,9,2,0,219,191,2,22,2,0,2,0,2,7,2,0,263.7,149.7,4.3,107.6,1.7,0.5,0.0,0.0,4.6,4.1,0.0,0.0
