GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
33013FRAN03,1481.0,617.0,757.0,1442.0,644.0,713.0,1463.0,681.0,707.0,1369,782,576
33003ALBA01,404.6,192.4,179.6,388.8,204.3,168.7,397.7,209.2,171.7,440,270,166
33003MADI01,1482.3,721.6,654.6,1469.3,697.7,718.6,1480.4,749.7,689.6,1424,826,581
33003CONW01,5267.4,2716.6,2203.9,5063.6,2480.9,2320.7,5196.5,2746.7,2234.8,5235,3210,1964
33009WATE01,265.0,150.0,99.0,262.0,137.0,117.0,269.0,142.0,124.0,220,134,85
33003BART01,1951.0,1094.0,730.0,1912.0,1018.0,835.0,1934.0,1082.0,809.0,1864,1100,740
33003BROO01,454.5,158.4,266.7,448.3,162.4,264.5,457.4,175.6,265.4,460,219,237
33003WAKE01,2780.8,870.4,1735.9,2703.0,886.4,1652.1,2736.9,970.1,1617.2,2675,1236,1405
33003WOLF01,4334.0,1871.0,2176.0,4257.0,1744.0,2369.0,4313.0,1862.0,2308.0,4204,2032,2137
33003CHAT01,206.0,79.0,103.0,198.0,78.0,106.0,205.0,82.0,107.0,216,95,115
33003EATO01,295.5,159.3,110.9,289.4,143.1,134.0,294.5,157.4,131.9,285,178,103
33003HALE01,123.0,26.0,97.0,123.0,27.0,96.0,122.0,28.0,94.0,127,34,92
33003EFFI01,859.0,317.0,481.0,833.0,352.0,438.0,850.0,352.0,430.0,830,421,396
33003OSSI01,2206.4,769.8,1293.7,2157.5,818.7,1234.7,2190.4,890.7,1198.7,2209,1025,1151
33003FREE01,958.0,425.0,476.0,925.0,411.0,493.0,945.0,438.0,484.0,916,453,453
33003MOUL01,3240.1,1148.0,1888.0,3175.0,1130.0,1950.0,3211.0,1181.0,1948.0,3036,1346,1668
33003TUFT01,1680.3,674.5,891.7,1644.2,624.5,969.7,1669.3,671.5,958.7,1623,736,876
33003HART01,38.0,17.0,14.0,39.0,21.0,15.0,39.0,21.0,17.0,27,17,10
33003JACK01,689.0,430.0,212.0,686.0,406.0,267.0,689.0,418.0,257.0,699,454,242
33003SAND01,1016.0,578.0,360.0,994.0,575.0,403.0,1011.0,591.0,409.0,1015,632,378
33003TAMW01,1630.0,739.0,761.0,1573.0,723.0,757.0,1606.0,805.0,707.0,1625,937,673
33017NDUR01,1673.0,578.0,981.0,1650.0,613.0,939.0,1659.0,650.0,946.0,1565,733,819
33005ALST01,1049.0,522.0,444.0,1026.0,529.0,465.0,1042.0,562.0,450.0,1033,658,372
33019LANG01,394.0,184.0,197.0,387.0,179.0,202.0,388.0,186.0,194.0,394,228,163
33005CHES01,2207.0,1166.0,910.0,2151.0,1107.0,977.0,2186.0,1188.0,932.0,2203,1340,850
33005DUBL01,1042.6,599.1,370.5,1020.6,589.1,398.5,1047.7,594.1,417.5,1071,663,399
33005FITZ01,1269.2,577.5,623.6,1236.2,574.5,605.6,1266.2,593.6,599.5,1301,754,530
33005RICH01,676.0,269.0,357.0,656.0,268.0,324.0,667.0,279.0,341.0,650,371,263
33005GILS01,458.0,197.0,231.0,449.0,217.0,208.0,444.0,225.0,199.0,437,234,195
33005KEEN04,1791.5,1105.9,553.3,1716.6,1058.4,577.1,1766.3,1131.8,561.7,2602,1725,851
33005KEEN05,3528.0,2143.0,1129.9,3319.6,2006.0,1264.1,3484.1,2153.2,1226.3,2721,1863,840
33005HARR01,690.3,444.9,201.5,681.3,457.9,201.5,692.3,452.9,212.5,713,520,188
33005HINS01,1774.0,917.0,733.0,1699.0,924.0,702.0,1743.0,974.0,670.0,1860,1300,540
33005JAFF01,2832.9,1310.0,1283.1,2760.0,1299.1,1299.1,2825.9,1362.0,1312.0,2865,1546,1290
33005RIND01,3479.1,1293.0,1961.9,3384.0,1206.9,1989.9,3431.0,1295.0,1955.0,3321,1607,1669
33005KEEN02,2445.6,1591.4,677.4,2344.8,1556.3,680.9,2403.3,1641.0,649.2,2606,1968,609
33005KEEN01,2744.6,1754.5,779.6,2562.3,1571.2,825.2,2678.7,1802.9,752.1,2855,2232,591
33005SWAN01,3874.1,1812.2,1830.3,3776.6,1767.6,1804.4,3847.9,1905.4,1742.1,3771,2254,1485
33005KEEN03,2157.0,1332.9,689.3,2129.8,1295.5,721.1,2179.4,1366.6,703.3,2410,1639,750
33005SURR01,510.3,236.2,243.2,502.3,251.2,238.2,503.4,257.2,239.2,527,291,230
33005WINC01,1795.0,840.0,829.0,1725.0,853.0,737.0,1769.0,892.0,723.0,1918,1211,681
33005WEST01,1035.0,555.0,411.0,1002.0,528.0,434.0,1018.0,548.0,428.0,1096,680,406
33005MRLB01,1192.0,711.0,408.0,1146.0,705.0,398.0,1175.0,732.0,407.0,1249,860,374
33005TROY01,1015.8,421.5,508.4,982.8,445.5,465.4,995.8,484.4,452.4,1003,566,428
33005MRLW01,461.0,219.0,200.0,437.0,229.0,195.0,447.0,232.0,203.0,453,266,184
33019ACWO01,567.0,274.0,240.0,552.0,283.0,242.0,564.0,298.0,234.0,566,357,203
33005NELS01,428.0,259.0,138.0,420.0,245.0,156.0,436.0,270.0,156.0,457,299,153
33005ROXB01,141.0,72.0,58.0,123.0,67.0,49.0,136.0,75.0,55.0,155,102,52
33005STOD01,772.0,350.0,378.0,763.0,372.0,363.0,765.0,359.0,374.0,698,393,302
33005SULL01,408.0,196.0,172.0,395.0,203.0,175.0,404.0,210.0,180.0,405,225,172
33005WALP01,2118.0,1169.0,755.0,2085.0,1145.0,853.0,2118.0,1223.0,800.0,2221,1404,801
33007ATGT01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007BGRT01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007BPUR01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007COLU01,348.0,109.0,219.0,333.0,111.0,210.0,346.0,124.0,213.0,345,160,181
33007COLE01,1053.0,359.0,593.0,1004.0,409.0,542.0,1031.0,415.0,569.0,1036,539,483
33007CAMB01,2.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,3,2,1
33007DUMM01,179.0,65.0,99.0,172.0,79.0,93.0,175.0,71.0,100.0,182,84,97
33007CARR01,484.0,213.0,245.0,482.0,217.0,248.0,481.0,227.0,240.0,486,288,194
33007CRAW01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007CHAN01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007CLAR01,180.0,68.0,95.0,171.0,78.0,85.0,171.0,78.0,85.0,162,73,88
33007STEW01,354.0,95.0,231.0,332.0,129.0,191.0,347.0,124.0,212.0,402,220,176
33007DALT01,515.7,194.3,282.8,501.4,195.7,265.5,511.6,211.6,276.7,525,271,248
33007DIXG01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007DIXV01,8.0,4.0,2.0,8.0,2.0,6.0,8.0,4.0,4.0,21,15,6
33007JEFF01,619.0,216.0,357.0,614.0,243.0,337.0,617.0,243.0,349.0,621,276,343
33007NORU01,1016.0,387.0,539.0,966.0,416.0,485.0,990.0,482.0,459.0,1052,650,395
33007LANC01,1636.0,657.0,841.0,1590.0,697.0,815.0,1622.0,689.0,866.0,1680,897,765
33007CUTT01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007MILA01,756.0,298.0,414.0,739.0,328.0,385.0,754.0,353.0,374.0,761,429,326
33007STAR01,299.0,98.0,186.0,288.0,119.0,149.0,296.0,121.0,160.0,297,171,124
33007ERRO01,198.0,54.0,135.0,188.0,60.0,123.0,192.0,72.0,116.0,190,97,92
33007ERVI01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007HADL01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007GORH01,1548.0,770.0,693.0,1506.0,768.0,678.0,1531.0,828.0,663.0,1533,978,544
33007GRGT01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,0
33007KILK01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007LOWB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007MART01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007SUCC01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007MILL01,21.0,4.0,16.0,21.0,3.0,18.0,21.0,3.0,16.0,16,5,9
33007ODEL01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007PINK01,3.0,3.0,0.0,3.0,3.0,0.0,4.0,3.0,1.0,5,5,0
33007PITB01,477.0,121.0,343.0,466.0,133.0,320.0,475.0,144.0,322.0,550,243,307
33007RAND01,259.0,160.0,79.0,250.0,153.0,93.0,259.0,165.0,90.0,250,165,84
33007SARG01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007SHEL01,255.0,125.0,116.0,254.0,119.0,121.0,259.0,122.0,126.0,277,147,128
33007SECO01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007WENL01,18.0,5.0,13.0,18.0,5.0,12.0,18.0,13.0,5.0,23,8,15
33007STRT01,276.0,132.0,126.0,267.0,144.0,106.0,271.0,150.0,98.0,322,207,111
33007THOM01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33007WHIT01,1147.3,469.7,560.2,1105.5,537.4,502.5,1137.4,528.4,554.3,1132,633,484
33009ALEX01,974.6,344.0,547.4,938.5,383.9,493.6,954.6,379.9,524.6,887,451,430
33009BRIS01,1673.7,629.1,904.2,1635.5,659.7,863.7,1673.7,703.7,875.9,1666,892,750
33009ASHL01,1113.3,504.2,520.0,1087.3,517.2,513.0,1111.2,536.2,531.1,1126,581,532
33009BATH01,552.0,211.0,292.0,540.0,222.0,295.0,549.0,213.0,314.0,510,268,230
33009BENT01,190.0,72.0,105.0,184.0,68.0,107.0,190.0,79.0,105.0,182,85,94
33009BETH01,1443.0,796.0,573.0,1422.0,762.0,565.0,1449.0,754.0,616.0,1408,869,517
33009LITT01,2930.0,1241.0,1436.0,2903.0,1290.0,1466.0,2914.0,1250.0,1541.0,2846,1582,1246
33009BRID01,722.0,267.0,423.0,598.0,299.0,275.0,708.0,275.0,415.0,704,353,347
33009CAMP01,1911.0,890.0,870.0,1887.0,1013.0,765.0,1920.0,931.0,893.0,1819,1072,726
33009PLYM01,3822.0,2143.0,1394.0,3720.0,2069.0,1433.0,3816.0,2180.0,1432.0,3878,2703,1130
33009CANA01,1895.0,938.0,850.0,1885.0,941.0,857.0,1916.0,995.0,836.0,1845,1132,697
33009ENFI01,2594.0,1445.0,931.0,2533.0,1426.0,996.0,2569.0,1457.0,1005.0,2455,1613,826
33009DORC01,218.0,51.0,136.0,212.0,73.0,117.0,212.0,72.0,121.0,208,96,109
33009LYME01,1188.0,890.0,232.0,1138.0,824.0,287.0,1177.0,847.0,304.0,1163,893,267
33009GROT01,331.0,112.0,196.0,319.0,128.0,161.0,328.0,119.0,186.0,312,138,174
33009EASN01,198.0,118.0,65.0,195.0,132.0,54.0,198.0,115.0,74.0,188,120,67
33009ELLS01,57.0,26.0,24.0,54.0,28.0,24.0,55.0,30.0,22.0,55,26,27
33009LEBA03,2149.4,1431.3,558.3,2081.2,1361.0,636.2,2117.8,1413.7,626.9,2450,1687,739
33009FRCA01,758.0,483.0,233.0,732.0,463.0,249.0,736.0,447.0,278.0,768,497,264
33009HAVE01,2165.0,785.0,1186.0,2105.0,759.0,1204.0,2140.0,774.0,1238.0,2066,1034,998
33009GRAF01,724.0,267.0,397.0,700.0,284.0,369.0,713.0,286.0,367.0,692,369,312
33009HANO01,7849.0,6561.0,926.0,7400.0,5674.0,1523.0,7761.0,5992.0,1646.0,7516,6140,1328
33009LEBA02,2506.1,1669.1,654.5,2460.7,1577.7,775.4,2493.8,1650.1,743.8,2053,1445,593
33009HEBR01,429.7,170.9,232.5,421.9,152.4,263.7,430.7,149.4,276.4,418,193,220
33009HOLD01,1328.4,703.2,545.4,1294.5,712.2,544.4,1313.5,690.2,591.3,1318,753,553
33009LAND01,253.0,105.0,127.0,248.0,107.0,132.0,218.0,62.0,146.0,241,129,109
33009LEBA01,2617.5,1797.6,628.1,2562.1,1683.3,801.3,2615.4,1737.2,805.3,2288,1548,723
33009LINC01,853.0,408.0,367.0,829.0,393.0,377.0,845.0,408.0,403.0,816,457,349
33009LISB01,729.0,262.0,395.0,704.0,287.0,370.0,718.0,290.0,383.0,781,432,345
33009LYMA01,327.0,126.0,169.0,315.0,136.0,165.0,325.0,131.0,182.0,315,166,147
33009LIVE01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33009PIER01,395.0,179.0,175.0,392.0,191.0,182.0,398.0,207.0,172.0,469,288,176
33009WENT01,532.0,175.0,323.0,521.0,196.0,307.0,529.0,190.0,317.0,530,270,248
