GEOID20,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_gov,D_2020_gov,R_2020_gov,Tot_2020_ltg,D_2020_ltg,R_2020_ltg,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2016_gov,D_2016_gov,R_2016_gov,Tot_2016_ltg,D_2016_ltg,R_2016_ltg,Tot_2016_pres,D_2016_pres,R_2016_pres
10003007-27,499,254,235,495,242,245,490,236,254,507,249,246,361,189,169,357,183,174,440,208,221,429,205,224,454,190,238
10003001-27,1850,1286,512,1849,1284,530,1833,1278,555,1892,1290,577,1436,1028,367,1402,1004,398,1667,1131,481,1667,1157,510,1724,1083,524
10003009-26,1424,1189,195,1434,1189,205,1404,1167,237,1502,1244,241,1009,847,133,988,825,163,1367,1103,224,1352,1061,291,1460,1154,242
10003008-04,1930,1228,663,1928,1232,671,1894,1187,707,1978,1215,746,1484,900,542,1460,946,514,1699,1003,671,1642,977,665,1732,926,721
10003008-13,1282,911,338,1292,926,337,1257,917,340,1351,935,394,899,665,209,878,656,222,1186,871,268,1141,843,298,1251,812,363
10003007-25,1279,800,434,1274,803,443,1259,798,461,1302,812,466,961,601,341,942,602,340,1200,712,441,1178,722,456,1240,677,496
10003005-25,1154,768,358,1157,759,376,1138,762,376,1178,768,387,819,544,252,805,540,265,1001,605,368,996,623,373,1018,574,387
10003002-25,1130,726,378,1133,725,385,1114,728,386,1142,734,386,922,579,320,899,562,337,1046,628,394,1037,646,391,1053,606,381
10003006-04,1028,803,197,1042,813,208,1012,773,239,1079,842,214,790,603,160,778,605,173,954,703,225,921,675,246,971,688,216
10005004-38,2187,1118,1036,2205,1148,1034,2162,1117,1045,2219,1150,1054,1772,883,870,1714,879,835,1844,865,959,1807,860,947,1864,785,1022
10003003-16,892,852,25,904,856,32,876,809,67,965,929,30,718,683,22,708,594,114,893,850,34,892,757,135,968,921,32
10005006-35,745,226,503,755,217,532,742,230,512,772,222,544,501,142,349,482,157,325,645,214,425,634,219,415,668,151,507
10005007-39,1182,489,659,1182,499,661,1152,488,664,1216,481,717,867,356,495,846,378,468,1115,521,565,1093,503,590,1161,410,711
10005002-35,2596,1010,1547,2620,1030,1545,2552,1001,1551,2656,1033,1595,1836,665,1149,1801,724,1077,2035,783,1215,1990,794,1196,2111,645,1384
10005005-14,2912,1465,1389,2930,1491,1397,2868,1491,1377,2961,1470,1462,2129,1039,1059,2075,1092,983,2296,1122,1123,2263,1188,1075,2354,995,1277
10005004-35,1696,820,828,1712,826,848,1655,801,854,1738,850,868,1199,563,611,1144,577,567,1504,804,676,1453,790,663,1563,704,806
10005001-37,1329,735,540,1359,739,590,1307,741,566,1420,770,625,953,492,451,921,518,403,1256,728,501,1228,728,500,1297,636,605
10005005-40,885,291,566,890,306,566,874,318,556,910,285,611,644,236,403,631,258,373,829,364,443,811,344,467,856,235,583
10003005-01,1187,1015,132,1200,1023,152,1150,949,201,1227,1057,151,1009,861,111,989,813,176,1137,930,171,1110,877,233,1219,987,169
10003005-08,2033,1456,518,2031,1460,533,1998,1433,565,2080,1487,557,1441,1065,344,1425,976,449,1729,1214,489,1748,1217,531,1800,1171,539
10003005-09,1323,836,453,1319,829,470,1310,830,480,1364,850,496,700,455,234,693,456,237,657,341,306,656,359,297,673,304,335
10003002-07,1455,970,452,1459,976,465,1438,928,510,1478,960,494,1153,747,377,1124,751,373,1365,848,482,1328,822,506,1395,835,478
10003005-19,1087,676,383,1097,659,416,1061,646,415,1138,668,457,738,439,280,719,457,262,951,571,358,923,567,356,1029,524,461
10003002-21,1126,666,435,1137,672,440,1110,656,454,1150,647,483,820,498,303,811,524,287,990,617,353,961,614,347,1030,519,454
10003007-06,1013,671,313,1010,663,332,991,620,371,1018,655,342,841,548,270,825,547,278,936,561,342,909,553,356,942,542,344
10003003-17,1284,1014,239,1297,1029,252,1271,980,291,1358,1074,267,1009,809,172,998,801,197,1178,920,231,1172,849,323,1240,915,276
10003006-16,760,665,64,782,690,62,745,653,92,833,754,73,542,500,31,536,446,90,692,612,59,672,542,130,769,680,66
10003002-16,1056,883,140,1066,887,133,1031,868,163,1125,965,150,795,689,82,776,606,170,984,863,100,976,792,184,1095,940,133
10003001-12,1359,912,412,1354,903,422,1333,877,456,1376,899,452,1144,779,343,1130,804,326,1259,788,433,1225,761,464,1263,729,448
10003001-07,1310,795,474,1314,794,486,1276,778,498,1349,800,524,969,606,333,950,610,340,1149,685,422,1106,682,424,1197,657,465
10003003-09,1830,1036,750,1830,1051,758,1805,1050,755,1861,1021,818,1353,784,542,1334,779,555,1646,927,679,1643,975,668,1699,838,761
10003005-26,1294,1006,245,1293,993,272,1270,963,307,1338,1045,270,1020,805,188,1006,803,203,1234,896,289,1217,901,316,1288,943,286
10003001-19,1119,700,380,1121,694,402,1100,707,393,1145,713,420,871,564,277,846,582,264,1106,721,350,1057,679,378,1154,663,429
10005003-14,2399,1534,825,2394,1553,821,2358,1514,844,2415,1530,860,1895,1193,677,1854,1209,645,2069,1245,776,2034,1238,796,2113,1198,839
10005007-20,2247,1489,726,2248,1486,733,2222,1456,766,2262,1495,743,1916,1214,664,1870,1233,637,2009,1189,781,1959,1213,746,2023,1117,802
10003010-09,1306,835,446,1300,828,447,1288,819,469,1344,849,482,937,599,319,927,581,346,827,493,320,815,486,329,853,465,342
10003012-02,480,449,12,486,455,7,461,422,39,534,515,16,385,370,8,376,335,41,529,513,8,522,456,66,597,582,7
