GEOID20,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_gov,D_2020_gov,R_2020_gov,Tot_2020_ltg,D_2020_ltg,R_2020_ltg,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2016_gov,D_2016_gov,R_2016_gov,Tot_2016_ltg,D_2016_ltg,R_2016_ltg,Tot_2016_pres,D_2016_pres,R_2016_pres
10003009-22,1007,584,404,1007,587,405,995,555,440,1023,561,443,825,469,341,811,484,327,977,536,420,954,510,444,1005,486,461
10003002-22,1124,719,371,1116,700,399,1088,651,437,1133,689,421,852,518,319,836,520,316,978,554,404,945,511,434,972,499,410
10003004-02,100,77,22,100,76,23,99,71,28,100,76,21,81,60,17,81,61,20,70,46,18,70,49,21,71,51,19
10003013-13,97,83,12,98,83,14,95,77,18,105,86,19,74,66,7,70,61,9,108,87,19,108,82,26,119,86,26
10003002-12,1081,723,332,1083,721,342,1062,698,364,1095,725,356,850,556,266,837,568,269,965,585,346,935,578,357,985,569,348
10003011-01,623,548,51,625,554,55,601,511,90,639,583,51,518,465,32,512,423,89,578,505,53,580,438,142,616,529,66
10003004-04,542,459,72,540,448,81,523,429,94,559,471,80,444,372,62,433,368,65,490,383,91,474,361,113,544,421,98
10003006-25,1205,826,336,1212,825,345,1173,813,360,1247,841,376,830,560,244,819,575,244,1102,710,355,1093,739,354,1153,707,381
10003008-25,560,379,167,564,378,174,556,378,178,579,380,192,437,297,127,429,304,125,502,338,148,511,359,152,540,325,178
10003007-09,605,328,262,601,308,284,596,333,263,605,311,279,418,219,193,409,219,190,501,250,245,507,269,238,523,223,272
10003001-22,1366,860,471,1366,834,509,1350,792,558,1379,838,521,1110,672,411,1086,677,409,1271,693,551,1246,687,559,1278,653,576
10003009-10,1036,622,386,1032,620,392,1018,595,423,1049,601,424,804,479,303,793,491,302,920,539,357,898,524,374,958,512,401
10003003-06,321,236,77,323,232,82,318,214,104,330,229,95,273,185,84,274,184,90,311,188,114,308,183,125,311,185,109
10003002-23,1315,884,378,1308,874,399,1279,863,416,1336,901,405,1112,747,324,1094,725,369,1294,798,458,1273,826,447,1298,775,420
10003009-16,280,180,88,275,186,82,268,182,86,285,177,103,216,141,70,210,139,71,244,164,74,239,162,77,257,151,99
10003007-05,874,691,166,870,697,159,856,680,176,911,718,181,604,498,90,599,484,115,684,545,130,674,515,159,724,552,150
10003012-13,5,5,0,5,5,0,5,5,0,5,4,0,1,1,0,1,1,0,4,4,0,4,4,0,4,4,0
10003003-02,231,201,25,227,194,28,225,182,43,233,202,27,178,151,19,180,152,28,192,151,35,190,148,42,195,156,23
10003014-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003009-08,297,144,147,297,141,150,291,139,152,303,136,163,181,95,85,180,101,79,258,132,120,255,138,117,257,118,125
10003016-04,109,91,16,112,92,18,112,88,24,117,97,19,74,59,14,73,57,16,104,83,17,101,76,25,111,84,22
10003004-27,1459,960,461,1458,964,466,1436,974,462,1488,968,489,1047,721,307,1024,712,312,1225,747,442,1211,781,430,1271,722,477
10003009-04,573,485,63,573,484,73,560,469,91,595,513,77,466,398,50,464,396,68,523,406,98,507,407,100,548,425,84
10003011-06,1090,723,347,1092,704,369,1073,663,410,1089,705,372,909,597,297,895,597,298,1025,633,371,996,621,375,1026,627,351
10003009-12,1136,744,371,1137,733,388,1106,684,422,1152,723,413,800,516,272,785,515,270,979,571,384,962,545,417,996,544,402
10005010-36,129,47,80,129,52,74,125,46,79,134,49,84,85,38,47,83,39,44,124,53,70,117,50,67,127,38,85
10005010-20,315,114,195,313,112,197,308,112,196,320,109,206,242,91,147,240,100,140,270,97,167,263,98,165,276,78,187
10003009-15,624,356,252,623,358,258,611,362,249,634,356,265,427,262,152,420,269,151,523,301,208,522,307,215,542,276,239
10003013-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003004-15,908,622,267,909,620,278,891,617,274,934,629,293,666,464,185,658,450,208,840,552,267,836,558,278,864,506,306
10003003-13,267,217,41,270,225,41,263,215,48,301,238,58,182,156,16,183,163,20,278,254,22,273,228,45,304,263,36
10003009-05,862,736,102,859,725,111,840,718,122,907,782,116,649,565,64,637,527,110,775,678,84,774,653,121,839,717,104
