GEOID20,Tot_2016_gov,D_2016_gov,R_2016_gov,Tot_2016_ltg,D_2016_ltg,R_2016_ltg,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_ag,D_2016_ag,R_2016_ag,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_ag,D_2020_ag,R_2020_ag,Tot_2020_gov,D_2020_gov,R_2020_gov,Tot_2020_ltg,D_2020_ltg,R_2020_ltg,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ltg,D_2018_ltg,R_2018_ltg
50007500708,2628,1901,643,2548,1949,525,2685,2150,235,2499,2156,246,2621,2138,307,3020,2691,236,2801,2400,204,2938,1448,1418,2872,2151,485,2504,2228,179,2590,1708,768,2583,0,223,2534,0,375
50007500707,2967,2118,756,2862,2164,617,3009,2391,280,2831,2456,279,2958,2412,364,3299,2938,274,3082,2672,233,3213,1518,1636,3153,2368,571,2718,2427,196,2794,1814,893,2789,0,260,2739,0,433
50023502313,1935,1284,614,1879,1372,465,1929,1496,202,1838,1537,227,1926,1526,295,2102,1854,191,1953,1634,195,2072,919,1101,2031,1454,466,1748,1518,164,1815,1119,646,1797,0,185,1793,0,345
50023502314,1697,1126,538,1647,1201,405,1691,1313,172,1610,1345,200,1678,1335,258,1834,1622,163,1705,1431,166,1809,799,966,1777,1273,413,1531,1330,142,1585,975,565,1572,0,161,1569,0,301
50023502315,1150,762,363,1114,813,275,1151,889,118,1093,916,134,1149,906,175,1249,1100,114,1161,972,117,1234,546,657,1203,862,278,1040,903,96,1076,664,385,1070,0,111,1063,0,200
50023502311,869,367,476,858,465,370,864,417,284,830,533,266,856,482,317,964,586,336,900,574,281,954,287,641,935,444,450,714,470,214,725,320,373,723,0,225,718,0,282
50027502721,1568,610,904,1531,712,783,1577,745,647,1495,801,616,1565,804,638,1792,1018,725,1677,930,623,1786,361,1334,1746,720,928,1206,704,463,1239,360,778,1242,0,466,1233,0,584
50027502719,3924,1578,2161,3828,1927,1783,3953,1873,1510,3740,2052,1483,3899,2067,1455,4516,2583,1768,4226,2408,1522,4405,1082,3032,4357,1863,2173,2899,1766,1006,2949,961,1661,2930,0,1037,2925,0,1280
50027502711,1093,468,578,1056,535,500,1090,538,403,1028,574,398,1090,577,408,1237,718,473,1148,656,395,1214,296,865,1202,513,615,860,517,303,901,300,526,892,0,312,888,0,398
50027502710,1924,958,910,1854,1070,735,1924,1158,558,1803,1209,526,1920,1189,616,2198,1511,631,2036,1358,571,2157,622,1449,2132,1159,899,1550,1087,411,1610,667,862,1601,0,403,1577,0,517
50025502522,1534,958,501,1498,1011,437,1546,1001,352,1462,998,375,1533,1048,343,1789,1303,429,1677,1159,376,1770,779,878,1746,1114,524,1304,995,248,1343,847,417,1342,0,230,1335,0,315
50025502521,393,189,186,370,198,157,392,199,137,374,209,135,388,223,127,492,325,159,457,287,143,491,145,324,481,259,198,317,200,104,322,144,162,322,0,107,316,0,124
50027502708,1225,608,588,1184,645,508,1238,738,356,1143,692,415,1242,727,461,1506,1046,416,1404,928,416,1488,364,1074,1466,787,630,1024,710,282,1073,422,603,1064,0,260,1051,0,367
50027502722,707,343,343,682,376,296,707,469,173,670,438,211,709,448,225,841,618,200,793,553,194,836,222,588,825,441,355,642,451,158,668,236,393,663,0,159,661,0,223
50027502718,761,358,376,745,443,285,755,428,217,716,485,203,754,443,279,894,585,278,860,584,235,893,272,589,888,471,386,643,450,167,651,277,340,651,0,166,650,0,215
50019501901,457,114,320,451,186,252,450,207,183,439,261,158,452,225,196,540,286,235,514,301,184,536,106,393,529,215,290,387,245,130,396,140,246,393,0,142,396,0,193
50011501108,2415,640,1729,2375,767,1588,2397,1019,1023,2354,1483,818,2412,1224,1086,2917,1517,1295,2767,1639,1049,2899,391,2386,2845,979,1734,2028,1222,756,2058,495,1497,2049,0,846,2062,0,1339
50011501119,3129,903,2154,3101,924,2129,3114,1416,1268,3040,1977,982,3130,1777,1229,3794,2126,1557,3623,2274,1246,3778,579,3028,3714,1364,2142,2763,1796,911,2790,701,1998,2762,0,1037,2801,0,1646
50011501109,1390,303,1047,1377,344,1016,1386,474,699,1348,799,513,1380,666,651,1726,698,977,1649,909,686,1716,214,1395,1678,501,1101,1103,597,479,1114,201,862,1120,0,534,1123,0,755
50025502518,127,45,77,122,49,70,126,65,50,120,53,59,128,60,56,190,119,67,179,107,68,190,54,135,187,101,83,119,70,48,122,38,78,122,0,42,121,0,54
50025502509,1144,729,368,1116,764,317,1165,719,274,1082,729,283,1137,773,254,1354,975,345,1253,899,292,1328,566,699,1292,809,410,997,765,191,1034,624,351,1026,0,162,1026,0,245
50025502520,1110,387,673,1053,394,623,1122,492,486,1033,463,512,1109,504,501,1300,718,549,1153,616,476,1248,277,890,1225,546,625,846,449,368,880,281,544,879,0,352,859,0,452
50011501102,612,148,444,608,181,419,609,209,308,597,345,238,615,318,272,711,284,402,671,344,308,707,107,549,692,222,439,491,273,204,506,97,383,502,0,210,499,0,312
50011501101,597,186,386,585,231,343,597,295,209,570,369,180,595,364,202,696,395,272,662,416,223,696,128,539,678,286,361,509,362,126,522,166,323,518,0,150,522,0,256
50027502701,330,134,187,317,153,157,330,166,125,314,183,120,331,176,135,365,216,132,342,211,116,357,93,244,357,168,169,293,172,97,303,89,190,300,0,117,298,0,138
50025502508,394,144,236,376,172,192,390,210,131,362,188,151,387,212,137,405,263,129,382,235,105,411,104,291,399,203,169,300,183,102,310,121,176,303,0,80,300,0,108
50027502707,1544,691,801,1496,788,656,1546,827,512,1467,870,508,1543,878,542,1772,1089,619,1680,1005,545,1742,428,1202,1732,778,820,1195,759,388,1248,441,708,1231,0,378,1233,0,524
50027502723,415,210,183,401,214,179,414,267,106,390,250,123,408,276,118,456,332,114,424,298,105,454,126,316,442,249,178,345,238,97,359,141,200,359,0,97,354,0,128
50027502706,680,269,387,656,309,327,686,306,262,645,350,262,680,345,271,792,466,297,749,416,270,780,177,565,772,319,399,551,319,206,569,172,319,570,0,204,563,0,254
50011501104,2406,775,1571,2364,924,1401,2365,1063,947,2318,1464,791,2407,1286,1023,2996,1648,1229,2872,1733,1028,2977,507,2367,2940,1158,1646,2054,1284,715,2080,648,1363,2061,0,774,2074,0,1185
50011501105,948,277,649,936,341,587,944,489,338,906,640,249,940,585,320,1140,625,474,1100,725,338,1136,189,890,1122,442,621,847,603,230,871,246,593,860,0,298,870,0,481
50027502717,1329,580,711,1281,685,549,1317,698,406,1244,778,395,1322,706,525,1486,930,492,1375,900,402,1462,371,1016,1438,692,683,1112,759,295,1161,458,615,1147,0,277,1134,0,431
50027502725,1894,1048,792,1806,1106,661,1880,1319,372,1757,1225,483,1893,1261,564,2109,1645,402,1931,1458,394,2087,582,1446,2057,1220,774,1604,1217,329,1672,752,854,1657,0,323,1648,0,463
50023502309,1617,794,796,1586,926,616,1610,1032,356,1550,1172,338,1602,1097,429,1764,1315,391,1643,1257,315,1741,553,1139,1720,998,652,1329,1052,250,1364,617,716,1356,0,274,1345,0,457
50023502318,677,383,278,661,417,212,676,424,129,647,485,133,673,444,180,814,606,166,772,585,140,806,341,443,788,481,263,616,501,93,639,369,254,630,0,112,631,0,168
50023502301,1024,329,670,1007,472,512,1008,522,344,990,655,308,1016,562,403,1192,752,407,1147,755,340,1176,261,883,1166,510,614,813,555,232,826,272,534,820,0,254,825,0,381
50023502302,1120,360,728,1101,509,563,1115,569,377,1087,715,338,1120,618,439,1317,820,450,1259,830,371,1306,286,967,1285,557,669,891,604,256,904,294,576,910,0,271,909,0,421
50023502303,1100,354,717,1087,504,557,1093,562,370,1068,704,330,1104,604,437,1298,808,441,1243,820,365,1290,282,949,1269,551,661,880,598,250,911,295,571,913,0,272,893,0,414
50011501120,2681,730,1867,2660,701,1917,2670,1101,1192,2629,1655,913,2677,1436,1126,3228,1566,1546,3101,1775,1212,3202,426,2609,3163,1030,1962,2127,1308,758,2167,473,1609,2139,0,865,2147,0,1338
50001500111,3651,2212,1351,3542,2312,1174,3667,2682,595,3467,2690,659,3629,2663,800,4331,3479,732,4081,3249,657,4272,1625,2545,4195,2776,1267,3398,2792,505,3501,1944,1453,3485,0,526,3444,0,862
50017501702,602,253,329,582,289,286,593,289,217,573,340,210,593,321,241,717,434,260,685,435,216,709,157,525,707,309,375,511,334,159,526,173,329,516,0,167,519,0,237
50017501707,709,291,396,684,307,301,698,345,267,671,395,249,706,391,268,793,445,323,751,444,277,778,163,583,779,449,311,552,328,206,557,210,322,553,0,189,551,0,240
50017501717,194,80,110,192,85,84,191,96,70,183,109,68,188,107,72,221,125,86,212,125,78,218,44,163,218,125,85,144,87,54,149,54,86,155,0,51,153,0,65
50017501708,176,75,98,172,77,76,175,87,66,165,98,62,172,97,66,200,112,81,190,112,70,199,42,145,194,112,77,136,82,51,144,52,81,142,0,46,137,0,59
50023502308,788,305,464,768,381,366,785,434,196,756,530,199,778,455,280,914,648,243,846,617,187,909,225,662,887,461,395,655,481,143,676,250,406,673,0,163,679,0,287
50023502322,3067,1465,1552,2959,1680,1221,3040,2035,592,2873,2203,606,3026,2120,780,3498,2778,621,3293,2586,576,3469,937,2453,3408,2011,1282,2626,2109,453,2702,1133,1496,2696,0,512,2686,0,910
50015501502,1934,808,1068,1901,1038,818,1928,1067,520,1863,1319,472,1927,1205,580,2199,1521,587,2080,1476,509,2184,540,1582,2139,1129,920,1734,1269,401,1774,739,965,1767,0,444,1766,0,713
50003500307,2380,1084,1231,2278,1128,1096,2393,1452,706,2214,1214,866,2375,1404,827,2785,1985,732,2521,1670,722,2724,787,1809,2655,1462,1074,2009,1306,590,2096,880,1122,2077,0,604,2034,0,793
50003500316,518,214,292,490,246,229,517,281,183,477,252,186,512,296,176,652,386,240,617,364,222,643,159,423,631,321,290,448,278,139,459,191,240,462,0,131,452,0,164
50003500304,1191,506,662,1147,536,583,1189,740,334,1107,590,447,1185,715,409,1413,997,377,1284,834,389,1391,402,928,1345,731,562,1019,680,297,1048,392,610,1044,0,273,1029,0,376
50019501906,681,259,379,657,372,266,687,435,153,634,450,161,675,440,189,774,558,190,717,514,161,763,216,514,744,438,280,547,419,103,570,297,251,568,0,115,564,0,177
50019501915,1539,489,970,1508,664,808,1543,721,614,1496,892,550,1533,797,634,1842,1033,757,1757,1055,623,1805,379,1309,1790,707,1005,1276,761,464,1290,389,847,1280,0,472,1287,0,648
50015501508,2796,1421,1372,2784,1542,1191,2841,1974,559,2658,1861,723,2851,1950,791,3406,2706,599,3132,2294,711,3388,875,2454,3263,1889,1272,2500,1885,551,2635,1097,1476,2575,0,574,2560,0,888
50003500309,1606,742,785,1532,805,637,1628,761,681,1505,715,541,1599,915,510,1778,892,831,1674,837,744,1742,457,999,1704,766,828,1267,612,465,1298,492,635,1302,0,409,1281,0,566
50017501711,690,439,233,679,492,177,693,500,105,669,523,120,694,492,158,800,656,118,749,595,103,794,331,444,785,548,205,604,498,84,628,332,232,623,0,80,616,0,117
50001500101,785,196,578,769,261,492,775,324,337,757,434,307,776,355,391,870,445,379,842,500,317,862,145,680,849,321,514,623,370,245,644,154,465,636,0,266,636,0,386
50001500103,1930,858,1022,1899,984,870,1926,1075,558,1868,1267,525,1918,1140,666,2245,1482,691,2162,1490,556,2236,625,1542,2197,1146,960,1672,1201,416,1715,694,949,1707,0,445,1704,0,674
50001500112,1214,480,704,1188,610,562,1202,671,360,1169,794,337,1200,753,405,1403,960,395,1348,962,329,1400,358,1010,1380,721,601,1074,780,268,1100,425,641,1085,0,281,1092,0,435
50017501718,295,127,160,288,156,118,297,161,97,287,184,79,292,166,100,357,219,125,341,213,113,351,100,239,354,185,157,246,176,66,251,106,136,249,0,67,249,0,94
50013501203,306,92,204,297,114,178,306,136,140,294,189,98,298,148,133,349,191,147,343,208,126,349,76,258,343,136,188,278,181,85,282,84,188,281,0,101,281,0,158
50013501301,892,278,583,876,347,512,888,372,399,868,544,294,884,485,353,1079,550,499,1035,589,396,1069,195,817,1059,396,610,703,427,257,715,164,511,716,0,283,708,0,404
50013501304,631,201,414,622,264,347,621,320,216,613,417,180,624,338,256,705,430,250,686,453,211,700,135,556,700,321,353,559,386,162,569,182,364,561,0,193,563,0,287
50001500122,562,338,217,541,334,197,523,415,74,537,423,103,557,419,120,612,517,78,582,481,79,604,221,380,598,421,159,511,435,64,532,280,242,514,0,82,523,0,148
50001500102,656,204,442,642,236,397,655,292,278,620,363,250,661,308,321,738,392,321,699,410,268,739,135,577,720,288,416,565,344,206,584,139,429,575,0,230,577,0,327
50001500110,786,430,330,775,492,273,791,494,188,752,558,168,790,531,210,959,723,211,907,702,167,945,350,573,933,594,308,735,570,152,755,396,340,755,0,163,757,0,235
50001500113,1088,398,664,1066,504,543,1078,594,337,1035,704,312,1071,619,410,1172,732,396,1118,744,335,1164,232,901,1154,546,567,940,658,261,966,332,597,949,0,283,958,0,456
50017501712,1632,1011,582,1565,1064,455,1645,1145,324,1545,1144,334,1626,1177,387,1910,1448,409,1784,1322,367,1888,683,1155,1848,1216,567,1405,1134,226,1442,778,618,1436,0,220,1423,0,321
50019501912,244,73,162,233,117,111,245,113,101,231,151,73,238,134,72,294,144,139,280,151,109,293,60,207,281,110,154,202,98,87,206,64,134,205,0,79,204,0,105
50019501902,1070,299,732,1047,410,613,1069,502,425,1025,566,418,1070,577,441,1296,687,570,1223,741,443,1270,257,931,1250,460,749,878,547,307,896,257,605,895,0,330,894,0,445
50007500713,4751,2022,2644,4659,2382,2195,4740,2847,1274,4588,3369,1122,4740,3098,1490,5661,3979,1518,5363,3951,1252,5627,1259,4251,5484,2803,2492,4006,2973,958,4101,1423,2569,4065,0,1163,4063,0,1759
50007500715,5068,2260,2709,4935,2550,2304,5060,3057,1331,4866,3546,1214,5042,3294,1572,6122,4467,1445,5775,4347,1247,6035,1484,4393,5912,3267,2415,4392,3321,964,4487,1848,2495,4472,0,1125,4420,0,1735
50009500906,408,124,271,389,152,224,420,175,202,386,193,170,412,208,168,484,232,234,450,247,166,474,81,364,466,197,247,310,185,121,320,82,212,314,0,114,305,0,165
50015501505,1548,533,971,1509,755,728,1531,788,475,1481,995,444,1535,910,555,1731,1118,546,1657,1096,475,1718,380,1282,1685,818,811,1296,907,353,1332,493,809,1326,0,366,1318,0,574
50017501704,667,200,457,651,265,377,660,304,273,630,331,269,666,295,336,723,404,284,700,422,236,730,143,552,716,287,403,551,339,198,568,159,381,561,0,211,562,0,290
50019501908,593,168,389,586,263,305,585,290,193,569,332,208,585,317,232,666,401,239,623,413,182,659,162,465,639,287,327,504,329,159,525,184,325,519,0,178,515,0,248
50019501913,429,75,333,417,137,271,433,123,250,413,204,200,424,183,215,487,201,273,462,212,231,476,102,330,474,161,290,310,140,158,317,76,224,317,0,162,314,0,214
50019501907,2184,527,1591,2139,814,1284,2182,885,1004,2097,1161,872,2180,1073,980,2515,1167,1280,2368,1305,976,2471,414,1924,2432,846,1508,1743,1038,652,1800,483,1251,1776,0,735,1791,0,979
50003500317,518,220,281,486,245,229,517,299,158,482,264,194,513,300,167,674,473,182,624,387,194,667,189,447,638,372,239,431,270,138,448,184,236,445,0,121,440,0,153
50003500306,105,49,55,96,45,50,103,71,18,99,49,46,104,62,39,134,114,18,124,98,22,135,36,99,132,86,44,96,72,21,100,39,59,104,0,19,100,0,31
50015501507,2738,1095,1566,2657,1406,1201,2707,1550,741,2590,1798,709,2717,1702,870,3197,2256,833,3029,2137,755,3182,790,2265,3116,1669,1330,2380,1752,558,2437,951,1427,2423,0,605,2413,0,939
50015501506,1303,535,724,1281,734,519,1322,691,395,1248,834,342,1305,774,420,1589,994,528,1491,976,422,1569,451,1066,1535,724,716,1160,783,308,1196,496,647,1197,0,340,1189,0,485
50017501701,1205,514,660,1166,590,496,1196,624,409,1150,730,376,1191,692,433,1494,893,549,1415,859,480,1474,371,1045,1465,856,560,1009,669,311,1042,384,618,1032,0,294,1019,0,419
50017501710,2267,867,1337,2208,1101,1044,2254,1160,737,2161,1328,717,2258,1272,857,2586,1685,801,2457,1640,706,2583,628,1866,2563,1237,1227,1961,1285,601,2007,701,1218,2004,0,579,1988,0,832
50017501706,567,285,263,547,307,211,566,350,149,531,367,143,561,346,185,621,442,160,588,395,164,629,165,443,621,371,233,447,321,118,462,205,241,461,0,103,454,0,151
50019501916,697,155,518,680,252,420,703,256,338,663,361,280,697,312,341,776,341,415,737,403,310,768,118,611,755,224,505,529,303,196,538,141,378,531,0,228,533,0,316
50003500311,393,175,204,380,189,180,391,213,138,376,192,156,392,240,130,437,269,154,411,235,148,432,136,266,429,221,181,332,203,110,348,127,199,346,0,105,343,0,150
50019501911,564,109,445,548,183,356,554,194,284,536,289,228,560,245,292,673,257,405,640,309,315,665,78,536,661,185,458,453,229,210,453,100,335,458,0,214,460,0,290
50017501703,753,287,442,745,357,373,749,378,231,738,454,256,755,396,324,852,506,307,819,507,277,844,203,604,834,367,419,649,418,212,648,207,409,654,0,218,651,0,307
50017501715,361,165,187,351,194,133,364,189,118,341,219,105,357,216,118,428,264,134,389,249,114,421,155,249,413,226,155,321,221,83,333,136,174,330,0,85,328,0,110
50017501705,683,265,394,669,291,321,677,308,264,653,379,243,680,356,282,830,459,350,792,463,292,821,204,578,813,411,380,597,370,199,605,199,369,602,0,212,604,0,270
50023502319,379,149,219,372,193,171,375,186,118,368,242,108,373,208,139,433,281,134,405,277,108,431,107,308,424,206,195,324,225,82,332,119,187,334,0,90,333,0,140
50009500905,58,10,47,54,18,36,56,21,28,54,29,24,55,27,25,64,27,35,60,34,26,65,6,59,64,19,45,44,25,18,47,8,37,45,0,19,46,0,30
50009500908,145,34,106,142,53,81,146,51,70,138,65,64,144,75,60,140,69,65,132,73,54,140,33,96,134,61,71,107,57,48,111,26,76,107,0,51,107,0,63
50009500914,550,121,403,534,176,334,553,171,311,524,213,296,547,232,277,633,243,366,596,253,300,619,110,451,612,191,383,378,175,195,397,85,286,384,0,188,386,0,240
50009500907,566,130,408,559,198,339,564,181,292,548,252,269,563,221,298,630,262,343,594,280,287,627,100,479,604,172,399,404,192,202,411,83,293,405,0,192,406,0,243
50025502516,2134,1227,809,2049,1273,691,2155,1315,576,2024,1324,556,2127,1401,504,2519,1703,718,2310,1453,616,2466,805,1510,2404,1299,878,1606,1156,363,1654,834,697,1653,0,349,1635,0,474
50023502316,1039,462,551,995,569,414,1020,649,216,964,728,204,1026,696,279,1185,926,223,1108,870,191,1188,338,831,1161,691,434,889,696,155,912,388,501,906,0,176,908,0,321
50023502317,2224,718,1463,2154,983,1125,2147,1113,708,2111,1426,626,2200,1235,837,2465,1508,837,2323,1530,689,2448,474,1891,2411,1056,1283,1781,1199,519,1845,564,1217,1823,0,594,1832,0,901
50007500731,5619,2371,3153,5444,2747,2640,5602,3508,1481,5376,3923,1355,5603,3669,1754,6873,4961,1699,6477,4854,1434,6829,1553,5158,6691,3551,2930,4898,3708,1112,4992,1788,3092,4964,0,1378,4952,0,2042
50005500508,304,79,217,300,126,160,301,130,116,293,140,143,300,142,125,346,169,159,322,172,130,340,55,259,331,131,185,245,124,112,253,88,151,254,0,100,247,0,127
50007500717,2668,1359,1246,2614,1617,950,2664,1726,623,2562,1978,512,2665,1823,736,3084,2254,749,2914,2250,568,3054,989,2016,2981,1687,1178,2307,1784,465,2365,1051,1244,2361,0,559,2345,0,777
50007500724,4793,2540,2177,4655,2664,1915,4786,3390,941,4605,3602,922,4807,3459,1214,5419,4358,953,5092,4128,830,5358,1482,3802,5255,3204,1896,4175,3378,724,4282,1828,2369,4206,0,918,4238,0,1457
50007500712,7850,3184,4478,7613,3738,3758,7763,4483,2425,7537,5528,1799,7830,4937,2556,9594,6451,2852,9084,6561,2203,9499,2099,7187,9312,4568,4447,6552,4787,1612,6681,2284,4188,6635,0,2012,6635,0,3029
50007500729,1963,936,990,1921,1095,803,1964,1238,504,1888,1363,489,1954,1308,573,2224,1633,526,2098,1538,494,2209,643,1538,2167,1229,864,1741,1260,442,1790,750,989,1792,0,450,1765,0,655
50005500501,825,256,546,804,326,454,823,381,336,797,401,369,815,424,355,924,534,366,867,515,304,908,181,695,897,393,481,685,384,279,701,238,429,698,0,239,692,0,310
50007500711,2590,1346,1207,2525,1481,1003,2564,1794,512,2453,1890,515,2589,1826,679,2886,2285,511,2672,2136,465,2850,838,1979,2777,1725,954,2271,1814,410,2347,1056,1237,2325,0,494,2331,0,754
50007500718,1225,695,498,1208,796,381,1228,788,230,1190,955,196,1223,889,268,1384,1031,307,1337,1044,233,1380,442,907,1354,830,457,1063,854,183,1089,553,506,1091,0,202,1079,0,303
50007500727,2503,1508,945,2410,1608,748,2495,1810,423,2380,1941,374,2485,1827,527,3159,2567,505,2935,2432,389,3113,1114,1921,3034,1950,927,2307,1910,330,2350,1217,1050,2354,0,396,2329,0,622
50005500505,1394,461,879,1361,625,698,1376,651,501,1329,761,521,1381,784,514,1577,932,576,1504,949,482,1564,397,1108,1537,670,787,1127,728,363,1144,415,680,1147,0,358,1141,0,532
50007500720,5102,1484,3493,4984,1959,2945,5070,2260,2085,4918,3237,1551,5009,2662,2171,6168,3344,2612,5867,3678,1977,6093,1010,4877,5992,2227,3533,4387,2792,1499,4491,1086,3267,4438,0,1797,4502,0,3152
50007500714,1415,582,816,1379,687,678,1409,849,425,1361,985,352,1405,890,466,1631,1127,452,1562,1125,398,1616,342,1230,1594,832,725,1235,905,316,1252,458,764,1251,0,395,1245,0,544
50007500722,351,134,207,344,176,161,358,200,110,340,250,79,348,219,113,453,310,131,423,300,105,447,112,322,438,213,210,307,217,83,312,107,196,313,0,102,315,0,145
50021502104,749,246,479,734,301,410,751,352,312,708,376,305,747,380,334,853,473,343,801,457,309,844,179,632,827,351,452,608,331,256,638,197,408,628,0,258,627,0,328
50021502126,322,118,194,318,153,163,319,163,122,311,203,98,320,174,132,388,252,128,368,254,103,386,99,279,379,197,169,279,182,90,283,99,173,281,0,94,282,0,122
50021502119,846,269,543,838,363,449,844,385,339,807,484,293,851,476,339,955,534,392,913,524,347,950,178,732,940,390,517,666,422,230,686,182,448,681,0,258,679,0,340
50005500506,262,91,162,255,119,133,263,125,96,254,149,96,260,142,106,329,190,129,310,186,110,328,77,241,317,149,160,240,145,90,247,92,147,243,0,86,242,0,119
50007500730,1261,494,732,1233,609,592,1269,696,371,1206,832,344,1255,782,420,1425,964,413,1342,943,355,1413,325,1068,1381,703,627,1062,756,260,1097,402,658,1092,0,306,1088,0,512
50007500701,676,312,353,668,383,275,674,389,205,655,474,164,676,411,219,778,537,218,739,536,173,780,209,553,759,423,300,620,451,131,627,270,333,626,0,156,628,0,229
50021502109,241,68,161,238,89,146,244,102,103,227,117,105,242,111,123,262,130,130,250,130,114,258,45,205,257,98,156,181,100,69,190,45,139,187,0,82,185,0,105
50021502127,298,125,161,296,147,141,296,139,123,290,161,115,298,160,118,341,170,163,325,164,140,334,81,242,333,139,185,234,140,84,239,86,132,241,0,86,238,0,105
50021502124,2295,732,1519,2230,811,1375,2298,1064,979,2183,1239,882,2284,1179,1024,2486,1376,1039,2348,1392,895,2462,407,1970,2437,933,1445,1880,1079,754,1932,486,1357,1915,0,800,1919,0,1053
50021502120,2238,788,1390,2165,948,1188,2245,1162,845,2109,1336,724,2217,1247,883,2482,1503,893,2304,1487,738,2451,520,1841,2397,1045,1272,1798,1154,606,1864,554,1221,1839,0,692,1829,0,892
