GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres
1324901,1737,479,1252,1828.0,345.0,1445.0,1909.0,401.0,1472.0
1325101,555,262,293,676.3,269.7,393.7,731.4,313.0,406.5
1325102,342,109,232,419.9,83.4,323.9,436.3,95.3,329.4
1325103,920,391,523,585.0,196.0,377.0,620.0,233.0,384.0
1325104,752,493,255,664.7,306.3,342.2,715.6,371.0,330.5
1325105,497,182,311,312.0,78.0,230.0,337.0,95.0,233.0
1325106,654,113,535,537.2,76.6,451.4,566.4,81.7,477.5
1325107,642,389,250,414.7,175.9,233.2,450.6,211.0,234.8
1325108,243,149,93,231.0,120.0,109.0,247.0,134.0,111.0
1325109,612,175,432,378.3,134.0,234.5,399.8,159.6,234.8
1325110,671,521,149,603.7,336.4,255.1,648.6,405.6,230.8
1325111,374,66,305,259.8,53.2,198.3,270.6,66.2,196.7
1325112,219,174,45,257.3,112.3,140.5,275.9,134.6,136.0
132531,904,341,559,731.0,191.0,521.0,813.0,229.0,573.0
132532,692,264,425,651.0,187.0,444.0,732.0,232.0,490.0
132533,759,686,71,533.0,427.0,101.0,598.0,501.0,92.0
132534,832,257,572,627.0,126.0,484.0,719.0,144.0,565.0
132535,809,112,688,630.0,81.0,520.0,720.0,83.0,625.0
1325501,1446,1313,126,739.0,591.0,126.0,850.0,741.0,101.0
1325502,1370,1292,76,832.0,687.0,128.0,938.0,855.0,72.0
1325503,636,133,501,946.0,156.0,750.0,971.0,192.0,740.0
1325504,725,183,535,816.0,121.0,650.0,852.0,180.0,634.0
1325505,1648,948,687,1741.0,839.0,841.0,1862.0,975.0,831.0
1325506,1226,1025,192,958.0,671.0,260.0,1075.0,839.0,221.0
1325507,1049,177,857,1109.0,187.0,862.0,1152.0,227.0,883.0
1325508,1010,229,772,1089.0,219.0,842.0,1159.0,267.0,867.0
1325509,1160,214,935,1026.0,141.0,818.0,1103.0,151.0,927.0
1325510,1176,356,813,1128.0,327.0,756.0,1203.0,380.0,796.0
1325511,1058,350,693,1393.0,377.0,974.0,1456.0,425.0,998.0
1325512,1284,285,986,916.0,154.0,720.0,961.0,177.0,766.0
1325513,1874,229,1625,1404.0,166.0,1171.0,1473.0,171.0,1261.0
1325514,1333,341,979,949.0,205.0,706.0,990.0,235.0,722.0
1325515,829,102,718,402.0,53.0,331.0,424.0,44.0,368.0
1325516,1528,873,646,1363.0,726.0,602.0,1475.0,837.0,611.0
1325517,1025,350,671,965.0,296.0,628.0,1035.0,347.0,672.0
1325518,905,768,135,803.0,636.0,146.0,898.0,759.0,123.0
1325519,1418,341,1064,1604.0,367.0,1159.0,1692.0,405.0,1248.0
1325520,1334,288,1027,1248.0,188.0,1008.0,1324.0,219.0,1085.0
1325521,1198,344,847,2534.0,772.0,1694.0,2707.0,931.0,1720.0
132571,1818,637,1159,2205.2,371.9,1750.1,2346.5,441.4,1846.7
132572,1226,366,853,1344.7,226.8,1067.2,1430.9,269.2,1126.1
132573,1879,404,1455,1556.7,262.6,1235.4,1656.4,311.6,1303.6
132574,756,130,616,553.2,93.3,439.1,588.7,110.7,463.3
132575,408,47,359,187.4,31.6,148.8,199.4,37.5,157.0
132576,893,292,594,649.4,109.5,515.4,691.0,130.0,543.9
132577,1605,314,1276,1145.9,193.3,909.5,1219.3,229.4,959.6
132578,1909,515,1377,1535.3,259.0,1218.5,1633.7,307.3,1285.7
1325902,914,541,362,771.0,402.0,351.0,903.0,549.0,347.0
1325904,305,218,87,182.0,99.0,75.0,206.0,124.0,79.0
1325905,687,445,239,669.0,347.0,309.0,789.0,470.0,304.0
1325906,209,111,95,128.0,52.0,72.0,157.0,79.0,75.0
1326115,1822,812,1008,1027.0,341.0,668.0,1095.0,394.0,680.0
1326117,712,362,348,410.0,183.0,223.0,430.0,199.0,226.0
1326128,728,276,450,639.0,188.0,443.0,664.0,218.0,438.0
1326129,554,180,372,270.0,66.0,198.0,291.0,71.0,218.0
13261E-27,873,412,457,1164.0,451.0,693.0,1200.0,501.0,674.0
13261N-26,519,61,450,247.0,29.0,214.0,265.0,35.0,226.0
13261O-26,1142,655,481,660.0,295.0,352.0,699.0,339.0,349.0
13261W-27,1045,402,643,1246.0,454.0,768.0,1296.0,497.0,784.0
13261C1-27,1364,1020,338,1539.0,1069.0,447.0,1617.0,1216.0,376.0
13261C2-27,2019,989,1008,1832.0,692.0,1096.0,1870.0,774.0,1051.0
13261C3-27,1457,1285,162,1457.0,1108.0,316.0,1547.0,1276.0,254.0
1326301,472,287,183,382.0,207.0,168.0,404.0,230.0,171.0
1326302,665,400,260,481.0,219.0,240.0,526.0,277.0,243.0
1326303,196,131,63,204.9,117.9,81.2,230.0,148.8,76.2
1326304,328,187,139,309.4,170.3,129.4,337.7,209.2,125.5
1326305,679,536,134,521.0,375.0,134.0,600.0,488.0,106.0
1326306,422,198,219,269.5,104.7,150.6,302.3,126.8,169.5
1326307,118,71,47,80.1,46.1,31.8,90.0,58.2,29.8
