GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
45077139,914.4,205.1,664.9,898.7,181.0,695.1,0,0,0
45077140,772.0,178.0,557.0,751.0,135.0,589.0,0,0,0
45077148,1200.4,304.0,847.6,1164.1,245.6,894.4,0,0,0
45089010,369.0,55.0,306.0,363.0,60.0,297.0,0,0,0
45089026,168.0,70.0,96.0,169.0,71.0,95.0,0,0,0
45089001,227.0,131.0,94.0,219.0,115.0,98.0,0,0,0
45089030,258.0,71.0,186.0,247.0,58.0,186.0,0,0,0
45089003,328.0,203.0,123.0,328.0,202.0,121.0,0,0,0
45089031,188.0,152.0,32.0,181.0,146.0,34.0,0,0,0
45089022,299.0,195.0,97.0,292.0,180.0,112.0,0,0,0
45089014,1734.0,863.0,833.0,1685.0,794.0,875.0,0,0,0
45089015,464.0,440.0,13.0,442.0,404.0,30.0,0,0,0
45089016,1132.0,1050.0,71.0,1061.0,951.0,104.0,0,0,0
45089017,731.0,582.0,133.0,684.0,528.0,152.0,0,0,0
45089011,1046.0,680.0,355.0,993.0,617.0,366.0,0,0,0
45089035,600.0,195.0,388.0,593.0,188.0,399.0,0,0,0
45089012,428.0,211.0,210.0,413.0,201.0,206.0,0,0,0
45089013,956.0,807.0,140.0,926.0,747.0,171.0,0,0,0
45089024,441.0,385.0,47.0,419.0,348.0,63.0,0,0,0
45089004,222.0,109.0,105.0,214.0,96.0,116.0,0,0,0
45089021,186.0,178.0,7.0,185.0,177.0,8.0,0,0,0
45089027,276.0,10.0,262.0,274.0,15.0,255.0,0,0,0
45089002,660.0,458.0,186.0,628.0,413.0,207.0,0,0,0
45089009,242.0,73.0,167.0,240.0,68.0,168.0,0,0,0
45089033,551.0,488.0,61.0,526.0,447.0,78.0,0,0,0
45089006,426.0,105.0,314.0,413.0,107.0,299.0,0,0,0
45089005,629.0,415.0,203.0,594.0,371.0,219.0,0,0,0
45089029,750.0,641.0,95.0,711.0,580.0,120.0,0,0,0
45089008,914.7,734.0,168.8,873.8,683.1,179.8,0,0,0
45089018,640.2,585.0,52.2,614.2,552.9,58.3,0,0,0
45089032,188.0,67.0,119.0,185.0,59.0,121.0,0,0,0
45001001,1192.0,375.0,778.0,1167.0,335.0,811.0,0,0,0
45001002,972.0,571.0,387.0,932.0,519.0,401.0,0,0,0
45001003,710.0,328.0,362.0,689.0,304.0,368.0,0,0,0
45001004,569.0,201.0,356.0,550.0,184.0,342.0,0,0,0
45001005,810.0,161.0,633.0,798.0,157.0,618.0,0,0,0
45001008,654.0,135.0,505.0,644.0,134.0,499.0,0,0,0
45001006,377.0,95.0,274.0,367.0,104.0,257.0,0,0,0
45001007,1329.0,788.0,519.0,1273.0,748.0,507.0,0,0,0
45001014,577.0,164.0,394.0,555.0,157.0,377.0,0,0,0
45001009,402.0,67.0,324.0,388.0,78.0,301.0,0,0,0
45001010,1071.0,357.0,663.0,1062.0,348.0,690.0,0,0,0
45001011,542.0,208.0,325.0,518.0,175.0,334.0,0,0,0
45001012,813.0,167.0,627.0,792.0,199.0,573.0,0,0,0
45001013,757.0,124.0,616.0,735.0,128.0,591.0,0,0,0
45009001,146.0,43.0,101.0,147.0,51.0,91.0,0,0,0
45009002,247.0,75.0,164.0,242.0,70.0,165.0,0,0,0
45009003,555.0,243.0,302.0,532.0,239.0,287.0,0,0,0
45009004,1137.0,938.0,183.0,1132.0,930.0,191.0,0,0,0
45009005,121.0,77.0,41.0,117.0,81.0,33.0,0,0,0
45009006,76.0,43.0,31.0,74.0,40.0,34.0,0,0,0
45009007,176.0,89.0,85.0,165.0,77.0,86.0,0,0,0
45009008,93.0,4.0,89.0,90.0,7.0,82.0,0,0,0
45009009,101.0,8.0,93.0,102.0,15.0,87.0,0,0,0
45009010,272.0,119.0,151.0,266.0,121.0,137.0,0,0,0
45009011,1276.7,964.1,286.4,1232.6,937.9,277.5,0,0,0
45009012,878.0,761.0,108.0,865.0,750.0,107.0,0,0,0
45009013,1135.2,533.9,569.6,1108.5,506.1,581.5,0,0,0
45011001,382.0,200.0,178.0,373.0,192.0,173.0,0,0,0
45011002,901.0,318.0,565.0,885.0,316.0,552.0,0,0,0
45011003,1020.0,394.0,583.0,994.0,373.0,596.0,0,0,0
45011004,840.0,517.0,308.0,816.0,482.0,323.0,0,0,0
45011005,625.0,439.0,178.0,604.0,428.0,170.0,0,0,0
45011006,409.0,281.0,117.0,395.0,266.0,123.0,0,0,0
45011007,426.0,203.0,214.0,412.0,188.0,213.0,0,0,0
45011009,417.0,163.0,242.0,405.0,154.0,242.0,0,0,0
