GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
45079326,932.1,475.7,394.6,916.9,439.1,448.8,840.4,465.5,346.6,838.7,497.8,339.7,978,468,500
45079325,1292.6,623.5,577.6,1276.9,559.0,682.0,1012.0,553.9,432.4,1021.0,593.3,420.7,1332,632,691
45079385,650.7,385.4,228.3,638.5,349.9,271.2,399.0,234.5,153.1,399.0,248.0,151.0,599,343,249
45079363,1874.0,1132.0,650.0,1837.0,999.0,792.0,1685.0,1013.0,622.0,1684.0,1086.0,598.0,2139,1249,872
45079332,1483.0,956.0,420.0,1459.0,874.0,542.0,1123.0,821.0,275.0,1123.0,868.0,254.0,1539,1033,495
45079381,925.0,545.0,323.0,915.0,522.0,371.0,729.0,495.0,211.0,736.0,536.0,198.0,900,556,336
45079387,1097.0,963.0,111.0,1075.0,897.0,157.0,882.0,767.0,89.0,879.0,791.0,88.0,1147,1008,138
45079304,639.0,561.0,59.0,625.0,534.0,83.0,388.0,339.0,37.0,390.0,362.0,28.0,745,636,104
45079375,1193.0,1037.0,113.0,1162.0,983.0,162.0,743.0,651.0,75.0,739.0,660.0,79.0,1230,1065,155
45079373,670.0,562.0,81.0,657.0,536.0,108.0,473.0,394.0,62.0,469.0,408.0,61.0,738,647,81
45079339,1949.0,1672.0,226.0,1901.0,1536.0,338.0,1531.0,1289.0,199.0,1522.0,1327.0,193.0,1995,1702,280
45079327,1157.1,1059.2,79.9,1113.7,981.2,122.1,1068.6,977.5,68.0,1062.3,985.6,75.5,1655,1565,80
45079333,1438.9,1240.8,166.1,1391.3,1151.8,217.9,1386.4,1206.5,154.0,1384.7,1232.5,150.5,1944,1752,170
45079354,2008.3,735.7,1134.3,1989.8,522.6,1425.2,1879.0,767.5,1067.4,1893.0,919.2,967.9,1819,650,1161
45079126,1005.3,636.8,293.3,989.9,547.0,414.9,686.9,454.4,208.4,690.8,514.2,176.6,834,504,319
45079382,1209.6,655.8,513.1,1201.4,592.6,588.1,1019.0,638.7,354.1,1016.3,662.1,354.1,577,261,308
45079383,2104.4,1090.2,914.9,2067.6,912.4,1107.9,1870.0,1116.3,704.9,1866.7,1209.9,655.9,1572,758,806
45079307,1671.0,752.0,847.0,1624.0,638.0,946.0,1449.0,755.0,656.0,1451.0,801.0,650.0,1218,496,706
45079306,1234.0,363.0,807.0,1196.0,264.0,893.0,1166.0,417.0,727.0,1172.0,473.0,695.0,803,208,588
45079379,1609.0,805.0,731.0,1578.0,678.0,859.0,1497.0,874.0,577.0,1495.0,933.0,561.0,963,313,643
45079338,1406.0,905.0,438.0,1367.0,784.0,543.0,1278.0,923.0,328.0,1275.0,958.0,317.0,872,558,308
45079359,2755.0,2118.0,533.0,2703.0,1965.0,693.0,2405.0,1991.0,346.0,2381.0,2037.0,341.0,2657,2021,615
45079388,3091.4,2224.1,728.3,3018.2,2021.4,931.0,2896.6,2206.6,598.8,2883.7,2293.8,580.0,2798,1891,890
45079353,3793.6,3009.1,640.2,3724.2,2730.9,911.0,3332.8,2733.7,507.5,3327.8,2839.0,486.3,3550,2701,824
45079386,1943.0,1441.8,436.5,1913.6,1299.7,586.0,1777.6,1359.7,375.7,1781.5,1423.1,354.6,1842,1281,556
45079318,3426.0,1919.0,1298.0,3383.0,1715.0,1578.0,3066.0,1891.0,1090.0,3071.0,2022.0,1046.0,3037,1563,1448
45079371,1586.0,817.0,680.0,1540.0,681.0,815.0,1368.0,742.0,586.0,1371.0,805.0,565.0,1779,923,847
45079350,1706.6,972.3,634.3,1680.9,807.0,836.2,1584.8,999.0,552.1,1590.7,1068.3,521.5,1923,1055,857
45079349,2277.4,1597.7,585.7,2243.1,1469.0,717.8,1987.2,1477.0,461.9,1983.2,1515.7,466.5,2184,1457,709
45079372,1822.0,1528.0,244.0,1780.0,1388.0,368.0,1717.0,1475.0,181.0,1699.0,1520.0,177.0,1186,987,193
45079392,1695.0,1285.0,334.0,1677.0,1221.0,413.0,1501.0,1157.0,299.0,1495.0,1216.0,277.0,1838,1386,441
45079319,1722.0,1366.0,293.0,1689.0,1247.0,415.0,1512.0,1256.0,227.0,1504.0,1277.0,227.0,1864,1482,367
45079367,1675.0,933.0,652.0,1650.0,773.0,842.0,1550.0,916.0,592.0,1560.0,1026.0,533.0,1645,761,867
45079376,1615.7,767.7,748.5,1577.2,623.8,927.8,1526.9,740.0,734.7,1534.8,813.9,719.9,1951,798,1142
45079357,3225.4,2236.7,864.3,3159.3,1969.1,1134.5,2765.3,1933.6,764.4,2768.3,2031.1,732.2,2849,1738,1097
45079309,1613.9,1194.6,352.2,1575.4,1087.1,455.8,1324.8,992.4,297.9,1320.9,1018.0,301.9,1795,1202,568
45079336,1727.6,1507.1,177.2,1690.8,1417.3,233.9,1479.2,1317.2,127.7,1468.5,1345.5,123.1,2016,1729,270
45079346,1692.6,1381.8,243.7,1680.6,1314.3,329.3,1349.3,1126.2,181.9,1336.1,1165.6,168.6,1886,1549,331
45079345,1279.5,1232.8,24.6,1259.4,1186.5,57.8,1087.4,1039.0,26.3,1088.3,1055.0,32.3,1628,1582,36
45079348,1551.9,916.6,566.5,1516.6,828.8,654.3,1196.0,703.3,465.3,1200.1,726.8,473.3,1580,923,644
45079340,1445.0,1394.0,29.0,1414.0,1326.0,77.0,1113.0,1069.0,19.0,1101.0,1080.0,21.0,1646,1610,25
45079313,564.1,308.4,184.5,563.4,295.2,253.7,376.9,226.7,139.7,378.9,239.2,139.7,615,377,235
45079377,1633.2,1198.3,381.5,1589.2,1108.9,444.0,1271.1,939.7,286.1,1265.0,974.9,289.0,1824,1334,476
45079389,557.0,368.0,173.0,547.0,335.0,208.0,468.0,304.0,156.0,464.0,306.0,158.0,508,350,158
45079341,2854.0,1199.0,1503.0,2843.0,923.0,1864.0,2744.0,1294.0,1392.0,2772.0,1474.0,1288.0,2359,839,1498
45079390,3009.0,2435.0,490.0,2954.0,2196.0,705.0,2755.0,2325.0,367.0,2735.0,2391.0,343.0,1584,1267,310
45079358,2477.0,1264.0,1107.0,2417.0,1039.0,1325.0,2326.0,1301.0,966.0,2326.0,1387.0,939.0,1683,765,902
45079106,1028.6,575.4,372.7,996.8,474.1,486.0,899.9,538.6,346.3,905.9,596.4,307.4,913,508,391
45079322,981.4,522.6,386.3,968.2,437.9,506.0,797.1,432.5,337.7,797.1,486.6,304.6,999,531,453
45015006,4544.0,2157.0,2056.0,4437.0,1812.0,2497.0,3715.9,2102.5,1492.1,3697.9,2185.9,1508.9,2655,1308,1322
45015024,951.0,499.0,426.0,934.0,472.0,445.0,735.2,430.6,288.0,736.2,450.1,285.1,1038,653,368
45015028,544.0,92.0,440.0,539.0,76.0,453.0,359.7,50.9,306.1,357.9,53.6,300.7,462,84,373
45015049,2638.9,954.9,1533.9,2589.8,816.1,1717.2,2043.4,868.3,1104.0,2035.6,924.3,1104.5,1993,798,1173
45015048,2975.0,1056.0,1767.0,2896.0,842.0,1994.0,3322.0,1409.0,1850.0,3313.0,1476.0,1832.0,891,571,315
45015008,1617.0,218.0,1330.0,1577.0,195.0,1328.0,1173.0,198.0,930.0,1165.0,229.0,936.0,1457,283,1152
45015009,1896.1,676.1,1103.1,1851.2,569.9,1237.8,1999.9,815.5,1127.1,2007.8,877.1,1128.7,1090,410,670
45015039,1595.9,551.4,958.0,1574.0,491.4,1043.6,1208.3,502.4,664.8,1211.3,548.8,662.2,1553,639,886
45015040,1326.3,475.3,789.4,1301.7,413.2,860.7,960.5,414.6,515.9,959.6,443.7,514.9,1390,574,806
45015007,1191.4,773.0,380.0,1174.3,711.7,453.0,1058.3,694.8,339.5,1060.0,714.3,345.7,1031,873,147
45015011,1521.0,971.0,517.0,1452.0,880.0,549.0,1220.0,782.0,413.0,1218.0,804.0,413.0,1796,1313,454
45015036,1119.0,199.0,894.0,1101.0,146.0,935.0,925.0,168.0,728.0,930.0,237.0,689.0,1133,238,879
45015031,951.0,363.0,557.0,933.0,323.0,594.0,763.0,279.0,475.0,761.0,310.0,449.0,1009,433,563
45015033,1197.0,580.0,557.0,1159.0,517.0,616.0,980.0,562.0,388.0,979.0,604.0,370.0,1118,606,494
45015034,1726.0,464.0,1195.0,1704.0,381.0,1297.0,1356.0,368.0,947.0,1344.0,488.0,850.0,1529,419,1094
45015032,927.0,414.0,482.0,911.0,367.0,531.0,663.0,323.0,325.0,653.0,335.0,317.0,980,485,485
45015030,613.0,210.0,389.0,601.0,183.0,408.0,515.0,184.0,319.0,511.0,201.0,310.0,583,219,355
45015016,483.0,355.0,125.0,431.0,294.0,126.0,361.0,277.0,74.0,357.0,283.0,74.0,562,441,116
45015037,749.0,616.0,121.0,728.0,576.0,146.0,666.0,516.0,133.0,660.0,532.0,128.0,991,860,106
45015042,881.0,736.0,129.0,852.0,673.0,167.0,650.0,538.0,99.0,648.0,551.0,96.0,1020,732,281
45015004,1063.0,215.0,819.0,1029.0,195.0,814.0,847.0,185.0,642.0,851.0,199.0,651.0,1004,257,727
