GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
0229006-056,676,431,7,5,220,19,0,508,334,4,3,165,5,0,569,319,15,3,235,0,0,389,235,3,3,154,0,0,455,285,1,3,169,0,0,346,215,3,3,123,0,0
0213036-650,1973,1641,51,24,227,46,11,1496,1300,27,9,130,26,6,1973,1653,49,13,235,53,0,1472,1300,50,0,100,17,0,1926,1647,46,10,198,49,0,1458,1300,45,0,80,17,0
0218540-006,233,16,0,0,217,0,0,142,15,0,0,127,0,0,198,13,1,2,185,0,0,123,10,2,2,113,0,0,192,11,1,1,180,0,0,121,9,2,2,111,0,0
0218540-004,2822,2111,99,61,512,53,10,2716,2110,95,55,407,53,10,3098,2299,101,64,584,61,7,2904,2249,73,49,468,47,5,3077,2264,87,53,623,56,12,2889,2221,73,44,495,42,11
0218540-016,243,25,0,0,218,0,0,171,19,0,0,152,0,0,226,38,0,0,188,0,0,148,26,0,0,113,0,0,242,41,0,3,197,0,0,151,30,0,1,119,0,0
0212229-100,1970,1575,36,19,297,59,6,1549,1283,21,13,196,43,4,1521,1223,31,6,218,52,0,1170,973,15,0,135,38,0,1262,1040,32,7,167,24,0,937,815,15,0,87,8,0
0212229-170,2741,1845,97,111,618,89,25,2329,1591,83,88,510,72,20,2830,1737,274,90,402,254,91,2147,1524,40,68,350,86,75,2824,1684,253,90,515,218,83,2052,1453,35,68,353,65,65
0212229-140,380,337,9,6,22,4,2,297,267,7,4,15,2,2,508,436,22,8,38,2,0,390,342,10,7,30,0,0,462,393,27,6,37,0,0,345,300,7,6,28,0,0
0212230-200,2446,2090,83,17,212,51,14,1793,1572,48,7,136,25,7,2732,2174,159,10,347,73,36,1893,1611,85,0,157,32,0,2809,2215,117,10,320,79,44,1981,1687,68,0,183,30,0
0209004-280,699,549,31,20,84,23,1,578,464,17,14,70,14,1,553,489,14,21,33,3,0,460,411,8,4,34,3,0,560,470,12,5,70,3,0,484,392,12,4,69,3,0
