GEOID20,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_sen,D_2016_sen,R_2016_sen
0202021-610,1099,609,450,1105,541,517,858,427,393,1006,418,458,982,149,467
0218039-932,253,210,28,242,121,73,227,138,65,258,176,25,253,23,131
0213036-620,1093,405,648,1077,417,616,830,280,522,953,241,568,925,96,526
0206309-650,814,323,444,811,328,435,646,294,312,748,218,414,727,67,344
0202018-435,768,450,300,761,425,325,664,402,230,720,430,235,710,69,327
0218039-924,603,327,245,600,281,278,485,273,177,585,273,239,581,58,335
0205038-856,135,86,38,132,65,39,146,111,16,119,72,18,119,11,73
0209004-280,451,302,122,452,289,147,364,256,83,408,264,71,395,67,109
0202026-820,1735,779,899,1731,716,991,1549,691,816,1657,705,794,1642,156,841
0212229-130,881,217,643,872,241,611,736,202,534,814,160,566,794,48,334
0202019-515,504,256,228,498,272,186,370,166,180,444,202,175,428,78,167
0217008-130,736,151,551,736,153,542,559,126,414,645,100,478,625,41,220
0202026-810,1357,517,791,1354,451,876,1036,374,633,1066,336,628,1047,104,522
0202019-500,741,427,275,725,416,262,536,316,187,674,391,211,650,172,209
0202026-815,1594,647,900,1597,565,998,1357,531,788,1458,516,793,1440,120,752
0212229-115,753,184,555,746,177,532,578,127,425,623,106,463,610,49,219
0209005-580,218,67,134,216,75,131,181,84,83,228,47,147,218,19,84
0229039-320,61,51,4,60,37,12,48,34,9,60,40,5,58,6,42
0215839-928,46,33,11,44,21,12,50,28,16,38,20,6,37,0,0
0205038-830,92,45,43,94,52,33,88,69,14,89,42,26,87,16,49
0202013-255,1199,371,773,1167,335,794,933,296,606,1042,264,661,1017,72,460
0202019-520,881,512,348,866,503,325,751,462,257,830,444,300,821,132,315
0206037-748,29,17,12,16,14,0,23,14,8,29,13,11,30,2,21
0215032-840,91,54,29,88,42,36,75,49,23,76,29,20,78,9,38
0212231-370,1530,899,584,1519,892,587,1250,764,437,1221,632,466,1188,129,386
0206806-005,119,21,89,114,23,80,97,26,67,103,20,69,100,10,34
0215838-850,76,42,21,77,44,24,91,54,26,103,35,23,107,5,62
0205038-858,129,105,14,129,85,22,148,116,24,123,78,11,126,24,67
0202022-670,564,282,265,563,237,304,522,225,285,563,226,278,562,59,271
0202017-430,710,414,271,706,411,253,547,288,237,660,341,232,636,120,275
0206606-047,272,54,207,265,68,173,221,54,151,251,45,167,245,26,78
0218039-908,134,47,75,135,44,65,119,57,53,113,46,30,109,10,52
0202028-130,254,147,96,256,158,85,214,119,80,213,92,96,212,39,65
0202013-235,906,248,622,879,212,623,697,181,492,815,172,549,787,59,326
0202025-845,1991,963,944,1970,908,984,1604,799,761,1694,715,793,1666,226,766
0202027-935,354,174,166,356,151,195,322,185,127,330,171,116,328,45,130
0202022-655,1016,528,447,1016,534,449,799,382,395,922,359,451,911,141,395
0229006-023,38,29,9,36,15,21,39,24,13,47,34,13,46,6,15
0202027-910,1378,703,625,1382,693,637,1106,508,566,1268,508,627,1246,223,506
0205038-800,176,77,87,167,78,58,168,106,45,148,66,37,146,19,56
0215839-916,273,170,91,266,136,96,376,280,58,255,158,56,227,29,141
0229006-054,62,41,18,64,35,24,69,55,9,85,44,23,83,16,45
0202012-233,1158,355,750,1148,328,763,878,250,602,1046,240,699,1033,76,412
0206037-734,229,91,136,224,72,145,199,97,87,240,93,122,238,17,156
0202023-765,1237,594,597,1240,565,627,1000,479,489,1162,494,560,1137,164,507
0213036-660,163,102,53,158,78,55,151,71,59,153,67,52,148,17,94
0202021-625,1380,818,522,1370,777,546,1110,655,423,1250,622,482,1237,185,591
0202026-830,701,297,381,703,272,414,623,284,329,683,265,347,682,80,324
0229040-330,55,43,6,56,32,16,57,49,4,55,31,7,54,7,35
0217010-055,872,174,655,869,176,662,656,161,470,678,113,487,664,43,257
0218039-914,72,46,23,70,37,25,67,44,16,68,35,12,68,6,44
0217011-060,1267,372,842,1262,348,869,991,292,660,1178,258,806,1162,91,506
0202026-800,1572,767,771,1563,707,783,1192,497,645,1315,532,623,1287,148,581
0218039-912,217,145,61,208,78,80,177,119,43,186,129,26,185,19,110
0202021-630,812,494,283,811,499,272,626,376,234,710,347,281,693,124,244
0202014-960,1917,761,1080,1913,673,1177,1363,526,789,1801,529,1008,1770,173,900
0202015-305,1415,653,719,1374,621,704,1078,461,570,1176,450,604,1131,180,489
0207037-718,46,15,25,46,23,19,47,33,13,45,21,20,44,3,28
0202022-650,944,458,462,940,439,449,730,309,397,834,331,389,819,104,397
0202017-410,924,523,354,912,467,412,772,453,291,860,425,301,836,151,380
0218039-906,23,11,10,24,12,10,24,14,8,21,11,7,18,0,13
