GEOID20,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_sen,D_2016_sen,R_2016_sen
0215839-900,131,80,28,130,62,46,131,83,34,150,83,25,143,14,90
0229006-080,106,83,22,102,73,25,107,86,14,131,95,20,125,14,82
0215839-934,172,115,48,170,110,47,241,195,29,150,108,34,158,12,101
0205038-860,49,33,12,51,20,19,71,33,33,67,29,26,68,2,46
0205038-804,166,110,50,164,77,68,174,101,56,172,97,54,169,20,93
0229037-302,63,33,20,60,20,25,61,36,14,69,29,18,72,6,38
0205038-826,160,78,64,161,69,54,111,70,24,103,41,37,101,13,47
0202013-260,205,137,68,194,100,79,191,113,66,210,117,76,203,35,107
0202028-140,2324,1092,1181,2312,909,1366,1858,779,1037,2019,780,1043,2002,142,1079
0202020-550,476,313,155,470,305,145,338,180,119,423,229,142,414,91,162
0202014-965,2969,1082,1787,2967,977,1905,2173,803,1299,2625,819,1439,2585,219,1263
0210033-550,210,119,89,208,116,84,190,92,85,178,66,82,175,42,67
0210533-505,453,315,121,454,326,116,371,229,114,361,214,96,351,113,97
0212229-160,1572,215,1307,1558,236,1222,1226,238,939,1361,169,1078,1325,86,468
0218840-002,74,45,17,73,42,16,91,60,25,110,70,13,105,18,51
0218840-028,156,56,85,158,46,77,168,42,108,165,83,44,159,17,95
0216437-740,23,0,19,23,5,15,25,11,7,30,5,17,32,2,16
0218840-012,122,58,53,123,43,42,144,64,58,146,74,26,146,16,94
0202020-545,676,401,256,670,390,271,647,437,172,716,456,199,694,119,291
0205038-836,83,48,31,87,32,42,99,53,36,93,48,17,92,10,60
0229006-033,235,178,52,229,125,93,272,212,50,274,203,58,261,25,129
0202021-615,858,401,419,864,394,444,718,364,326,794,333,351,790,113,339
0224006-075,45,28,15,45,29,12,49,33,12,36,25,5,38,6,19
0202016-335,1186,617,518,1174,612,498,754,366,362,959,383,431,929,160,376
