GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
0202025-600,725,424,16,87,74,47,54,23,41,111,70,26,559,356,13,59,56,21,40,14,22,70,50,15,574.0,395.0,7.0,31.0,9.0,103.0,29.0,0.0,7.0,112.0,29.0,0.0
0202025-605,869,584,19,47,85,46,49,39,31,111,55,44,676,473,17,33,57,26,43,27,23,77,46,31,956.7,683.1,36.8,57.9,8.6,97.6,56.8,16.0,79.1,58.8,58.5,20.9
0202025-610,2172,1267,63,132,211,161,224,114,98,325,286,145,1709,1085,46,87,165,92,168,66,61,230,201,83,2007.6,1189.9,74.8,93.3,186.9,159.7,207.3,95.8,104.5,303.7,241.6,104.3
0202025-615,2374,1472,101,208,218,154,195,26,136,364,223,41,1966,1295,80,141,172,93,168,17,95,253,182,22,2170.9,1282.8,118.3,85.2,133.0,198.4,298.4,54.8,118.3,246.9,402.8,54.8
0202025-620,2835,1118,147,409,352,232,413,164,222,527,498,199,2287,1015,119,278,298,143,330,104,153,414,381,122,2070.0,1005.2,351.9,256.0,148.0,142.6,148.0,18.2,379.7,265.1,188.3,57.7
0202025-625,2086,766,125,298,263,154,399,81,171,396,459,110,1716,700,109,215,219,103,315,55,138,306,354,72,1856.7,617.3,165.0,352.4,314.4,114.2,253.7,39.7,270.7,380.5,345.2,84.6
0202025-630,820,704,23,20,11,26,18,18,27,27,25,19,691,609,19,16,7,14,14,12,21,15,18,13,748.3,654.3,5.6,4.5,15.0,9.2,59.6,0.0,5.6,19.2,66.3,0.0
0202025-635,1894,1151,78,151,212,138,118,46,122,333,150,60,1472,955,60,101,153,82,96,25,78,220,109,32,1654.8,873.7,42.2,117.5,243.6,129.7,237.0,11.1,77.8,358.4,253.7,11.1
0202025-640,2426,1155,98,234,354,240,301,44,179,547,352,59,1824,956,82,143,272,119,221,31,107,370,245,35,2521.5,1329.5,107.1,185.6,249.4,349.4,270.5,30.0,227.1,419.4,330.9,89.0
0202026-645,1864,1577,16,83,52,80,54,2,38,108,74,5,1462,1276,10,53,42,39,41,1,15,73,47,2,1811.0,1550.0,13.0,44.0,69.0,62.0,73.0,0.0,39.0,111.0,73.0,0.0
0202026-650,1195,1017,7,43,38,42,29,19,12,52,41,28,932,813,5,31,24,21,24,14,6,34,30,18,1316.0,935.0,13.0,180.0,19.0,132.0,37.0,0.0,23.0,87.0,91.0,0.0
0202026-655,2336,1372,71,223,148,132,347,43,111,233,415,55,1801,1138,50,149,107,61,274,22,70,153,305,26,2316.2,1376.0,40.7,161.7,84.7,255.0,371.0,27.0,58.4,110.1,436.5,27.0
0202026-660,2240,1536,64,145,163,129,159,44,84,247,225,59,1844,1327,55,96,114,86,131,35,62,170,167,47,2304.7,1198.7,80.2,85.9,448.9,114.1,310.6,66.4,108.5,558.5,337.3,66.4
0202026-665,2843,1606,77,163,223,228,511,35,136,355,619,56,2124,1298,58,104,163,100,379,22,75,219,432,33,3054.0,1172.5,12.0,140.2,430.4,305.3,980.7,13.0,44.1,444.6,1266.7,182.0
0202026-670,1845,1092,75,139,174,175,138,52,110,298,207,80,1472,954,57,88,130,99,117,27,64,205,154,43,1658.5,779.6,87.0,135.4,193.1,161.0,268.4,34.0,101.3,352.9,303.2,77.0
0202026-675,1139,632,39,78,85,106,131,68,71,148,159,87,926,566,31,59,66,58,112,34,41,103,129,42,1010.8,537.7,104.7,27.5,116.0,55.1,66.9,102.9,104.7,137.3,92.3,111.3
0202026-680,1151,666,50,80,157,98,83,17,82,217,117,30,933,573,43,60,119,63,64,11,58,162,87,20,1038.2,633.1,140.6,3.1,73.5,79.1,108.8,0.0,157.6,100.4,144.0,8.0
0202026-685,1201,1051,5,45,29,39,32,0,10,55,56,0,1018,907,4,38,28,17,24,0,8,45,31,0,1329.9,1184.3,30.0,42.6,2.0,32.4,38.6,0.0,30.0,8.0,65.0,0.0
0202027-700,3481,1979,133,284,287,245,457,96,229,433,566,118,2509,1526,100,171,190,135,339,48,131,270,391,64,3606.2,2135.2,104.7,591.1,173.4,279.7,322.2,0.0,324.2,447.3,401.5,0.0
0202027-705,2349,1195,61,227,192,197,447,30,128,300,536,60,1703,953,52,134,133,91,317,23,77,185,354,31,2395.4,1136.6,153.4,73.6,405.3,271.4,319.1,36.0,277.5,622.1,354.7,36.0
0202027-710,4514,3387,89,189,223,304,279,43,160,397,387,67,3357,2658,64,110,142,140,217,26,87,228,261,36,5342.0,3865.3,90.4,377.8,353.4,206.2,396.6,52.4,164.0,425.0,522.3,95.4
0202027-715,2542,1788,70,108,160,198,196,22,109,295,264,27,1922,1415,50,68,120,97,158,14,63,192,188,15,2485.6,1447.5,90.4,60.8,195.4,196.8,376.3,118.4,137.0,280.0,424.7,181.5
0202027-720,2891,1688,88,251,282,277,232,73,158,472,331,107,2013,1302,56,133,186,118,168,50,79,269,210,61,2792.2,1609.3,240.0,364.7,152.9,155.8,269.6,0.0,263.3,239.2,443.5,33.1
0202027-725,2270,1625,57,127,157,147,107,50,101,280,157,54,1659,1265,43,77,102,71,74,27,52,170,95,27,2634.8,1887.8,40.6,185.4,81.0,233.7,93.7,112.5,87.2,373.1,132.6,112.5
0202028-730,3430,2396,111,164,150,184,399,26,138,241,507,35,2467,1799,80,99,102,77,292,18,93,145,327,20,3831.2,2938.7,9.3,19.5,66.7,161.3,626.5,9.3,9.3,149.2,705.3,78.8
0202028-735,2836,2145,65,113,156,175,145,37,106,249,211,59,2217,1773,49,71,110,72,118,24,66,158,142,29,2785.6,1729.0,60.5,701.0,45.0,165.0,85.1,0.0,60.5,464.0,128.8,0.0
0202028-740,2659,1437,120,229,243,233,312,85,194,406,388,123,1872,1126,80,128,166,95,227,50,98,228,259,60,2073.1,1026.7,153.9,118.5,223.5,306.7,238.0,5.8,333.9,352.7,255.1,5.8
0202028-745,3367,2461,59,211,150,189,268,29,112,266,352,44,2450,1865,41,119,108,91,208,18,57,165,243,29,3872.2,2821.3,158.0,360.6,167.1,240.0,103.5,21.7,193.0,344.5,195.3,30.8
0202028-750,2189,1817,45,94,80,86,61,6,72,142,99,13,1630,1405,31,45,54,45,46,4,38,80,64,7,1952.0,1316.2,34.0,180.7,59.2,280.1,65.8,16.0,54.2,153.0,331.1,132.1
0202028-755,3992,2516,124,263,234,278,554,23,171,405,674,55,2942,1943,93,172,171,128,418,17,111,260,463,27,3943.2,2704.8,159.7,75.3,210.4,475.1,275.7,42.2,330.9,419.6,374.0,55.2
0202029-800,2551,1565,110,240,226,169,185,56,179,347,229,90,2011,1318,95,155,164,90,151,38,120,235,173,56,2833.4,1289.1,59.6,527.8,179.4,410.7,343.9,22.9,121.9,642.9,376.6,38.1
0202029-805,1938,1265,62,134,116,165,158,38,102,226,219,46,1472,1017,48,99,82,86,120,20,63,147,145,24,1921.3,1276.0,63.6,217.3,144.9,63.5,155.9,0.0,74.8,164.7,200.6,40.0
0202029-810,1331,767,107,109,75,99,135,39,131,151,169,46,1056,674,82,70,57,47,99,27,91,98,114,30,1068.8,705.1,48.5,32.6,17.4,191.1,71.3,2.9,88.2,165.4,81.6,6.5
0202029-815,2463,973,67,432,336,169,462,24,101,489,511,39,1678,770,44,251,227,87,284,15,52,311,305,18,2745.5,720.1,61.3,821.7,361.3,365.9,403.5,11.9,61.3,764.6,633.7,189.7
0202029-820,2283,1172,140,251,215,249,219,37,240,386,287,60,1684,963,102,160,155,117,164,23,137,248,198,30,2256.5,794.9,70.7,511.3,77.7,73.1,728.5,0.1,173.7,132.4,806.3,19.3
0202029-825,2998,1682,148,258,195,206,494,15,207,325,583,34,2281,1362,117,161,149,118,364,10,149,223,410,19,2822.3,1374.7,95.1,256.8,237.3,193.4,628.7,36.4,95.1,373.8,788.8,94.6
0202029-830,4075,2116,180,411,455,366,504,43,284,728,612,85,2897,1659,124,236,317,158,371,32,153,446,414,46,4464.2,2224.5,241.4,804.1,301.6,418.4,451.6,22.6,321.4,646.8,565.2,51.4
0202030-835,3627,2147,148,256,360,317,302,97,247,603,419,121,2567,1670,111,155,236,113,231,51,135,331,270,58,2860.0,1966.0,59.0,38.0,124.0,267.0,406.0,0.0,139.0,349.0,448.0,0.0
0202030-840,3755,2676,116,228,192,197,345,1,176,314,428,22,2678,2021,74,131,106,87,258,1,93,163,293,9,3801.6,2636.7,120.9,104.2,189.1,249.0,501.8,0.0,150.5,319.4,621.5,0.0
0202030-845,1087,873,22,44,52,69,26,1,44,85,51,2,797,685,10,21,30,30,20,1,13,47,29,2,1110.0,915.6,7.3,15.0,40.8,113.7,17.5,0.1,41.3,57.2,80.8,0.3
0202030-850,1443,1247,14,52,40,61,25,4,25,68,56,11,1084,957,14,36,25,31,19,2,18,45,32,5,1347.1,1095.0,101.3,43.8,27.2,30.5,49.4,0.0,101.6,33.8,73.0,0.0
0202030-855,3271,1817,122,295,239,297,427,74,194,453,505,99,2374,1428,87,194,169,134,312,50,107,276,344,57,3643.0,1669.0,443.0,306.0,143.0,364.0,703.0,15.0,616.0,358.0,798.0,116.0
