GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag
19113113079,0,0,0,1558.8,881.5,567.6,1546.1,722.4,780.7,1442.9,876.7,535.6,1302.0,1048.1,0
19113113074,0,0,0,643.5,432.3,143.7,631.9,372.9,211.9,507.9,364.8,118.7,479.9,397.4,0
19113113076,0,0,0,935.6,610.4,223.2,915.7,518.8,324.4,772.3,543.2,189.2,725.0,599.4,0
19113113043,0,0,0,666.7,466.4,136.7,641.1,388.2,203.2,435.0,332.6,84.1,421.1,367.7,0
19113113073,0,0,0,920.0,602.2,233.4,909.6,519.0,338.6,752.8,524.9,201.6,705.8,578.8,0
19113113072,0,0,0,1086.6,747.6,230.0,1069.5,657.1,341.0,864.6,628.2,196.3,816.8,675.6,0
19113113042,0,0,0,987.6,640.8,251.2,973.7,566.4,351.0,834.9,580.7,216.9,781.2,644.1,0
19113113080,0,0,0,1387.7,847.6,428.0,1374.6,708.5,601.8,1264.5,857.9,378.6,1184.1,966.1,0
19113113083,0,0,0,1747.1,947.5,680.4,1735.0,773.2,904.5,1600.8,927.1,642.7,1447.6,1161.0,0
19113113081,0,0,0,1451.7,870.8,462.7,1437.1,726.8,636.0,1290.4,855.7,407.3,1198.8,968.7,0
19113113082,0,0,0,1443.9,821.9,509.3,1429.0,679.1,677.4,1253.2,771.6,457.4,1135.3,900.5,0
19113113041,0,0,0,1481.7,844.0,506.8,1467.7,741.5,658.5,1228.8,793.4,393.5,1146.5,949.6,0
19113113085,0,0,0,992.6,453.2,464.4,982.5,344.7,604.7,912.4,443.1,452.2,808.5,594.5,0
19113113084,0,0,0,1538.6,770.0,655.2,1518.5,611.9,845.9,1383.8,746.1,607.8,1243.0,945.1,0
19113113070,0,0,0,1047.1,528.1,415.2,1034.6,419.3,568.8,903.4,515.7,364.5,821.2,640.2,0
19113113071,0,0,0,1237.9,682.2,451.2,1221.0,561.6,602.6,1040.6,620.8,388.9,946.5,749.5,0
19113113066,0,0,0,1238.1,681.6,440.7,1213.8,552.9,597.6,1025.9,656.0,328.3,942.9,745.2,0
19113113065,0,0,0,1340.6,699.1,500.2,1322.9,568.0,680.8,1082.0,634.0,402.2,1002.0,770.7,0
19113113063,0,0,0,1456.5,809.9,519.0,1435.3,675.2,685.0,1230.3,745.6,446.7,1121.8,890.0,0
19113113062,0,0,0,1641.7,841.8,675.9,1622.9,656.4,909.4,1467.6,810.2,629.2,1320.6,1024.0,0
19113113061,0,0,0,2703.8,1231.9,1274.3,2683.3,895.8,1715.8,2482.2,1176.0,1268.4,2191.1,1628.4,0
19113113075,0,0,0,916.7,495.8,325.8,901.9,419.1,422.7,799.0,489.9,284.2,732.4,578.5,0
19113113057,0,0,0,538.0,290.4,197.7,530.1,244.2,257.8,456.8,287.0,156.4,417.2,334.9,0
19113113064,0,0,0,1345.5,756.7,464.4,1326.8,632.0,627.3,1146.8,734.4,372.4,1063.1,860.0,0
19113113077,0,0,0,1304.8,797.6,388.7,1289.4,651.2,575.3,1144.4,756.6,350.1,1050.9,847.0,0
19113113020,0,0,0,1607.8,644.0,816.0,1597.5,493.2,1064.0,1493.0,657.0,808.8,1299.4,929.8,0
19113113016,0,0,0,589.2,236.0,299.0,585.5,180.8,390.0,545.8,240.7,295.2,475.2,340.2,0
