GEOID20,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2018_ltg,D_2018_ltg,R_2018_ltg,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen
32003001342,859,429,357,875,463,360,1002,537,444,675,387,254,673,360,277,677,383,265,678,383,260
32003003363,1312,506,738,1334,565,698,1515,656,834,1130,475,603,1120,436,642,1140,488,616,1140,482,626
32003003701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32003006540,1308,694,521,1335,725,528,1818,1010,775,1115,627,427,1112,600,444,1122,640,426,1122,646,429
32003001348,987,522,371,997,545,402,1343,739,572,845,466,321,847,458,338,851,462,334,850,479,325
32003001328,1021,594,343,1039,617,356,1509,860,617,866,559,274,866,535,292,871,559,273,870,572,268
32003005397,1163,574,511,1182,580,554,1372,729,622,1062,519,496,1064,493,511,1070,522,506,1068,531,492
32003003705,778,354,359,805,372,367,1020,442,563,723,347,336,719,327,361,727,362,345,727,359,346
32003003706,1322,597,607,1342,621,615,3075,1576,1432,1277,712,509,1275,684,544,1281,718,518,1282,725,513
32003003729,764,336,368,773,353,377,1022,505,492,675,342,301,672,310,320,677,328,317,677,339,314
32003002716,1127,718,286,1153,753,321,1449,967,441,891,633,222,891,622,220,897,630,217,895,643,219
32003007643,508,232,244,510,237,241,614,311,289,425,219,195,426,213,205,426,227,188,428,220,201
32003005356,326,220,80,336,235,90,425,280,142,272,175,74,272,167,81,277,180,78,274,191,72
32003001341,1047,579,373,1067,591,393,1336,732,570,847,505,287,844,493,302,854,525,294,856,536,286
32003003843,1044,650,272,1068,705,288,1196,787,376,826,579,201,825,568,215,825,568,204,827,586,203
32003005400,541,337,153,555,348,185,641,381,248,410,253,130,414,244,143,414,252,132,414,261,134
32003007360,707,252,381,717,235,427,845,299,531,581,220,310,583,201,342,588,211,329,587,214,326
32003002692,991,418,505,1003,407,542,1206,506,675,879,389,447,882,374,466,888,381,472,887,391,462
32007000023,1203,161,953,1214,154,966,1569,264,1270,950,183,689,947,165,725,952,163,721,952,170,739
32019000033,939,289,554,944,276,577,1151,392,701,653,255,343,653,221,371,656,224,389,657,236,384
32005000004,682,199,435,687,207,434,836,301,499,611,223,333,614,196,366,617,220,371,617,227,362
32005000016,659,177,462,661,185,431,756,237,500,632,205,391,625,174,419,635,185,426,636,194,419
32031006210,691,400,226,696,395,246,811,485,302,542,330,175,545,292,206,552,311,203,552,332,184
32031008106,721,300,397,733,330,345,865,446,394,675,319,332,673,284,352,677,318,349,679,315,351
32031005000,634,372,210,641,388,188,642,418,201,534,353,145,537,324,173,537,336,167,538,349,165
32031002036,779,347,392,788,363,368,871,452,392,684,344,310,684,298,347,686,344,313,686,346,322
32031009408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32005000040,740,304,398,751,305,385,924,443,455,673,312,328,670,289,344,672,307,330,674,318,325
32031008214,123,37,85,123,42,78,146,41,103,121,38,76,120,30,88,122,40,82,122,37,84
32031008107,799,341,414,810,378,363,934,457,452,721,342,346,719,320,374,726,335,366,727,350,357
32031006105,269,169,72,277,179,74,325,194,123,224,145,64,226,142,74,227,141,69,228,153,62
32031005016,968,524,373,979,505,369,1084,664,375,857,518,285,856,478,319,866,508,313,866,520,315
32031004029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32031006216,622,291,274,627,308,257,695,377,301,562,299,220,565,261,254,568,303,237,568,297,244
32031008213,200,47,140,200,59,128,230,78,147,189,58,124,189,49,133,189,52,130,190,56,129
32031001012,273,118,121,276,119,128,435,249,173,290,150,115,289,140,128,293,149,122,293,155,124
32031009208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32031008207,565,119,427,566,146,382,629,227,387,535,163,357,537,130,398,538,144,388,538,158,376
32003004556,615,467,80,635,511,90,650,492,148,421,323,61,423,325,64,424,327,67,426,335,64
32031008117,679,289,370,689,323,306,820,420,378,622,301,300,620,280,315,624,298,309,625,299,314
32031008126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32031002031,886,351,489,892,364,458,999,457,514,795,358,405,795,307,442,801,349,424,799,350,433
32031006511,598,307,232,606,308,232,695,393,273,524,313,174,528,271,207,531,298,193,529,310,185
32003004565,1075,788,195,1090,825,208,1159,829,295,873,655,163,876,652,178,878,646,177,888,666,181
32003007715,1255,608,539,1280,623,563,1479,790,651,1064,548,448,1066,534,467,1072,549,454,1073,572,455
32003001330,1306,587,609,1329,596,668,1597,684,882,1153,527,577,1148,491,602,1158,522,588,1160,540,570
32003007522,1488,951,375,1528,1020,416,2261,1447,771,1237,896,272,1239,890,289,1246,883,278,1248,926,273
32003007526,399,251,113,408,239,133,513,338,161,329,223,83,328,216,86,331,212,91,331,226,85
32003003759,1170,494,603,1182,501,613,1337,598,703,1052,481,520,1050,455,547,1053,456,540,1053,480,537
32003002380,966,605,267,986,629,288,1131,681,419,789,512,229,785,491,254,789,502,244,786,509,234
32003006675,781,351,376,798,368,385,987,483,483,677,335,309,674,323,323,680,345,308,679,334,319
32003006440,691,375,263,713,370,303,921,497,408,544,313,213,543,295,219,551,306,214,553,317,215
32003002614,906,386,457,918,374,484,1040,475,541,759,346,367,759,336,384,763,337,384,765,351,385
32003007311,547,321,163,555,328,187,652,394,240,393,252,114,390,234,119,395,248,112,394,259,109
32003005575,395,237,124,399,236,133,472,280,174,330,213,93,329,204,107,334,217,102,333,218,103
32003005583,531,373,106,551,401,133,673,471,184,356,258,81,359,256,87,360,265,76,361,269,81
32003003727,1206,497,651,1234,510,667,1301,560,730,1122,462,621,1119,423,649,1126,458,644,1128,459,636
32003001344,516,282,202,525,282,216,613,359,245,423,232,172,422,217,180,423,234,174,423,238,170
32029000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32003006667,881,390,405,903,418,421,1135,515,590,734,353,333,730,321,356,738,361,336,740,373,339
32003007912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003864,1054,572,395,1079,590,412,1314,742,536,883,492,327,884,494,335,889,507,333,888,517,325
32003001664,699,311,339,709,308,369,921,427,485,636,296,315,634,279,327,636,292,317,639,295,314
32003002665,146,32,102,147,33,110,190,51,138,148,38,104,148,33,106,149,34,108,149,37,109
32003007550,42,15,21,44,15,23,50,19,30,32,14,15,34,12,19,35,14,18,34,14,17
32003007554,652,272,330,658,267,342,747,274,458,542,239,257,541,226,284,545,232,282,545,249,272
32003007723,803,378,356,812,407,359,1113,569,520,726,346,335,724,323,353,728,347,349,730,356,342
32003007361,498,163,283,506,157,320,617,200,398,429,144,263,428,128,272,430,141,263,430,138,270
