GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap
1100102-053,2340,441,629,1241,36,77,6,1897,384,470,1032,29,53,6,3502,460,1205,1613,66,140,0,1990,390,325,1160,4,79,0,3490,397,1254,1498,0,127,0,1860,330,280,1179,0,64,0,2926,587,1106,1174,96,112,2,2250,471,771,965,65,84,2
1100102-114,4827,61,43,4719,45,20,4,3255,58,28,3160,32,14,3,5297,140,45,5130,0,0,0,3518,128,39,3350,0,0,0,5543,244,117,5235,19,0,0,3792,226,115,3432,20,0,0,5198,189,161,4817,73,84,14,3717,173,108,3404,43,51,11
1100102-024,4291,2652,664,631,54,357,6,3969,2540,556,559,48,324,6,5029,2839,1098,581,42,423,27,3638,2475,320,430,40,354,25,4748,2893,716,580,27,519,0,3548,2463,232,377,23,450,0,5131,3145,830,706,69,475,8,4733,2998,702,621,63,422,5
1100102-044,6079,1292,847,3866,97,127,26,5231,1268,607,3265,78,117,21,6514,1364,1687,3489,186,215,23,4266,1276,307,2533,15,102,1,6487,1433,1708,3414,43,221,21,4231,1295,379,2414,17,98,1,6967,995,2069,3812,201,200,9,5328,938,1286,3017,130,144,8
1100102-042,2888,870,950,962,37,119,11,2439,830,720,789,29,96,11,3150,1151,841,1023,60,175,0,2110,1023,208,751,15,100,0,3185,1423,749,883,74,230,0,2287,1258,241,636,5,140,0,3270,1407,961,710,79,182,9,2825,1309,725,615,63,162,7
1100102-035,5593,3373,877,1034,78,326,9,5170,3249,724,917,66,290,8,5557,3566,625,999,0,421,62,4611,3179,479,729,0,229,0,5884,3499,730,1156,0,585,62,4727,3049,549,839,0,284,0,6094,3557,935,1017,131,586,11,5575,3383,803,864,103,504,9
1100102-112,3031,33,38,2951,44,22,2,2461,33,27,2386,36,16,1,3423,191,215,2939,25,99,0,2687,160,32,2459,0,32,0,3743,178,259,3261,24,57,0,2875,154,28,2652,19,30,0,3111,69,77,2944,58,45,1,2449,68,47,2303,40,30,1
1100102-133,1785,82,22,1677,23,14,0,1418,76,17,1318,20,9,0,1997,129,99,1813,1,4,0,1566,116,86,1362,1,4,0,2073,96,74,1942,1,4,0,1588,79,65,1431,1,4,0,1855,110,88,1650,35,26,2,1500,100,64,1331,32,16,0
1100102-045,3055,501,541,1984,49,67,15,2489,461,403,1601,39,52,14,3611,1276,479,1786,35,127,0,2863,1161,211,1384,2,103,0,3639,1255,520,1754,27,156,0,2830,1120,228,1360,2,119,0,3449,1275,583,1406,76,189,2,2895,1074,450,1224,69,141,1
1100102-141,3831,2695,405,457,32,273,3,3662,2633,349,417,30,260,2,4762,3511,379,619,19,183,17,3918,3084,170,466,21,156,0,4845,3691,411,461,18,233,0,4081,3247,217,375,18,221,0,4515,3280,405,380,56,404,12,4305,3145,382,349,52,374,8
1100102-094,2870,35,81,2761,28,10,0,2084,33,61,1994,25,4,0,2978,0,83,2971,30,29,0,2195,0,59,2130,29,0,0,3059,0,67,3050,30,9,0,2340,0,55,2280,29,0,0,3105,66,179,2852,74,42,8,2351,55,130,2159,57,34,6
1100102-109,1148,52,20,1070,9,4,3,960,49,19,887,9,4,3,1313,49,38,1102,10,140,0,1098,46,13,1010,9,29,0,1434,127,39,1105,7,178,0,1230,115,19,1047,9,45,0,1249,105,42,1076,27,32,5,1034,85,30,894,24,29,5
1100102-105,3570,30,62,3497,44,7,1,2514,27,38,2462,32,4,1,4047,93,10,3916,0,0,0,2968,74,11,2887,0,0,0,4095,76,28,3965,0,0,12,2871,58,16,2780,0,0,0,3637,60,118,3468,41,27,4,2690,50,74,2563,30,19,4
1100102-137,1253,566,161,477,17,56,2,1101,542,124,387,14,53,2,1677,838,143,576,11,89,0,1403,838,86,410,10,67,0,1653,998,86,450,10,98,0,1446,942,53,365,10,86,0,1929,1054,202,483,23,164,3,1722,974,183,395,18,146,3
1100102-122,2725,14,58,2652,18,8,2,1934,11,40,1880,11,6,1,3265,28,205,3027,93,16,0,2326,14,95,2198,18,4,0,3070,53,266,2752,116,26,0,2165,34,95,2005,18,15,0,2768,37,136,2582,32,30,5,2041,32,88,1905,22,26,2
1100102-096,3333,23,75,3248,35,4,0,2310,19,49,2248,25,2,0,3620,0,73,3528,55,44,0,2512,0,23,2453,27,8,0,3820,9,51,3763,64,4,0,2710,8,12,2661,27,0,0,3399,59,140,3192,49,29,5,2581,49,91,2434,32,19,5
1100102-057,4101,229,715,3187,74,45,3,3202,211,479,2528,49,34,3,5072,487,1454,3078,163,62,22,3205,434,489,2166,62,50,0,5128,551,1668,2850,197,66,31,3216,507,501,2100,63,50,0,4495,651,1122,2630,101,138,1,3498,551,769,2093,75,120,1
1100102-120,3053,33,36,2995,23,12,2,2013,31,23,1962,15,8,2,3455,128,80,3246,5,0,0,2403,113,0,2288,3,0,0,3720,52,101,3577,17,0,0,2540,53,8,2474,8,0,0,3786,82,79,3607,41,36,1,2639,74,48,2492,35,29,1
1100102-058,3414,119,575,2716,54,61,12,2699,110,400,2177,36,47,9,3822,330,435,3078,8,24,0,2797,269,119,2390,6,5,0,3482,388,585,2726,3,29,0,2761,329,335,2087,3,11,0,3690,550,832,2227,110,124,9,2937,449,598,1843,83,90,8
1100102-039,6814,3115,1656,1780,116,317,25,5795,2835,1345,1372,94,286,20,8056,3995,1779,1908,87,456,3,5904,3426,882,1195,41,379,0,7958,3746,1512,2173,83,450,2,5812,3114,745,1578,41,344,0,7774,3410,2023,1809,132,540,24,6425,2994,1566,1430,115,435,16
1100102-088,3245,2525,119,455,29,132,6,2822,2217,97,388,26,106,5,3828,2845,214,527,25,197,30,3150,2397,157,389,20,158,0,3777,2833,232,467,22,204,26,3062,2326,160,366,15,173,0,3380,2570,182,340,31,205,7,2839,2180,149,290,27,152,5
1100102-115,4484,33,55,4418,42,13,1,3092,31,38,3034,32,11,1,4857,84,19,4521,87,0,0,3444,85,10,3274,75,0,0,4569,109,9,4285,72,0,0,3170,110,10,2979,70,0,0,4474,28,48,4388,58,12,3,2991,28,30,2928,34,9,3
1100102-095,2452,15,51,2377,24,22,0,1827,14,31,1775,19,12,0,2616,15,57,2532,55,63,0,2063,19,22,1971,7,2,0,2637,14,62,2559,42,32,0,2070,16,27,2004,13,0,0,2507,41,157,2296,30,29,0,1874,35,131,1694,25,17,0
1100102-029,2670,1995,207,241,15,213,4,2416,1825,176,216,13,186,4,2875,2162,221,256,0,257,0,2359,1868,122,176,0,198,0,2849,2098,199,245,0,326,0,2332,1829,97,178,0,225,0,2806,1972,253,266,44,264,1,2409,1734,195,220,32,217,0
1100102-010,5617,4302,518,310,27,492,6,5004,3856,449,270,26,428,5,5418,3683,820,400,98,489,0,3779,2944,315,286,20,215,0,4833,3179,736,391,11,510,0,3467,2664,292,297,0,214,0,5795,3952,608,477,33,702,2,5018,3455,509,418,22,577,1
1100102-118,4433,20,85,4371,31,11,3,2790,17,43,2744,23,6,1,5154,18,292,4847,51,0,11,3055,17,52,2955,10,0,10,5594,29,318,5181,40,5,0,3294,24,57,3212,40,3,0,5122,59,183,4880,67,33,12,3288,47,116,3128,42,21,6
1100102-117,3310,31,64,3223,38,17,2,2100,24,36,2039,19,15,2,3947,77,180,3607,24,9,0,2445,35,75,2325,10,10,0,4061,85,394,3706,28,8,0,2680,65,115,2495,10,10,0,3637,30,114,3472,33,35,3,2449,25,90,2324,29,21,3
