GEOID20,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov
46083VTD-H1,923,202,723,923,262,586,753,343,408,787,389,386
46083VTD113,684,216,473,697,272,364,554,281,269,579,336,237
46083VTD116,689,203,487,692,264,378,535,278,255,555,306,245
46083VTD118,1110,207,906,1097,343,680,1017,437,581,1076,448,623
46083VTD210,1616,346,1268,1580,524,995,1462,628,830,1514,628,880
46083VTD211,1700,412,1285,1703,624,1007,1688,779,911,1744,796,941
46083VTD212,787,234,554,792,302,437,718,336,383,750,376,369
46083VTD213,1824,492,1327,1826,709,1002,2122,1035,1088,2226,1112,1104
46083VTD215,997,206,791,980,325,594,976,423,555,1024,448,566
460850VTD-1,69,18,48,69,5,59,76,25,48,77,34,41
460850VTD-4,310,85,233,317,87,215,304,109,193,308,145,172
460850VTD-6,141,27,96,133,27,92,126,47,69,130,62,64
460850VTD-7,173,128,46,172,144,13,183,162,18,188,178,8
460850VTD-9,244,25,211,244,11,209,212,58,156,232,73,151
46085VTD-12,376,65,319,373,49,293,336,108,218,356,149,201
46085VTD-13,101,11,89,99,10,88,95,29,66,101,44,60
460870VTD-1,513,147,367,505,151,324,462,190,266,477,237,249
460870VTD-2,145,34,100,145,31,101,130,78,78,142,78,74
460870VTD-3,538,91,431,538,125,382,508,189,302,525,201,302
460870VTD-4,464,47,411,454,48,386,411,111,289,433,112,306
460870VTD-6,315,59,255,315,59,248,297,84,203,300,157,189
460870VTD-5,613,159,442,601,175,382,551,242,298,593,298,285
46089VTD101,60,7,48,65,1,60,41,3,31,41,1,31
46091VTD-A1,230,76,157,230,91,128,229,111,107,239,129,109
46091VTD-A2,165,58,105,165,69,75,165,96,61,178,106,61
46091VTD-A3,279,76,206,275,94,159,241,120,116,267,142,111
46091VTD-A4,271,114,174,273,132,137,238,137,114,258,157,113
46091VTD-A5,185,45,127,181,60,95,156,83,67,160,89,65
46091VTD-A6,276,87,180,272,116,151,297,142,151,300,139,157
46091VTD-A7,174,51,120,171,58,101,171,85,86,184,95,86
46091VTD-A8,200,49,132,198,65,116,172,118,66,201,129,64
46091VTD-A9,198,44,142,198,61,116,199,109,74,205,116,74
46093VTD-00,175,37,137,175,40,116,153,64,90,157,72,81
46093VTD-06,700,150,548,701,121,514,616,186,429,651,230,404
46093VTD-08,299,60,237,298,58,224,289,100,184,296,108,173
46093VTD-10,976,179,797,965,184,712,842,286,556,870,293,562
46093VTD-11,736,161,568,736,164,507,645,210,437,669,231,426
46093VTD-12,795,115,674,797,115,631,761,190,571,793,215,563
46093VTD-17,85,10,74,89,5,81,81,18,63,86,18,67
46093VTD-20,51,10,39,53,7,42,48,12,31,53,25,22
46093VTD-21,381,57,320,389,55,312,299,88,215,312,88,219
46093VTD-30,84,3,80,84,1,82,69,9,59,78,10,66
46093VTD-31,256,40,222,257,7,229,214,50,158,230,51,165
46093VTD-33,71,9,58,80,3,67,67,4,58,73,15,46
46093VTD-40,37,4,30,33,5,27,32,9,22,37,9,24
46093VTD-6A,133,17,115,135,18,103,124,39,84,132,44,81
46093VTD-SE,485,111,372,484,103,338,415,166,251,424,185,229
46093VTD-09,148,14,127,147,14,124,133,24,103,140,38,96
46093VTD-41,50,8,43,53,4,46,46,13,32,50,14,32
46093VTD-ES,245,64,180,245,67,157,204,79,122,209,83,119
46093VTD-13,1053,215,837,1058,191,764,889,254,632,923,288,600
46093VTD-29,35,8,26,35,2,29,36,8,28,32,5,23
46093VTD-14,598,112,483,603,107,426,479,158,322,501,177,305
46093VTD-CS,235,70,165,240,60,152,191,83,102,202,101,101
46093VTD-RS,323,68,257,322,57,229,296,102,196,305,122,176
46093VTD-15,398,86,311,404,77,292,327,106,222,341,120,214
46093VTD-18,92,8,77,96,3,74,73,9,64,78,18,58
46093VTD-23,412,101,311,432,92,275,227,96,130,230,97,130
