GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen
23017131003,3259,1710,1481,3239.0,1127.0,1833.0,2639.0,909.0,1451.0,2568.0,172.0,1218.0
23017140911,2138,1270,817,2024.0,1026.0,853.0,1738.0,899.0,716.0,1766.0,144.0,594.0
23017140912,411,215,182,579.1,230.1,297.7,509.0,209.0,259.0,510.0,36.0,215.0
23017140913,1064,571,464,1067.0,383.0,557.0,881.0,352.0,430.0,884.0,79.0,389.0
23017140922,3879,2408,1344,3669.0,1450.0,1879.0,2927.0,1268.0,1381.0,2927.0,235.0,1161.0
23017140932,4224,2532,1520,4027.0,1445.0,2148.0,3152.0,1234.0,1584.0,3156.0,266.0,1357.0
23017140942,1157,603,523,1173.0,397.0,679.0,977.0,292.0,461.0,972.0,69.0,469.0
23017140943,1090,581,484,1076.0,374.0,620.0,904.0,260.0,421.0,905.0,73.0,415.0
23017140951,925,500,405,914.0,341.0,494.0,793.0,335.0,387.0,799.0,55.0,318.0
23017140953,1343,738,567,1449.0,558.0,756.0,1126.0,457.0,562.0,1124.0,97.0,456.0
23017140963,691,336,338,737.0,251.0,398.0,613.0,208.0,318.0,623.0,39.0,289.0
23017140981,1127,611,492,1167.0,530.0,550.0,1030.0,515.0,446.0,1004.0,111.0,368.0
23019270093,871,351,506,889.8,232.7,608.9,715.3,239.4,425.1,705.1,30.5,360.5
23019270103,4532,2413,2030,3956.2,1527.3,2202.1,3227.7,1420.6,1593.9,3248.9,177.5,1378.5
23019270113,446,164,272,460.0,89.0,344.0,324.0,75.0,235.0,320.0,7.0,203.0
23019270123,30,15,14,76.0,16.0,59.0,66.0,18.0,45.0,63.0,3.0,35.0
23019290113,247,87,153,268.0,56.0,194.0,202.0,41.0,144.0,203.0,11.0,139.0
23019300113,1596,658,893,1556.0,372.0,1106.0,1214.0,355.0,783.0,1192.0,50.0,684.0
23019300123,4426,2108,2225,4083.0,1264.0,2542.0,3139.0,1131.0,1825.0,3175.0,214.0,1620.0
23019300132,1350,555,768,1402.0,383.0,934.0,1121.0,336.0,724.0,1128.0,59.0,677.0
23019300133,1476,691,753,1601.0,488.0,999.0,1190.0,406.0,719.0,1197.0,82.0,629.0
23019300143,4213,2686,1464,4182.0,2246.0,1560.0,3309.0,1844.0,1220.0,3353.0,426.0,1040.0
23019300181,1084,595,478,1132.0,561.0,484.0,986.0,540.0,393.0,992.0,93.0,338.0
23019300183,382,226,152,324.4,207.1,87.0,256.2,179.4,61.9,262.6,59.1,48.3
23019300193,5367,4018,1264,5076.6,3241.9,1361.0,4009.8,2807.6,968.1,4109.4,924.9,756.7
23019310113,395,154,235,562.0,165.7,351.3,463.6,150.9,290.1,456.8,28.2,253.4
23019310133,1588,914,653,1606.0,728.3,747.7,1294.4,637.1,579.9,1308.2,131.8,500.6
23019310201,3662,1682,1909,4009.5,1411.8,2285.4,3372.4,1273.8,1911.8,3404.3,205.3,1677.2
23019310203,798,468,319,807.0,338.0,412.0,668.0,317.0,301.0,669.0,71.0,265.0
23019310211,5129,2446,2600,5009.5,2115.2,2509.6,3881.6,1834.2,1836.2,3908.7,321.7,1597.8
23019310402,2283,1012,1252,2371.0,876.0,1316.0,2028.0,831.0,1084.0,2011.0,132.0,963.0
23019320151,3880,2375,1442,4003.2,2122.2,1551.7,3189.3,1847.7,1153.2,3217.9,398.2,993.0
23019320161,3903,2315,1523,3992.3,2116.5,1547.5,3180.6,1842.6,1150.1,3209.2,397.1,990.3
23019320171,4634,2703,1862,4486.2,2378.3,1738.9,3574.1,2070.6,1292.4,3606.2,446.2,1112.8
23019320181,3499,2013,1431,3031.3,1607.0,1175.0,2415.0,1399.1,873.3,2436.7,301.5,751.9
23019320232,2947,1252,1658,3509.0,1110.0,2174.0,2842.0,1026.0,1686.0,2851.0,201.0,1504.0
23019330222,5266,2291,2883,5608.8,1764.5,3449.6,4354.3,1513.3,2598.2,4364.6,285.4,2354.0
23019330232,2719,1179,1476,2935.0,871.0,1841.0,2383.0,793.0,1478.0,2395.0,155.0,1318.0
23019330242,3080,1392,1632,3045.0,886.0,1942.0,2406.0,822.0,1460.0,2380.0,159.0,1282.0
23019330252,4729,1955,2694,4871.2,1432.5,3095.4,3693.7,1228.7,2284.8,3763.4,189.6,2030.0
23019330392,5935,2896,2954,6080.0,2510.0,3086.0,4927.0,2201.0,2486.0,5049.0,352.0,2176.0
23021270262,2939,1420,1459,2835.0,1007.0,1596.0,2282.0,935.0,1204.0,2315.0,196.0,1047.0
23021270263,1580,759,784,1570.0,515.0,952.0,1241.0,475.0,683.0,1263.0,95.0,616.0
23021270271,3422,1589,1743,3341.8,1131.8,1976.8,2738.5,1031.0,1532.1,2772.0,157.3,1316.7
23021270272,177,56,119,187.0,52.0,124.0,180.0,59.0,118.0,178.0,12.0,104.0
23021270273,1179,515,635,1167.1,367.2,706.2,949.5,355.0,538.9,958.0,68.7,497.2
23021270881,137,91,45,117.0,48.0,62.0,88.0,48.0,36.0,87.0,10.0,31.0
23023190601,5490,3127,2269,5923.0,3135.0,2333.0,5127.0,2878.0,1883.0,5158.0,385.0,1539.0
23023190612,745,450,288,748.0,405.0,282.0,694.0,410.0,260.0,696.0,34.0,208.0
23023190613,348,233,103,341.0,224.0,98.0,324.0,226.0,85.0,330.0,34.0,66.0
23023190623,4346,2741,1521,4237.2,2476.5,1422.6,3738.2,2394.3,1097.2,3775.3,422.1,868.6
23023190642,1417,758,619,1409.0,622.0,693.0,1285.0,626.0,594.0,1309.0,98.0,469.0
23023190643,845,455,378,841.5,400.6,390.9,775.6,385.4,342.3,766.5,52.1,261.8
23023190652,1921,1018,873,1979.0,834.0,1003.0,1736.0,763.0,857.0,1761.0,107.0,718.0
23023190653,827,487,326,821.3,439.9,323.5,739.2,424.4,267.4,739.1,67.8,207.7
