GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
39095048ALC,1201,27,13,1162,7,9,0,830,23,6,800,7,6,0,884,10,0,870,0,4,0,692,10,0,677,0,3,0,839,13,0,824,0,2,0,663,15,0,649,0,3,0,888,21,0,866,0,0,0,671,26,0,645,0,0,0,757,22,23,707,6,2,0,511,20,8,476,2,1,0,511,20,8,461,0,0,0,8,14
39095048ALG,952,57,11,888,7,3,0,709,53,9,652,5,3,0,632,37,112,587,2,0,2,445,32,17,390,2,0,0,609,41,7,560,2,0,2,414,39,2,370,2,0,0,782,32,8,740,1,1,0,522,30,3,485,0,0,0,737,63,14,654,10,2,0,568,56,8,498,6,1,0,568,56,8,490,0,3,0,1,10
39027014ABE,1159,1122,14,8,11,1,0,921,898,5,5,10,1,0,1202,1160,15,5,17,17,1,892,876,1,1,4,10,0,1160,1126,18,3,18,6,1,873,858,3,1,6,4,0,1335,1294,17,3,18,7,2,954,948,8,4,7,2,0,1296,1223,6,12,29,10,0,970,916,6,9,23,3,0,970,916,6,6,2,2,0,4,34
39027014ABG,1515,1470,7,15,9,9,6,1171,1141,4,9,7,8,3,1445,1410,0,6,11,0,16,1112,1098,0,5,10,0,0,1697,1659,0,10,11,0,15,1160,1141,0,7,10,0,0,1683,1637,0,10,5,0,29,1233,1219,0,8,5,0,0,1590,1476,18,8,51,5,9,1254,1172,13,5,39,4,5,1254,1172,13,1,4,0,2,5,57
39027014ABA,1399,1370,6,17,4,2,0,1025,1010,6,6,3,1,0,1300,1281,2,5,14,0,0,951,938,1,3,13,0,0,1204,1169,30,5,3,0,0,913,891,19,3,0,0,0,1332,1284,26,10,14,0,0,1049,1021,15,7,15,0,0,1325,1261,23,7,26,7,2,1014,974,9,5,20,5,2,1014,974,9,1,4,2,1,0,23
39095048ARV,1340,1162,29,72,8,72,0,944,830,12,51,7,43,0,1521,1476,12,33,0,0,0,1105,1084,10,8,0,0,0,1408,1324,42,41,0,1,0,992,939,41,10,0,0,0,1339,1164,0,38,0,136,0,812,754,0,15,0,41,0,1343,1119,29,60,17,106,1,1026,871,18,43,14,72,1,1026,871,18,38,63,0,0,0,36
39095048AQI,1828,1582,84,132,18,22,3,1355,1202,51,76,16,14,1,1686,1313,116,233,5,26,0,1175,936,73,155,0,14,0,1945,1449,101,248,5,146,0,1290,986,63,180,0,61,0,1725,1321,26,232,3,144,0,1263,1003,4,193,0,55,0,1852,1420,138,204,47,14,1,1418,1123,83,138,37,7,0,1418,1123,83,113,1,0,0,17,81
39095048AJW,1453,720,45,408,21,279,1,1258,650,24,315,14,259,1,1288,599,65,571,0,53,0,1105,540,35,520,0,10,0,1108,573,99,387,0,49,0,930,545,50,330,0,10,0,1101,516,73,453,0,59,0,993,505,38,430,0,20,0,1296,619,113,449,14,114,0,1124,569,85,350,13,110,0,1124,569,85,314,96,2,0,6,52
39159080AAG,1081,1007,11,29,13,22,0,821,774,6,13,12,16,0,1226,1099,0,38,0,87,0,960,889,0,36,0,33,0,1377,1312,15,42,0,6,0,1071,1007,14,40,0,7,0,1521,1430,26,53,0,15,0,1194,1116,26,32,0,13,0,2063,1823,61,43,35,87,4,1537,1378,36,21,19,70,4,1537,1378,36,18,67,0,0,1,37
39159080ACA,1359,1258,24,32,20,34,1,1040,980,11,15,17,21,0,1489,1356,0,52,0,82,0,1138,1072,0,25,0,40,0,1440,1337,4,42,0,57,0,1135,1085,3,20,0,27,0,1011,929,2,37,0,35,0,872,821,2,24,0,19,0,1263,1093,60,40,35,39,1,1072,946,42,23,23,32,1,1072,946,42,18,24,2,0,11,29
