GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres
47051002657,1091,269,790,1246,267,962,1315,310,988
47051002667,769,271,475,879,260,599,936,307,614
47043002256,760,164,567,997,208,766,1041,228,787
47043002255,1459,349,1042,1902,485,1357,1962,496,1405
47051002666,1262,217,1016,1369,225,1130,1443,252,1177
47043002254,1030,238,737,1271,306,924,1309,348,936
47043002265,1799,441,1279,2262,559,1646,2341,641,1653
47043002263,919,228,651,1166,245,890,1201,259,919
47043002259,1072,270,764,1295,239,1008,1347,270,1045
47043002253,963,218,719,1351,348,973,1376,368,992
47119005956,3217,1075,2016,3767,1361,2336,3833,1418,2331
47119005969,1078,191,860,1283,211,1049,1299,222,1062
47119005964,2403,494,1816,2718,533,2148,2744,597,2117
47119005970,1506,372,1087,2932,862,2024,2963,913,2005
47119005952,1360,302,992,1679,356,1285,1704,393,1283
47119005951,4101,1156,2649,7008,2327,4568,7121,2521,4470
47157008261,3091,1230,1720,3385,1336,1941,3485,1471,1953
47045002356,690,88,583,698,71,613,739,84,645
47109006157,1164,162,975,1319,168,1115,1354,175,1144
47109006158,618,137,468,661,115,525,684,127,544
47109006167,705,150,526,748,155,572,771,171,582
47077004003,1674,308,1318,1818,299,1492,1901,359,1516
47145007471,650,170,445,789,183,567,821,201,589
47145007458,1761,779,859,1909,853,1006,1934,920,953
47145007453,608,94,494,772,120,635,794,131,639
47157008202,2653,2587,35,2588,2393,86,2711,2579,88
47157008121,1367,1328,24,1234,1125,46,1293,1230,41
47157008145,776,756,12,694,632,26,734,703,17
47157008197,1590,1355,209,1674,1385,224,1748,1500,219
47157008222,3057,1880,1048,3442,2243,1111,3512,2389,1065
47157008086,3226,916,2126,3524,1076,2405,3568,1279,2232
47157008183,1519,1343,162,1494,1246,174,1548,1358,171
47157008189,1929,1751,150,1997,1707,194,2071,1841,198
47119005963,1714,1288,391,1906,1367,495,1955,1423,491
47119005959,556,221,305,662,245,396,689,272,404
47119005960,2082,605,1361,2440,769,1631,2492,808,1630
47119005961,2311,751,1493,2699,794,1855,2780,857,1888
47119005966,2388,544,1771,2764,602,2102,2805,641,2131
47099005165,1022,161,835,1120,147,952,1190,179,1000
47017000810,366,82,270,397,88,303,415,100,308
47017000807,1100,230,836,1247,220,1010,1317,246,1051
47017000812,695,85,591,743,86,650,761,91,669
47117005855,1467,431,984,1693,441,1211,1783,511,1242
47117005856,1123,319,760,1420,364,1015,1491,416,1055
47055002852,498,123,364,551,119,419,592,140,448
47055002859,1101,237,842,1251,243,979,1323,293,1014
47055002863,504,209,274,506,204,287,551,236,310
47055002864,881,345,519,930,304,599,998,358,632
47117005859,1377,396,933,1576,423,1135,1663,475,1167
47051002653,808,156,624,892,147,730,933,160,761
47043002266,1362,460,839,1538,499,986,1622,569,996
47109006152,590,79,491,631,79,540,653,88,550
47077004013,324,47,264,365,44,317,382,50,327
47109006154,350,50,287,399,44,345,417,49,353
47109006165,199,93,97,205,81,119,210,83,120
47119005967,1251,385,806,1544,541,969,1571,559,976
47119005953,1879,494,1332,2335,593,1708,2358,613,1716
47131006761,1129,163,939,1237,138,1070,1294,167,1121
47131006762,1424,584,801,1477,562,877,1542,628,896
47131006752,1854,419,1377,1949,406,1505,2031,469,1539
47053002762,678,157,508,696,129,553,735,149,583
47053002753,453,76,361,531,78,444,558,90,463
47053002770,882,205,644,986,226,740,1017,250,756
47011000507,2068,481,1471,2324,626,1640,2408,704,1658
47011000501,1369,195,1122,1532,241,1260,1594,270,1309
47011000509,1661,518,998,1830,649,1127,1923,737,1155
47051002652,2220,549,1590,2453,600,1803,2546,674,1835
47145007467,1116,265,818,1351,250,1063,1394,295,1073
47011000504,4145,749,3208,4776,984,3698,4948,1120,3731
47119005954,873,140,704,1038,173,847,1065,173,875
47053002777,1135,332,763,1145,278,816,1231,340,876
47053002772,467,104,354,492,76,346,506,100,402
47077004005,1234,143,1049,1455,161,1273,1504,187,1301
47011000515,2030,270,1672,2329,316,1960,2462,376,2033
47145007464,1019,208,776,1208,270,901,1242,298,915
47145007452,1409,255,1081,1785,346,1398,1822,380,1404
47145007472,1380,355,968,1569,357,1156,1635,408,1188
47011000513,1129,193,886,1189,200,954,1247,221,1006
47003000109,1330,445,837,1536,486,1007,1644,572,1029
47003000108,903,374,491,1141,437,661,1219,522,674
47003000111,1452,385,1011,1818,501,1272,1934,555,1333
47003000110,1205,436,744,1312,421,861,1424,517,879
47003000103,1959,299,1607,2366,372,1952,2470,419,2027
47151007757,1273,124,1110,1554,138,1383,1666,161,1491
47157008172,988,553,407,918,475,406,967,534,415
47157008113,1466,1407,41,1359,1239,66,1423,1325,76
47157008192,1842,1691,132,1828,1597,146,1896,1714,155
47043002260,1477,394,1031,1811,385,1370,1866,420,1407
47043002262,724,142,571,876,151,705,913,178,718
47053002776,322,46,276,365,44,306,374,51,323
47053002774,738,157,562,835,148,661,898,172,711
47011000508,3059,472,2472,3437,574,2790,3565,632,2880
47145007463,611,133,453,721,139,559,748,145,581
47017000804,556,103,438,674,118,546,695,133,552
47099005171,291,55,222,322,50,261,346,51,290
47017000801,623,138,466,674,136,528,705,146,554
47131006759,337,34,296,352,29,312,367,33,333
47131006753,976,118,837,982,121,848,1031,141,883
47053002760,340,109,219,356,107,238,381,117,254
47053002757,600,477,112,546,369,144,619,461,146
47161008405,869,245,586,934,187,728,998,229,757
47151007755,647,70,568,732,66,651,822,72,746
47109006156,1517,329,1130,1609,323,1247,1673,354,1284
47077004008,260,16,238,296,14,279,307,21,286
47077004007,724,103,600,886,110,764,912,126,779
47049002556,809,121,671,984,111,862,1025,122,896
47157008119,587,397,123,675,509,146,688,529,143
47157008241,2955,1451,1376,3592,1999,1522,3649,2155,1440
47157008081,1357,328,987,1525,381,1131,1547,418,1115
47157008051,3803,910,2718,5284,1516,3686,5376,1693,3611
47157008234,1087,921,147,1168,960,157,1212,1035,160
47157008142,1867,1816,31,1815,1665,68,1895,1787,70
47157008109,2153,1585,421,2473,1915,519,2506,2015,441
47157008246,1358,1061,269,1440,1134,279,1494,1175,297
47071003704,865,185,648,982,209,751,1027,210,787
47071003717,626,83,510,719,94,608,743,108,621
47135006955,428,105,306,467,111,350,501,127,368
47135006953,324,61,253,361,55,300,392,72,315
47161008402,745,148,571,822,154,649,872,172,685
47145007462,1509,359,1095,1693,407,1239,1750,474,1245
47017000808,741,245,475,815,222,572,847,251,589
47119005958,1367,428,840,1646,575,1023,1667,627,1010
47125006464,2783,933,1693,3266,1134,2043,3444,1319,2056
47125006462,2100,711,1286,2356,799,1482,2499,940,1506
47125006471,4242,1477,2483,6498,2585,3681,6846,2921,3745
47125006461,2201,534,1579,2673,538,2072,2825,628,2151
47053002763,1248,565,654,1225,489,696,1354,591,750
47053002778,373,62,297,394,60,321,416,68,339
47049002555,584,97,467,768,127,632,798,147,641
47099005153,548,100,434,595,94,491,644,107,536
47117005857,824,334,455,966,341,597,1051,390,634
47125006451,540,278,221,703,370,291,740,400,310
47125006458,1756,1054,598,1948,1140,712,2073,1284,727
47027001306,436,95,325,509,92,405,536,106,423
47027001302,307,78,222,347,80,260,372,87,281
47053002759,763,193,561,835,175,637,902,214,674
47053002756,652,555,91,539,405,96,587,486,94
47131006756,852,194,634,870,193,641,930,214,700
47131006751,1835,401,1394,1904,353,1511,1983,399,1561
47145007454,365,55,301,423,63,346,435,66,357
47011000506,3056,626,2259,3606,829,2694,3719,918,2739
47181009408,187,36,149,200,26,172,217,34,183
47181009414,232,23,201,219,24,187,240,28,208
47181009405,329,24,297,362,37,323,376,42,331
47181009406,299,31,263,338,23,311,371,28,341
47125006457,2364,1165,1020,2915,1490,1291,3082,1668,1310
47125006476,719,439,222,801,499,250,858,571,257
47125006456,1862,903,826,2312,1174,1005,2465,1313,1050
47035001722,1749,328,1384,2101,456,1618,2189,503,1669
47035001709,3198,918,2195,3667,1028,2577,3762,1180,2541
47035001717,621,116,488,746,112,624,785,123,656
47035001705,2565,524,1955,3055,587,2411,3213,678,2483
47035001712,777,163,589,865,168,676,907,194,702
47035001701,654,95,542,810,105,689,860,123,724
47181009411,589,74,504,595,79,507,631,89,537
47181009403,356,30,321,347,29,311,370,36,333
47181009409,410,49,354,427,42,373,462,50,407
47181009404,909,139,759,940,104,811,1045,141,895
47125006468,3981,1094,2666,5317,1635,3541,5527,1884,3538
47125006452,1833,931,769,2493,1404,958,2652,1571,991
47125006467,2536,1047,1302,3535,1633,1753,3748,1865,1764
47181009412,687,62,611,767,71,686,814,79,730
47017000805,1632,400,1182,1736,403,1279,1845,474,1348
47017000818,397,106,284,426,96,320,436,103,329
47099005166,531,144,369,565,139,406,624,163,451
47189009830,2673,728,1766,3875,908,2888,3951,1012,2868
47189009809,990,285,652,1419,372,1005,1466,418,1017
47189009827,738,194,493,868,363,467,916,389,496
47189009802,2257,550,1586,2739,1057,1606,2797,1175,1540
47189009817,1030,220,770,1301,261,996,1328,292,1004
47177009211,891,183,671,1012,168,818,1087,196,880
47177009217,493,109,373,600,124,461,631,135,487
47099005154,543,151,367,550,131,409,592,156,430
47099005152,958,122,821,1026,107,905,1122,126,992
47011000514,2284,454,1736,2440,507,1845,2585,578,1957
47011000510,1040,334,646,1118,423,647,1195,478,695
47011000516,3351,528,2653,3802,605,3118,3926,719,3138
47011000505,2891,497,2275,3517,546,2900,3655,634,2966
47011000512,2403,310,1998,2614,357,2192,2716,394,2275
47157008226,672,606,54,687,587,66,732,645,69
47157008061,1687,1515,140,1860,1617,187,1910,1698,178
47157008093,2315,645,1567,2658,765,1862,2696,924,1738
47157008082,1792,907,840,2111,1170,880,2152,1263,854
47157008090,2062,707,1250,2259,902,1312,2304,1028,1236
47157008210,1945,1858,64,2018,1848,76,2093,1987,71
47145007465,1136,316,768,1301,368,888,1374,403,932
47049002561,640,86,531,721,80,632,758,98,654
47107006053,2303,340,1909,2758,369,2341,2856,424,2403
47107006059,1000,125,851,1203,150,1035,1240,167,1063
47183009503,715,102,599,776,92,654,802,105,686
47183009507,1349,263,1060,1494,220,1231,1559,255,1279
47183009501,754,117,621,759,97,632,796,113,665
47183009504,1334,307,986,1447,258,1117,1505,299,1179
47183009509,1639,410,1154,1806,440,1315,1849,488,1317
47183009506,1535,246,1242,1667,208,1400,1737,254,1440
47183009508,1236,407,766,1391,456,884,1413,500,868
47051002655,383,96,280,427,88,330,457,87,364
47051002656,424,82,331,486,94,385,514,107,403
47129006654,1228,215,966,996,153,832,1041,159,865
47129006651,1218,180,982,1387,211,1155,1443,227,1194
47189009816,1101,212,847,1292,240,1023,1337,277,1044
47189009832,1620,373,1145,2821,842,1899,2863,932,1850
47189009833,1189,308,824,1706,439,1222,1744,494,1213
47189009803,2851,617,2130,3490,1035,2371,3557,1155,2330
47189009829,2124,529,1454,2798,796,1934,2866,877,1923
47189009822,2320,652,1505,3291,1086,2117,3335,1209,2041
47183009502,1368,203,1134,1577,201,1321,1632,226,1366
47183009510,766,338,388,776,304,445,804,341,441
47099005168,817,149,648,882,166,688,945,190,745
47143007358,800,186,572,1029,197,798,1086,238,824
47143007357,818,185,578,939,210,714,987,236,721
47143007361,471,95,358,516,88,416,567,94,463
47145007461,571,112,447,661,117,531,685,129,539
47145007474,261,31,221,305,36,259,312,33,269
47189009814,2420,650,1619,2769,859,1841,2829,951,1807
47189009819,2624,644,1853,3634,950,2580,3732,1062,2580
47189009820,1806,353,1382,2181,412,1721,2240,449,1740
47189009823,2262,615,1532,2603,690,1833,2668,752,1846
47189009811,1354,412,868,1618,326,1251,1686,357,1292
47189009826,976,445,476,1119,559,493,1172,618,507
47169008809,255,92,154,295,85,198,337,105,227
47129006652,715,61,641,878,67,801,891,73,808
47089004605,1229,336,816,1448,384,1028,1520,431,1068
47089004602,1774,456,1217,1933,475,1413,2015,539,1435
47145007456,2316,488,1728,2607,578,1961,2670,638,1962
47145007455,381,74,276,445,110,322,449,123,305
47089004609,1214,254,924,1494,310,1152,1557,341,1202
47089004611,899,146,727,1071,149,902,1141,176,956
47099005162,488,71,404,561,63,477,585,66,508
47099005161,844,124,693,1043,172,858,1099,176,906
47137007057,85,18,65,99,17,82,108,19,89
47005000203,972,228,725,1054,213,817,1106,257,844
47001000001,1500,227,1222,1823,268,1529,1879,307,1554
47001000018,823,365,412,922,421,482,945,474,457
47001000027,692,286,350,786,368,386,811,399,393
47001000007,537,85,438,622,99,512,643,120,515
47001000019,1129,247,824,1322,303,996,1400,343,1033
47001000011,1521,304,1149,1815,357,1428,1862,388,1445
47035001711,1087,201,849,1217,223,980,1276,244,1012
47081004209,1354,400,900,1492,361,1093,1582,407,1157
47081004207,348,58,271,401,77,314,408,82,321
47081004213,293,67,222,349,67,276,362,71,288
47105005452,1354,236,1070,1641,326,1274,1684,357,1291
47105005453,1645,388,1208,1872,442,1381,1952,504,1388
47105005456,1206,193,972,1552,257,1262,1592,278,1275
47107006052,1616,305,1261,2040,413,1587,2104,465,1613
47107006061,1092,184,864,1303,223,1055,1338,232,1092
47107006062,508,117,375,600,114,476,617,119,485
47107006064,1889,384,1447,2171,415,1707,2251,455,1751
47107006054,1307,335,920,1539,397,1106,1608,452,1135
47081004203,1084,204,832,1416,270,1102,1468,300,1144
47105005463,3196,594,2450,3919,766,3063,4020,912,3011
47107006051,1531,291,1197,1739,291,1420,1804,323,1464
47001000013,1747,784,849,1987,895,1061,2019,969,1006
47001000003,1930,424,1397,2243,526,1677,2297,567,1692
47001000005,1971,556,1330,2146,595,1513,2227,647,1548
47165008614,2253,468,1680,2976,609,2301,3137,705,2379
47105005460,2146,532,1510,2547,654,1812,2676,710,1886
47105005461,684,123,519,789,154,617,811,170,611
47031001505,964,217,723,1078,191,859,1107,206,879
47031001507,948,192,732,1105,183,888,1136,191,915
47031001506,764,153,586,981,169,776,1019,190,791
47031001504,1003,299,664,1198,319,842,1240,351,854
47031001514,1045,228,797,1238,230,987,1268,239,998
47031001502,522,142,351,682,163,481,713,177,502
47031001503,1109,266,791,1310,318,941,1347,346,953
47031001516,1431,366,983,1518,394,1097,1562,449,1062
47031001517,494,183,285,556,172,365,592,189,386
47081004208,392,91,277,433,100,322,448,110,330
47081004210,634,137,470,763,168,586,787,176,603
47165008633,3345,968,2197,3927,1311,2506,4090,1491,2523
47089004608,1816,315,1417,2119,340,1730,2226,411,1789
47001000009,2072,894,1034,2233,1031,1145,2285,1151,1077
47001000023,1015,434,496,1200,582,582,1230,606,592
47001000010,682,117,543,798,129,661,821,134,680
47001000026,1417,574,740,1572,679,860,1618,742,836
47001000021,891,521,324,1113,621,468,1153,660,460
47189009818,2324,489,1733,3039,646,2335,3117,729,2334
47165008624,1480,305,1119,1970,484,1464,2050,555,1467
47107006063,830,92,725,985,101,870,1003,107,890
47107006058,1119,171,925,1490,190,1272,1538,214,1302
47081004206,433,101,324,569,103,458,596,118,471
47081004204,886,250,616,1109,258,819,1152,297,844
47081004205,249,51,191,302,57,237,314,63,251
47081004214,244,45,186,308,45,257,317,52,259
47157008054,2259,449,1699,2439,564,1841,2485,649,1813
47157008149,1650,968,611,1715,989,652,1783,1103,645
47105005465,2042,574,1410,2491,669,1791,2517,789,1684
47177009209,837,272,527,856,232,599,941,285,645
47177009201,934,269,628,1041,296,702,1117,355,748
47177009203,616,118,479,739,158,572,775,170,595
47177009202,924,236,633,992,274,696,1045,306,725
47157008073,2275,516,1676,2752,680,2046,2784,810,1946
47157008271,2720,604,1981,3163,753,2371,3215,888,2280
47157008097,1704,432,1191,1857,552,1267,1898,620,1248
47115005753,387,107,265,465,97,356,488,99,375
47115005766,969,182,767,1083,189,869,1120,193,914
47159008308,1042,263,733,1140,222,879,1225,265,944
47159008307,771,183,567,890,160,705,974,197,761
47159008304,1110,246,832,1278,211,1027,1397,252,1125
47159008306,862,211,619,1012,194,788,1092,234,846
47005000204,1074,213,846,1143,198,920,1184,222,955
47005000206,1098,251,819,1268,228,1015,1319,262,1043
47153007859,505,109,380,585,106,458,625,122,492
47131006760,1380,155,1186,1471,141,1279,1557,171,1371
47031001511,1030,176,821,1258,194,1022,1284,221,1032
47053002751,2549,310,2174,3082,369,2660,3175,438,2691
47131006758,543,104,429,519,80,422,566,95,461
47003000101,1239,230,973,1491,260,1206,1562,306,1237
47003000105,1927,308,1582,2283,315,1927,2393,389,1984
47143007353,1252,268,945,1420,252,1143,1485,284,1186
47143007351,1139,213,867,1330,240,1059,1399,286,1097
47103000011,459,76,378,549,82,451,571,84,476
47103000007,1273,286,943,1403,326,1049,1461,367,1060
47103000008,731,110,605,857,99,736,896,107,771
47075003910,228,150,72,225,134,87,237,149,85
47177009206,922,259,623,928,241,650,1017,301,709
47165008608,2061,770,1179,2435,926,1419,2568,1063,1446
47165008613,1993,460,1453,2407,517,1820,2555,608,1883
47129006659,387,90,288,456,90,361,468,99,362
47175009106,262,54,194,304,45,251,318,50,265
47175009101,329,76,244,370,76,287,390,96,292
47053002765,515,58,441,540,52,473,561,66,490
47053002766,486,48,428,539,34,503,561,45,511
47089004601,1987,291,1625,2374,372,1952,2467,434,2004
47089004603,2702,386,2211,3199,465,2667,3350,549,2763
47089004604,2203,416,1703,2594,493,2054,2714,571,2109
47089004606,1979,373,1520,2369,424,1903,2485,479,1965
47139007151,739,158,557,895,173,703,918,184,722
47139007161,594,108,473,792,138,647,817,134,679
47003000104,1812,289,1472,2204,357,1811,2328,408,1892
47089004607,1560,288,1203,1859,334,1488,1944,386,1526
47189009808,779,205,515,908,178,711,937,191,729
47075003914,514,259,241,508,248,250,529,273,252
47035001721,844,110,710,1020,149,856,1072,167,897
47035001704,1632,346,1222,1972,394,1524,2096,461,1597
47035001706,473,72,384,497,56,432,550,75,472
47035001715,259,32,219,307,34,269,327,41,285
47035001714,1006,160,820,1224,206,996,1265,226,1028
47035001719,1325,209,1086,1466,237,1204,1549,269,1260
47127006554,480,102,359,562,105,445,580,118,453
47129006656,773,101,660,1004,104,879,1030,110,905
47035001708,2681,655,1978,3098,718,2352,3184,846,2312
47035001716,1196,200,963,1404,246,1135,1491,269,1204
47105005464,2541,682,1781,3138,837,2254,3191,983,2142
47105005458,2739,550,2083,3265,689,2509,3351,791,2495
47157008105,991,963,19,922,826,27,970,911,38
47105005462,2001,387,1541,2322,453,1818,2396,508,1827
47159008303,956,170,749,1077,158,889,1156,186,959
47159008305,682,235,425,752,193,523,823,239,572
47127006555,583,108,458,707,114,576,726,126,588
47115005754,2307,650,1573,2719,683,1973,2832,750,2046
47115005755,771,227,530,914,226,668,949,240,696
47103000017,445,58,378,516,66,438,541,78,449
47103000010,472,92,358,526,87,426,547,105,428
47103000013,1338,168,1137,1492,178,1282,1541,193,1323
47183009505,1488,379,1058,1600,410,1132,1638,439,1155
47157008221,1757,1306,403,2124,1637,445,2166,1704,437
47157008130,1629,1558,32,1530,1404,65,1581,1469,78
47157008269,3201,2966,196,3676,3328,268,3756,3452,265
47157008114,1293,881,327,1512,1119,360,1540,1196,317
47157008139,3148,1946,983,3805,2302,1434,3849,2524,1244
47157008056,2911,860,1914,3522,1197,2263,3580,1318,2201
47157008065,1744,496,1173,1850,575,1259,1880,629,1224
47157008074,2496,1479,948,3269,1937,1270,3316,2060,1217
47017000814,313,60,244,365,64,294,375,65,306
47157008141,2399,1174,1039,2847,1525,1245,2903,1662,1168
47157008251,2006,1773,200,2301,2025,232,2346,2101,220
47157008265,2504,2256,209,2677,2366,251,2761,2481,251
47157008117,1530,1299,145,1642,1401,179,1676,1472,177
47129006662,387,58,309,455,67,381,473,73,393
47139007152,723,152,550,831,133,688,849,151,687
47103000018,826,267,522,808,229,547,869,270,578
47147007567,1770,535,1160,2014,601,1362,2113,684,1403
47147007568,1205,926,254,1241,832,335,1351,998,319
47147007555,2302,475,1746,2607,523,2036,2747,607,2104
47147007554,2521,542,1872,3108,670,2380,3264,748,2474
47147007552,2508,489,1893,3074,673,2330,3209,784,2368
47147007564,2137,715,1338,2412,801,1547,2524,921,1564
47147007562,653,117,520,806,123,665,848,153,682
47147007565,2185,632,1443,2608,771,1779,2727,874,1821
47059003077,814,118,676,909,119,774,941,138,789
47059003052,2427,377,1984,2752,406,2290,2816,431,2329
47059003069,1608,296,1242,1755,343,1376,1801,361,1397
47059003063,1901,439,1373,2189,474,1674,2250,550,1654
47059003080,1135,170,933,1433,217,1183,1471,223,1218
47059003061,1330,451,806,1467,498,927,1512,530,937
47181009407,558,65,488,586,48,522,636,63,568
47125006469,2343,762,1485,2771,858,1848,2918,991,1863
47125006453,4324,947,3155,5294,1181,4000,5528,1386,4039
47125006474,1067,582,420,1117,589,482,1204,684,485
47125006465,2742,1189,1343,3501,1641,1714,3709,1839,1752
47171008907,598,115,454,698,135,551,725,147,571
47165008602,3272,807,2266,3653,940,2655,3804,1120,2621
47103000012,853,135,693,1014,158,835,1041,171,847
47115005756,180,48,125,194,45,149,203,47,149
47157008102,2558,1811,608,3344,2318,985,3421,2486,876
47157008087,2423,695,1592,2923,888,2004,2965,1049,1881
47157008111,1560,1490,44,1417,1258,80,1488,1387,70
47041002152,348,53,285,385,57,321,407,63,342
47017000806,308,89,210,300,78,217,306,80,219
47005000202,1054,247,782,1211,219,964,1258,256,991
47039002060,164,26,134,192,29,150,193,33,153
47039002059,349,42,301,399,37,351,417,42,356
47115005762,830,173,641,965,166,780,1016,168,837
47003000102,1063,213,794,1188,232,937,1234,264,950
47003000106,1634,271,1318,1782,261,1496,1862,310,1535
47059003054,943,124,798,1178,134,1014,1209,147,1047
47031001508,1133,187,885,1276,193,1050,1312,212,1081
47031001520,978,284,647,1110,326,756,1157,351,780
47031001521,1024,296,668,1175,331,809,1224,372,821
47031001518,890,233,614,1090,306,746,1118,349,738
47039002057,318,67,236,354,75,272,371,72,291
47059003053,674,98,561,800,103,683,825,113,690
47041002151,59,5,52,70,4,64,73,5,68
47041002159,254,48,196,318,54,257,342,66,268
47041002164,313,43,262,375,57,309,410,71,336
47043002252,703,167,508,937,229,678,970,235,707
47043002257,798,191,583,956,184,740,977,201,743
47157008201,2508,2437,48,2420,2237,87,2534,2411,94
47157008125,1335,1230,72,1306,1111,124,1353,1199,125
47157008096,4137,915,3064,5082,1273,3732,5180,1496,3620
