GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_gov,D_2018_gov,R_2018_gov
56005001-17,641,34,566,706,51,637,688,59,623,407,40,346,405,56,319
56005014-02,350,5,338,364,9,349,353,14,338,256,4,246,253,6,222
56005001-05,723,70,612,804,93,684,772,91,679,484,81,387,485,83,378
56005001-07,748,53,636,750,89,638,729,83,642,566,73,476,562,85,441
56005001-01,390,44,314,437,59,357,429,63,362,291,51,232,294,54,220
56005018-01,480,20,435,516,31,472,506,32,469,340,26,309,338,35,281
56005002-01,372,9,346,399,17,370,381,23,357,258,13,240,254,16,230
56005004-01,831,43,756,943,51,874,921,64,853,620,60,545,620,68,516
56045000201,185,6,160,160,7,151,154,18,134,137,10,118,139,14,107
56003000201,264,13,209,319,17,292,310,16,294,234,9,223,233,8,212
56003001601,270,38,208,283,56,219,279,50,228,235,42,189,236,35,182
56029002101,650,71,529,722,72,635,714,80,632,480,67,405,481,56,388
560350002-1,700,47,619,690,56,623,679,47,629,520,47,468,519,45,459
56005001-18,576,58,474,657,99,537,643,93,547,401,60,327,404,71,310
56005001-20,251,12,223,296,35,246,289,39,247,205,39,155,205,41,151
56033002-02,426,127,251,479,178,284,474,162,312,358,136,212,360,112,236
56033017-02,301,49,228,357,56,291,352,59,292,256,46,203,257,50,187
56033017-01,408,43,334,506,85,409,493,81,412,327,53,267,325,53,256
56025001302,78,2,72,74,1,72,73,4,69,52,3,48,51,4,40
56025000701,147,22,114,150,17,124,149,35,114,113,23,87,113,18,89
56025001104,122,5,109,123,7,113,120,10,108,93,11,80,95,12,78
56025001301,97,10,86,103,19,84,101,19,80,76,12,63,76,14,60
56025001103,285,49,217,279,54,219,276,57,217,208,37,167,211,34,171
56025000702,86,6,75,77,8,69,76,8,68,66,4,61,66,6,56
56041000201,850,86,656,913,104,780,897,113,782,657,92,553,652,104,507
5604102-1-2,8,0,8,11,1,10,11,1,10,8,0,8,8,1,7
56041000302,542,33,438,666,60,590,647,73,570,389,56,319,389,47,301
56041000301,874,100,679,927,84,807,918,93,823,588,111,465,587,110,441
56041000403,427,50,336,507,60,434,494,65,428,355,65,280,350,60,268
56041000401,467,55,359,546,65,467,530,69,460,379,71,300,379,65,287
56011002626,62,1,55,65,5,58,60,5,54,54,4,46,53,6,41
56011001212,355,22,319,411,28,378,411,21,388,286,21,257,283,18,248
56011002424,45,1,42,54,2,52,51,2,49,38,2,35,38,2,35
56011001616,332,6,312,359,10,343,353,14,336,269,15,244,270,20,238
56017000204,180,20,141,148,26,116,147,35,112,150,30,120,147,26,108
56017000303,913,111,725,966,139,806,947,162,784,830,123,694,831,132,653
56033020-01,464,63,362,552,99,437,541,96,443,447,86,357,446,76,356
56033002-01,532,91,397,591,130,437,576,124,451,381,108,261,385,94,280
5603302-01s,2,0,2,2,0,2,2,0,2,1,0,1,1,0,1
56033010-01,164,16,139,174,17,155,171,15,156,137,13,121,139,10,120
56033016-01,256,24,224,276,39,230,268,35,233,188,28,159,186,18,161
56043000301,490,51,387,499,61,415,489,71,417,417,65,340,412,62,332
56043000505,1103,141,884,1211,161,1033,1187,151,1032,944,147,773,949,139,770
56043000503,537,79,405,539,103,420,529,114,415,385,78,290,386,76,285
56003002001,1484,155,1114,1573,188,1346,1555,172,1376,1137,145,958,1140,135,924
56003002201,470,25,379,547,36,493,541,33,508,372,29,335,371,29,321
56033002-05,1114,284,734,1234,390,804,1216,330,881,979,307,653,988,236,729
56033005-01,167,30,125,164,33,125,162,36,126,116,29,85,118,23,89
56033006-01,640,107,488,686,132,533,677,118,557,527,123,397,529,91,421
56005001-12,773,70,646,761,108,627,734,107,621,487,91,378,483,98,360
56045000401,504,36,451,501,28,466,489,30,458,400,38,358,398,38,343
56025000106,1156,241,788,1285,348,873,1266,391,867,812,265,512,815,238,530
56025000501,53,12,37,69,15,53,64,15,49,53,15,38,53,15,38
56025001102,136,20,109,149,22,124,147,22,125,112,16,93,110,17,89
56025000103,775,248,429,831,344,448,821,357,459,611,301,293,607,259,322
56025000801,1262,214,927,1421,266,1091,1395,330,1054,841,225,582,839,194,586
56033004-03,790,156,538,873,193,637,853,188,659,567,167,385,562,157,386
56003000301,88,2,69,109,7,100,107,6,100,78,2,73,77,7,56
56011000202,554,50,469,614,58,542,595,58,534,457,62,379,459,66,375
56045000301,273,11,255,300,10,288,287,18,268,219,13,201,221,17,192
56045000101,647,47,574,651,53,588,635,65,570,509,64,428,516,74,401
56025001101,121,4,110,130,4,123,129,12,117,96,9,79,95,4,85
56025000105,547,200,287,579,274,274,564,268,292,442,225,207,446,198,229
56025000202,700,192,428,717,225,456,702,253,440,487,199,266,487,180,280
56011000707,195,13,172,206,19,183,202,15,186,157,13,135,151,18,121
56025000803,541,59,425,579,89,474,559,107,445,381,66,286,384,53,298
56045000501,468,46,386,480,70,390,468,71,397,359,51,292,361,60,255
56005006-01,247,13,219,277,17,256,273,18,253,200,14,181,203,23,168
56003001101,1073,185,779,1148,255,861,1121,249,871,907,216,664,907,200,658
560350004-1,339,58,257,427,89,328,411,84,327,246,54,186,249,51,192
560350002-2,370,29,324,391,39,345,385,39,344,270,34,230,268,30,227
560350001-1,956,225,625,1117,313,778,1095,287,805,788,230,536,787,201,561
560350005-1,201,43,145,221,52,165,212,45,167,177,42,130,176,42,129
56029001601,652,166,430,725,212,500,707,196,505,535,148,375,534,148,360
56029000401,1161,174,926,1288,234,1038,1266,218,1045,958,185,756,957,155,736
56025000208,1390,213,1048,1567,306,1212,1532,343,1184,975,252,691,972,211,702
56025000102,584,197,314,569,234,310,557,253,302,433,205,218,437,192,222
56025000306,823,160,594,841,228,582,827,196,625,681,179,481,680,163,500
56025000804,1026,118,836,1071,139,910,1052,168,880,774,150,603,773,129,601
56025000101,541,170,319,608,208,364,577,235,336,333,171,152,333,144,168
56025000401,920,153,663,931,208,682,906,259,638,535,158,340,535,135,357
56025000303,900,217,587,951,281,635,928,290,633,670,242,404,667,216,415
56027000401,102,2,98,98,3,94,97,3,94,93,3,86,94,3,77
56013000102,355,122,200,389,167,205,385,180,205,320,156,155,318,137,164
56029000202,867,165,612,918,227,656,895,198,693,642,187,438,644,143,470
56029001001,501,60,399,571,74,487,564,71,492,364,53,302,364,52,287
56029002301,274,30,223,337,35,300,328,32,296,237,37,191,235,31,181
56025000901,1123,154,896,1141,203,912,1112,213,896,898,218,661,893,170,672
56025000805,1157,93,953,1276,162,1074,1247,212,1030,743,123,588,743,116,575
56025000107,526,129,313,516,160,324,503,187,314,363,143,203,365,142,203
56027000601,345,34,291,338,34,289,333,42,290,291,39,243,293,40,232
56027000302,61,0,57,84,1,79,85,1,83,68,3,62,68,1,56
56025000112,340,88,207,392,115,253,383,120,263,254,94,153,255,88,157
56025001202,393,78,280,391,89,284,386,96,287,304,71,223,302,60,230
56025000308,1443,298,996,1505,404,1025,1469,429,1032,990,325,636,987,255,677
56025001401,25,0,25,23,1,22,23,1,22,24,2,22,24,2,22
56037001001,630,159,389,698,201,480,678,214,463,510,217,270,508,201,280
56037001005,1072,224,735,1028,260,726,1012,275,733,809,260,525,807,259,511
56037000502,1409,241,1011,1343,298,985,1315,292,1019,1075,318,715,1068,309,690
56037000503,1634,299,1194,1603,394,1169,1579,389,1186,1360,408,910,1348,381,908
56037000402,422,84,285,384,88,279,379,84,293,270,84,169,271,90,166
56037000403,330,60,244,276,69,194,269,65,203,231,56,161,231,62,150
56011002323,56,4,51,47,4,43,47,1,46,39,4,33,37,4,33
56011001313,255,8,231,252,15,234,246,17,224,177,16,155,179,19,143
56001000103,289,93,178,313,120,178,311,120,190,267,98,155,266,89,161
56001000312,1794,713,732,1919,967,819,1876,967,899,1447,809,578,1447,757,598
56001000301,78,40,27,84,51,32,85,51,34,64,43,21,62,40,22
56001000121,1703,469,1054,1967,588,1307,1943,596,1345,1486,514,931,1492,494,912
56001000515,1785,522,1003,1998,745,1157,1961,754,1199,1503,619,823,1497,596,810
56001000514,135,37,82,153,45,100,150,45,104,118,40,73,118,38,71
56001000602,1261,587,472,1315,734,503,1290,731,554,1015,617,362,1020,576,381
56001000314,570,301,189,581,359,196,582,360,220,468,317,139,462,298,148
56001000313,1171,622,353,1201,745,381,1177,759,412,968,665,265,968,618,293
56001000501,911,482,275,945,588,303,933,590,338,752,511,208,744,475,219
56001000112,20,5,15,26,9,17,28,9,19,20,6,14,20,6,14
56001000111,12,2,10,22,8,14,20,8,12,16,6,10,16,6,10
56001000113,28,6,22,35,7,28,36,7,29,26,7,19,26,7,19
56001000114,33,9,24,46,13,33,42,12,30,32,9,23,32,9,23
56011001111,221,13,200,244,21,218,245,25,220,191,23,164,192,19,163
56041000103,1083,213,719,1261,272,946,1220,275,944,775,203,540,770,194,519
56041000101,1639,306,1060,1752,433,1251,1711,420,1285,1207,350,812,1205,329,795
56041000402,585,47,445,626,77,524,602,78,523,413,74,322,414,76,304
56001000122,413,87,286,465,111,343,462,110,352,346,93,243,346,89,241
560210003-5,955,301,534,978,381,559,969,378,588,769,338,407,775,339,400
560210006-5,171,13,147,185,15,165,185,14,171,177,18,154,177,19,151
560210001-5,694,277,339,729,349,340,723,345,371,573,266,290,574,252,307
560210002-3,905,315,506,936,392,508,932,343,582,773,332,429,778,282,483
56021003-10,757,207,427,730,252,432,730,269,460,533,200,307,537,199,303
56001000516,461,250,137,482,308,155,476,308,167,377,261,102,382,250,113
56001000511,116,64,34,126,81,40,128,83,44,100,70,27,98,64,29
56001000512,593,316,163,623,394,186,606,400,204,498,340,133,501,316,142
560070003-1,496,135,288,485,160,309,473,157,315,362,123,227,361,130,213
560070013-1,223,41,161,230,46,176,226,44,182,178,49,123,179,38,132
5600713-1-0,34,6,27,37,7,30,37,7,30,30,8,22,30,6,24
56001000104,142,12,123,151,20,130,149,20,129,118,19,94,118,19,95
56029000907,812,169,544,972,219,707,951,217,730,631,161,445,631,158,430
56029000201,1025,146,801,1192,226,930,1155,198,952,802,164,625,802,146,617
56029002401,729,138,505,800,232,540,772,217,552,522,167,335,522,145,340
56029000302,1063,169,808,1234,244,953,1214,201,1008,894,167,704,888,136,694
56011000909,94,2,86,93,3,88,92,2,90,81,4,72,83,6,74
56013000201,281,44,212,282,56,218,280,58,221,232,65,164,232,58,159
56037002401,94,1,88,96,1,94,92,0,92,60,6,51,60,2,56
56029000601,502,46,409,574,67,494,558,63,493,402,49,343,403,52,333
56013001501,230,20,191,236,26,202,233,31,201,186,28,150,187,24,144
56037000505,452,65,345,357,80,266,350,86,262,253,81,162,253,85,153
56037000901,201,23,159,183,27,152,177,33,143,130,35,87,129,29,89
560390001-4,204,105,71,313,190,112,306,173,133,191,116,72,191,98,85
56019002-14,176,22,147,213,27,182,209,22,185,153,20,132,154,11,133
560090023-4,682,104,518,720,136,555,700,156,537,521,119,391,518,99,396
56029001002,790,111,588,926,127,769,912,113,797,645,112,515,646,106,507
560210006-2,802,89,640,832,104,694,829,135,693,620,118,486,622,101,482
560210001-3,780,317,355,889,415,435,884,424,452,591,313,255,588,295,264
560210005-2,1045,261,696,1092,330,723,1085,313,765,942,294,620,948,255,653
56015001501,137,13,119,144,14,127,144,21,122,120,17,99,119,18,96
56015001601,268,19,226,277,25,241,273,27,246,213,25,183,212,20,182
560210004-9,1132,257,748,1272,358,868,1264,384,870,792,256,498,789,222,518
560210003-8,747,226,417,808,293,478,804,299,504,545,219,307,543,198,311
560210001-2,807,325,394,908,395,458,906,433,470,564,309,232,563,294,242
56015001801,102,3,96,104,3,101,102,4,98,83,3,80,81,2,78
56015001802,204,11,182,208,11,196,208,12,194,141,10,128,143,10,121
56015000201,86,7,73,91,11,80,88,11,77,78,12,65,79,10,56
56015002001,36,2,33,29,5,24,28,2,26,30,1,27,30,1,27
56015001009,464,78,366,531,104,419,523,100,422,415,90,319,414,75,325
560210004-4,607,123,438,855,203,626,849,192,655,570,143,413,575,134,413
56021001-10,644,226,331,696,293,359,692,321,366,473,235,220,473,218,228
560210005-5,180,42,122,186,63,117,185,64,121,148,48,96,149,49,89
560210003-9,1302,371,765,1388,512,820,1375,495,869,964,366,566,967,358,568
560090009-1,650,83,505,645,90,531,632,121,507,483,110,364,477,89,365
56021003-12,678,201,399,697,244,427,695,243,449,519,212,290,522,179,311
560210002-7,1207,399,672,1222,493,678,1208,472,733,978,434,518,979,387,560
56029000803,145,12,126,148,18,124,146,21,125,106,15,88,107,9,88
560090008-8,275,17,244,317,22,287,312,35,276,213,17,190,216,17,185
56029000402,219,20,179,246,41,199,240,39,200,178,21,155,175,18,145
56001000614,471,212,183,545,298,219,542,298,243,394,230,154,392,216,159
56001000601,1194,542,471,1370,749,555,1356,750,605,994,578,388,993,551,403
56013000106,590,249,268,599,294,278,592,293,298,548,255,281,551,236,297
56013000104,476,177,233,515,234,254,506,228,277,420,198,213,420,185,225
56045000503,605,71,486,587,76,492,570,91,477,408,67,322,410,68,303
56005022-01,259,19,222,248,32,207,241,30,209,187,32,152,185,29,144
56005001-09,744,63,638,728,86,621,705,85,617,509,81,410,506,79,394
56025000201,837,215,539,913,272,601,893,296,594,611,237,345,609,206,367
560350001-3,971,135,748,1142,187,910,1108,185,920,755,155,578,751,146,574
560350004-2,268,44,205,284,52,227,280,55,225,213,36,171,214,25,174
56003000601,100,13,82,107,13,91,105,11,94,82,8,72,80,9,61
560350001-4,585,63,486,698,94,581,682,93,587,438,70,354,438,62,348
56025000802,300,48,238,243,46,191,240,52,187,233,48,170,234,44,173
56025000302,794,192,516,812,238,537,794,280,509,525,209,292,526,173,330
56027000701,147,8,137,144,8,131,144,11,133,134,8,121,133,13,114
56003002301,329,29,259,324,33,276,318,35,283,254,31,220,255,36,199
