GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_ag,Dem_2016_ag,Rep_2016_ag
490352552,555,416,123,669.6,508.3,135.2,668.6,478.5,136.6,684.1,502.5,82.3,645.6,411.2,138.8
490352556,626,449,158,632.0,478.0,142.0,620.0,458.0,130.0,629.0,480.0,80.0,609.0,419.0,133.0
490352561,42,21,21,38.9,28.0,10.0,38.1,26.9,9.1,39.2,28.9,5.6,37.5,24.4,9.9
490352566,332,212,110,426.0,241.6,174.8,417.9,220.8,167.7,430.1,240.6,93.2,401.7,192.5,171.7
490352567,397,255,131,520.2,335.9,175.9,509.3,302.4,179.3,524.4,327.6,96.3,502.6,281.5,177.6
490352570,608,465,132,608.1,438.0,156.0,594.9,420.1,141.9,612.8,451.1,87.4,586.5,380.6,154.1
490352572,289,184,102,346.3,214.5,122.7,342.8,199.7,117.9,351.5,211.9,60.5,334.1,181.0,117.0
490352573,374,238,133,449.7,278.5,159.3,445.2,259.3,153.1,456.5,275.1,78.5,433.9,235.0,152.0
490352580,604,431,163,614.8,446.3,150.3,604.9,423.5,149.5,617.8,437.9,91.1,592.0,386.3,139.7
490352582,375,270,94,416.7,280.6,122.1,412.4,265.0,123.9,420.7,275.8,78.0,400.3,237.7,117.8
490352584,655,402,237,460.8,269.3,181.8,451.8,245.2,176.4,465.0,266.8,97.4,436.8,217.2,179.5
490352586,459,292,157,479.3,312.9,149.9,466.7,296.4,140.6,485.2,308.3,96.4,456.8,249.5,140.0
490352588,483,264,208,491.7,308.2,165.0,489.0,289.7,169.6,498.3,303.6,108.9,471.2,255.4,163.0
490352590,459,298,156,512.8,328.9,167.7,493.6,286.8,170.0,512.2,320.6,78.0,489.5,280.5,158.5
490352596,412,261,142,383.9,225.9,144.3,375.9,211.4,139.3,385.3,231.6,80.1,370.2,186.9,145.8
490352602,515,330,174,468.0,282.9,174.3,459.2,265.7,158.0,471.4,307.9,63.4,447.8,248.0,165.7
490352604,505,265,226,427.4,213.5,205.6,417.9,196.7,194.8,433.4,245.6,89.2,413.2,181.2,200.2
490352606,493,320,164,562.0,329.0,221.3,552.7,315.9,201.7,567.5,366.6,94.0,540.2,283.8,217.5
490352608,529,296,229,578.0,316.0,255.0,567.0,303.0,245.0,571.0,337.0,151.0,565.0,285.0,259.0
490352614,622,333,283,678.0,355.0,317.5,661.2,343.1,290.5,667.4,391.1,186.9,659.2,301.1,307.1
490352626,410,246,154,363.4,220.7,134.0,354.3,203.7,124.8,368.5,228.1,72.0,346.9,190.4,130.3
490352628,555,282,266,482.0,230.0,243.5,477.8,230.9,227.5,478.6,257.9,147.1,477.8,208.9,241.8
490352630,704,391,297,708.0,384.0,303.0,695.0,359.0,293.0,714.0,423.0,130.0,681.0,315.0,312.0
490352632,528,324,187,508.0,309.8,189.1,498.8,289.3,182.2,509.5,320.4,91.9,494.3,273.3,183.0
490352634,564,391,158,589.6,358.5,217.9,575.9,332.0,205.0,596.0,370.5,114.1,565.8,311.2,211.7
490352640,690,457,225,593.0,383.0,199.0,591.0,352.0,196.0,602.0,387.0,89.0,575.0,333.0,187.0
490352646,532,365,156,574.0,368.0,189.0,561.0,332.0,177.0,581.0,387.0,97.0,555.0,320.0,164.0
490352652,608,359,235,656.0,400.0,247.0,653.0,354.0,254.0,671.0,413.0,124.0,633.0,327.0,247.0
490352654,632,376,238,605.0,360.0,225.0,591.0,341.0,205.0,612.0,379.0,131.0,590.0,307.0,226.0
490352660,460,257,191,462.6,244.6,203.3,452.0,215.7,204.5,461.4,256.4,94.3,445.5,202.7,207.4
490352664,505,237,255,470.3,240.3,216.6,459.5,218.3,210.8,471.8,257.4,98.5,453.6,200.4,216.9
490352668,452,235,208,502.1,237.1,254.1,490.5,231.0,231.7,509.8,267.3,111.2,485.9,200.8,245.6
490352670,340,229,101,226.4,150.8,69.2,226.0,146.4,69.2,233.6,150.0,43.8,218.4,136.1,65.3
490352671,244,178,54,342.6,228.2,104.8,342.0,221.6,104.8,353.4,227.0,66.2,330.6,205.9,98.7
490352674,585,385,193,588.0,391.0,185.0,574.0,362.0,184.0,597.0,421.0,111.0,573.0,333.0,194.0
490352686,593,271,310,602.7,222.4,375.3,568.7,204.3,349.3,594.7,271.4,187.1,588.7,213.3,351.3
490352694,612,384,217,581.3,319.1,240.5,566.5,297.1,231.5,585.9,333.8,121.5,554.6,262.7,240.6
490352696,41,13,26,59.9,31.8,25.7,58.2,29.6,24.7,60.5,33.8,12.5,57.0,26.3,25.7
490352702,456,297,148,428.8,255.0,153.2,423.9,245.8,146.2,438.0,240.9,111.0,416.3,216.6,139.7
