GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
05085038,44,18,25,39.4,11.8,25.6,38.7,16.6,20.1
05085039,61,19,41,62.6,8.9,50.6,60.9,15.5,43.7
05085040,57,18,38,65.2,4.3,58.6,64.2,13.8,48.0
05085042,303,77,221,298.4,65.4,215.1,290.5,94.2,187.4
05085043,275,70,200,210.2,58.2,141.1,203.3,83.9,111.5
05085044,300,192,97,237.0,177.0,47.0,223.0,160.0,60.0
05085045,97,62,31,157.0,68.0,84.0,153.0,79.0,70.0
05085046,71,13,56,59.0,16.0,41.0,58.0,21.0,35.0
05085047,35,7,27,35.0,10.0,23.0,31.0,9.0,21.0
05085048,235,74,157,236.2,61.3,169.8,228.1,76.1,143.1
05085049,44,14,29,35.6,3.4,31.6,35.7,11.1,23.8
05085050,84,22,61,104.4,21.3,78.7,103.2,29.9,73.1
05085051,87,37,47,104.6,68.1,33.6,99.8,75.4,21.9
05085052,156,70,82,107.5,85.2,17.0,100.7,78.8,20.4
05085053,213,95,112,165.5,95.7,61.5,162.4,107.9,50.5
05085054,445,199,235,476.0,161.0,302.4,469.7,219.7,237.4
05085055,448,87,352,789.8,119.3,620.1,766.2,159.1,565.7
050871,361,180,177,281.7,84.9,185.2,277.9,102.3,165.9
050872,248,101,132,252.5,67.4,169.6,256.4,91.2,154.0
050873,198,91,96,194.8,64.6,112.5,196.6,78.8,109.8
050874,131,65,60,113.0,35.0,69.8,111.7,46.7,59.6
050875,96,59,36,69.2,21.0,43.6,68.1,28.8,35.8
050876,111,30,79,107.1,27.4,72.8,107.0,37.0,64.3
050877,105,36,69,101.7,24.7,71.2,101.7,35.6,61.5
050878,202,45,150,178.1,20.0,150.9,178.1,29.3,145.6
050879,134,55,76,120.5,33.8,82.6,121.4,39.6,77.2
0508710,464,167,277,425.9,118.5,293.4,429.8,138.1,275.3
0508711,188,27,156,223.8,39.3,177.1,221.9,50.6,160.7
0508712,164,43,112,216.7,52.8,148.2,217.7,65.8,137.7
0508713,186,43,131,184.0,37.0,139.9,183.9,46.7,131.1
0508714,395,144,231,390.5,86.8,278.9,392.4,119.2,250.3
0508715,155,67,81,139.1,25.3,107.0,138.5,36.9,96.8
0508716,221,58,159,329.5,65.8,252.3,324.1,90.3,221.3
0508717,194,52,141,272.4,52.5,210.6,269.9,68.1,191.0
0508718,707,205,482,786.2,169.9,588.8,786.2,206.6,556.6
0508719,537,167,356,551.0,108.0,419.0,556.0,140.0,397.0
0508720,166,55,104,162.1,27.4,126.4,160.8,42.8,113.0
0508721,358,92,256,462.6,92.2,354.3,455.1,126.8,310.8
0508722,96,39,53,139.4,39.6,92.4,137.7,42.1,89.1
0508723,125,43,81,127.3,39.7,82.5,129.0,46.4,77.0
0508724,170,54,110,233.5,58.0,167.6,229.9,69.5,154.6
0508725,130,53,73,217.6,73.1,132.0,218.3,85.4,122.9
0508726,486,173,294,560.8,123.4,399.4,557.8,180.5,361.3
050891,111,29,78,75.0,15.3,55.7,73.3,14.6,54.9
050892,6,2,4,7.5,1.3,5.7,7.4,1.3,5.8
050893,143,52,83,117.7,19.5,92.2,113.4,17.8,89.3
050894,175,50,116,184.8,31.7,142.7,179.4,24.9,144.7
050895,83,24,54,69.0,12.0,52.0,67.0,7.0,55.0
050896,68,18,47,41.0,1.0,36.0,39.0,5.0,33.0
050897,351,128,210,327.8,88.8,224.7,323.6,77.9,231.4
050898,310,113,186,298.8,88.6,196.5,294.7,79.4,202.6
050899,162,59,97,151.1,40.9,103.6,149.2,35.9,106.7
0508910,157,57,94,146.3,39.6,100.3,144.5,34.8,103.3
0508911,48,20,27,30.9,9.1,21.8,30.4,9.9,19.7
0508912,95,38,55,73.4,18.7,52.0,72.1,17.8,50.2
0508913,416,109,292,281.7,48.3,215.8,277.2,47.9,219.4
0508914,113,28,81,132.3,31.1,96.4,131.5,30.3,90.0
0508915,253,98,144,196.0,33.7,152.7,191.6,29.6,153.2
0508916,589,172,394,463.7,84.7,355.8,457.7,79.9,343.6
0508917,285,114,163,217.5,53.6,155.6,213.5,51.0,150.9
0508918,121,44,70,97.2,17.8,74.6,94.5,16.7,72.2
0508919,116,36,75,105.3,16.5,82.8,101.9,14.5,81.8
0508920,331,96,231,503.0,71.2,412.1,493.1,68.2,391.8
0508921,54,14,38,34.3,8.1,25.0,34.0,7.9,23.2
0508922,129,54,72,83.2,24.5,58.7,81.8,26.6,53.1
0508923,173,69,99,157.6,52.9,95.9,152.8,48.1,95.7
0508924,76,19,54,88.0,17.9,66.3,85.9,17.5,62.9
0508925,644,297,338,454.9,106.5,337.5,449.9,101.6,321.2
0508926,96,28,63,91.1,22.0,64.4,89.2,18.3,65.4
0508927,164,51,107,150.5,23.5,118.3,145.7,20.8,117.0
0508928,42,12,28,57.2,11.0,44.8,54.5,6.1,47.6
0508929,226,87,129,176.5,30.8,137.5,172.8,27.2,138.4
0508930,232,72,149,310.3,59.1,232.8,305.4,52.6,232.9
0508931,176,54,114,169.0,32.0,126.0,164.0,30.0,123.0
0508932,217,67,140,289.5,57.6,213.5,286.0,51.8,217.5
0508933,333,83,237,399.1,69.5,310.5,390.9,68.5,301.9
0508934,348,95,242,702.7,106.1,564.7,689.3,107.7,542.5
0508935,102,30,68,135.6,28.5,99.7,131.5,22.8,103.6
0508936,97,29,65,129.4,27.2,95.1,125.4,21.7,98.8
0508937,120,36,80,158.0,33.2,116.1,153.1,26.5,120.6
05091001,432,175,251,468.6,170.9,288.1,459.0,154.7,289.7
05091002,423,51,362,464.2,35.9,416.3,452.0,41.1,395.9
05091003,847,134,692,833.2,106.1,705.2,807.8,106.7,672.8
05091004,955,334,609,946.1,335.4,574.3,916.6,320.6,562.5
05091005,164,115,48,112.5,66.1,41.5,108.6,58.2,43.4
05091006,1467,343,1111,1678.0,402.0,1219.0,1648.0,378.0,1227.0
05091007,855,125,715,609.5,43.7,549.4,591.3,63.7,510.3
05091008,318,44,274,403.4,45.7,349.6,389.2,50.1,327.3
05091009,169,30,138,762.5,54.2,687.7,747.2,61.0,663.4
05091010,1267,169,1068,1417.2,125.3,1251.6,1391.4,140.7,1215.5
05091011,296,151,140,297.6,150.4,135.7,280.5,136.1,133.7
05091012,1096,205,861,1349.1,184.5,1135.7,1299.7,194.6,1064.9
05091013,415,232,176,326.2,163.3,150.3,307.6,148.0,148.0
05091014,529,100,415,711.1,98.1,593.6,691.7,94.0,574.2
05091015,354,198,150,278.7,139.5,128.4,262.7,126.4,126.4
