GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres
2302914940,72,21,48,56,3,29,57,15,39,66,14,52,66,18,45
2302942100,488,186,250,409,24,160,407,211,179,568,178,369,569,218,338
2301507485,1835,944,769,1699,137,574,1698,908,709,2142,994,1032,2140,1289,810
2301541280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2302935905,325,120,177,256,20,124,255,119,128,347,89,239,348,125,213
2302928660,82,26,49,65,5,32,66,23,37,81,22,56,80,30,49
2300907975,635,409,190,577,68,144,573,369,175,698,348,278,692,455,220
2300926350,792,306,427,651,64,300,644,274,326,834,282,485,841,375,446
23011068385,2590,947,1414,2230,120,1057,2243,851,1269,2972,908,1896,2972,1197,1692
23011086165,1352,409,815,1114,74,594,1099,347,678,1444,364,974,1441,482,901
23027066565,836,373,391,742,82,261,743,372,320,940,333,526,943,435,482
23027052845,1010,533,409,921,85,305,920,523,360,1117,546,472,1117,677,409
23027039502,732,517,169,710,79,128,705,516,156,840,529,241,836,644,172
23027039501,715,499,162,690,76,126,679,497,149,813,513,232,810,624,164
2302941960,934,390,455,736,85,276,716,385,288,902,307,514,897,399,462
2302902480,689,265,373,511,33,225,525,218,283,668,169,467,675,242,422
23027035240,421,282,116,379,37,71,386,287,83,445,275,143,448,312,120
2301516235,1322,774,455,1205,131,295,1191,754,373,1495,810,603,1487,990,464
2302921730,784,411,310,681,73,191,679,414,226,843,370,419,841,479,340
23011059110,1651,582,938,1396,98,635,1390,548,762,1794,545,1159,1788,698,1036
23011086970,3610,1697,1605,2957,264,1036,2961,1504,1277,3780,1581,1963,3764,1984,1653
2301569645,338,102,197,273,22,124,270,107,144,360,108,223,359,132,214
2301585010,1400,610,688,1205,105,487,1200,560,575,1490,520,841,1488,695,755
2301501010,469,264,176,469,67,129,465,273,167,526,267,214,520,323,174
23027004125,559,227,282,468,47,192,459,210,214,597,184,368,602,262,320
2302535345,477,111,339,368,28,209,362,101,243,478,76,373,486,132,350
2301548645,1236,793,381,1157,135,305,1151,747,358,1379,773,502,1370,933,404
2300339300,793,328,411,628,40,233,629,219,339,766,227,513,769,328,424
2301752575,6,3,3,8,0,1,8,3,5,5,1,4,7,3,4
2300761840,721,288,384,620,62,250,619,257,331,758,218,513,759,296,448
2301758270,960,324,548,771,48,355,766,266,414,918,225,633,912,325,562
2301701325,529,196,280,433,27,184,431,165,229,536,192,300,539,224,293
2300311785,100,26,69,83,6,31,83,27,51,102,23,70,103,37,66
2300342520,2167,1188,847,1739,214,461,1696,969,611,2120,905,1106,2126,1155,942
2302919870,319,114,180,286,29,124,279,131,129,318,93,205,320,127,187
2301745285,1313,549,648,974,113,330,981,477,414,1271,461,727,1279,562,678
2301727505,116,42,62,103,10,42,102,40,50,123,45,71,124,49,66
2301780635,914,341,494,799,55,318,793,335,387,1040,371,620,1044,457,558
2301708150,854,369,429,718,85,265,704,337,322,960,391,522,963,473,467
2301778465,56,13,39,46,2,32,45,10,35,63,14,47,64,16,47
23031004860,10020,5551,3736,8167,1130,2189,8093,4588,3016,11139,5722,4520,11154,7097,3714
23031067475,1541,539,876,1264,105,586,1259,454,723,1791,524,1162,1798,712,1036
23031009410,4789,1911,2543,4112,329,1707,4099,1590,2336,5320,1958,3008,5310,2442,2692
23031014485,815,335,398,718,58,281,720,311,376,948,345,534,950,434,479
2301710005,510,153,242,432,28,206,419,136,220,541,128,380,547,156,375
2301754000,2592,1065,1316,2204,177,848,2183,958,1012,2880,1163,1519,2874,1415,1366
2301945005,740,195,509,561,26,320,554,181,336,728,144,550,734,191,530
2301957936,273,200,43,199,54,22,193,100,32,306,208,68,302,240,54
2301363590,3522,2041,1211,2994,460,769,3000,1907,944,3992,2054,1554,3997,2520,1366
2301923620,820,261,494,647,40,313,637,226,368,881,214,628,883,282,586
2301952710,226,73,143,208,3,117,208,72,126,285,73,201,285,92,188
23031039195,1623,647,845,1340,131,538,1341,549,692,1852,672,1026,1853,822,950
23031657251,3315,1463,1569,2330,263,818,2402,1136,1104,3370,1334,1816,3383,1686,1592
23031055085,5468,3003,2151,4692,541,1350,4677,2619,1771,6258,3120,2771,6263,3748,2374
