GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
49039EPH004,8,8,0,0,0,0,0,5,5,0,0,0,0,0,15,10,4,0,0,0,1,8,7,1,0,0,0,0,14,10,3,0,0,0,0,8,7,1,0,0,0,0
49039EPH3M0,1930,1717,93,25,15,50,41,1490,1330,60,21,12,43,33,2298,2141,88,15,30,8,22,1614,1512,56,4,26,1,8,2428,2280,78,4,0,44,19,1637,1537,47,1,0,40,5
49007CB022E,27,25,2,0,1,0,0,18,17,1,0,0,0,0,23,18,3,0,0,0,0,17,14,2,0,0,0,0,26,20,4,0,0,0,0,18,15,3,0,0,0,0
49007CB022W,841,769,53,4,12,6,0,574,535,30,0,10,1,0,811,634,161,6,11,1,0,539,475,59,2,1,0,0,844,742,92,6,9,1,0,614,565,49,1,1,0,0
49007CB022S,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
49007CB22SW,294,267,19,1,5,2,0,201,187,10,0,4,1,0,313,261,52,0,0,0,0,234,210,25,0,0,0,0,332,266,66,0,0,0,0,235,203,34,0,0,0,1
49007CB0340,1222,1051,122,14,20,15,2,841,737,77,5,11,10,1,1188,1034,129,0,16,8,0,752,645,85,1,16,7,0,1252,1099,132,0,5,16,1,790,696,69,1,3,15,1
49007CB0190,1729,1469,186,20,44,14,4,1221,1078,97,8,30,8,2,1568,1235,311,11,25,4,0,1049,927,113,3,3,0,0,1628,1436,179,7,18,2,0,1192,1091,97,3,3,0,0
49049OR0041,1469,1129,253,8,32,36,34,1001,796,151,5,20,21,22,1513,1191,219,30,25,26,20,1049,866,102,19,27,15,19,1441,1190,179,18,17,19,18,1144,980,102,19,15,12,19
49049LE0003,2182,2031,85,8,15,37,16,1327,1262,35,3,9,16,5,2147,1955,146,26,2,26,6,1435,1330,79,11,1,10,0,2133,1876,192,48,4,19,8,1391,1272,80,24,1,12,0
49049SF07IB,25,19,4,1,1,1,1,22,17,4,1,1,1,1,35,28,4,1,1,2,0,26,23,2,0,1,1,0,36,29,3,0,1,2,0,27,23,2,0,1,1,0
49049SF007S,740,574,122,12,14,12,19,650,492,116,12,13,12,17,1022,819,111,11,15,67,6,781,692,52,0,14,14,5,1047,860,102,5,24,54,7,795,690,62,0,20,15,7
49039MANU0E,35,31,2,0,0,1,0,20,19,1,0,0,0,0,58,54,1,1,0,0,1,39,38,0,0,0,0,0,58,53,1,1,0,1,1,43,40,0,0,0,0,0
49057OGD011,1451,1162,201,42,18,31,7,1116,933,125,27,11,19,5,1431,1092,246,17,24,48,19,952,818,97,4,10,6,0,1636,1236,314,12,31,38,5,1131,965,132,2,20,3,0
49057OGD010,2019,1313,584,64,61,8,6,1412,997,347,33,38,4,2,1272,1093,175,76,2,2,2,1056,951,100,0,0,1,0,1921,1343,571,71,2,2,1,1375,1177,202,0,0,0,0
49057OGD007,1266,949,248,25,24,26,4,916,731,141,15,15,15,2,1496,1011,416,3,13,43,6,1030,841,160,0,0,16,0,1618,1045,448,3,10,40,3,1105,920,173,0,0,14,0
49057OGD027,2745,1268,1230,160,112,41,18,2030,1073,769,107,77,31,10,3129,1794,936,191,140,94,41,2207,1507,390,139,108,34,29,3379,1813,979,367,145,111,53,2428,1551,435,252,100,51,37
49057OGD021,2038,939,914,101,65,53,22,1458,786,533,67,47,35,15,2109,1100,772,120,113,76,17,1444,940,357,66,64,22,3,2160,1150,688,214,128,55,37,1515,991,304,122,64,21,14
49057OGD031,3144,1026,1825,211,123,74,15,2242,872,1152,147,78,54,9,3034,924,1780,183,134,45,6,1668,803,634,147,58,25,5,3181,882,1966,233,125,30,7,1748,728,776,178,46,15,5
49011WP0020,1361,1229,70,25,20,29,3,863,782,38,15,14,20,1,1695,1426,170,27,34,56,12,1052,882,104,19,4,39,3,1727,1519,106,38,7,54,15,1071,937,58,31,4,42,1
49011WP007I,230,210,9,3,2,4,1,143,132,7,1,1,1,0,288,202,66,0,5,9,9,177,140,30,0,0,3,1,314,249,45,0,1,15,7,199,161,27,0,0,9,1
49011KA020I,681,638,26,5,4,7,2,356,337,12,2,2,4,0,811,767,34,8,13,2,1,480,457,18,2,0,2,1,827,771,44,8,14,10,2,501,465,29,2,0,1,1
49011KA0160,1251,1172,49,9,7,16,4,651,614,21,4,4,7,3,1660,1544,88,14,28,9,0,975,907,52,7,6,5,0,1676,1532,105,18,32,28,0,1023,922,75,13,8,6,0
49011KA017I,1151,1087,35,9,4,14,1,604,579,16,0,0,5,0,1329,1252,65,10,27,2,1,780,734,38,3,0,1,1,1312,1216,81,10,33,22,1,804,733,62,5,1,2,1
49011FH0030,1435,1323,53,12,3,45,15,902,848,24,4,2,25,3,1575,1501,21,0,0,26,28,1041,1012,9,0,0,3,13,1584,1543,29,1,0,14,7,1057,1040,16,1,0,0,0
49011FH0050,882,820,33,6,7,10,4,619,584,22,0,4,7,2,1440,1337,54,0,14,9,40,1035,980,35,0,0,0,0,1662,1540,54,0,35,10,39,1109,1035,35,0,20,0,0
49011SY0190,905,796,50,15,3,36,4,501,443,28,3,2,20,3,1248,1050,110,30,44,0,28,693,621,15,9,19,0,24,1325,1110,120,52,33,0,25,729,635,35,27,12,0,21
49011SY0040,2232,1971,150,19,21,57,22,1395,1233,93,7,19,35,12,2182,1797,233,42,66,46,17,1485,1243,127,17,59,37,1,2395,2047,254,39,14,45,14,1621,1420,144,13,8,37,1
49011SY0050,1411,1249,88,17,7,46,6,813,731,45,6,4,29,2,1572,1362,115,39,30,26,12,1022,904,57,13,21,19,7,1644,1403,127,49,12,53,10,1067,934,65,21,5,38,7
49011BO0160,1289,1206,51,7,1,14,13,889,839,30,2,1,12,8,1271,1062,123,23,41,27,0,819,678,95,12,19,15,0,1348,1159,116,15,42,18,0,899,744,111,8,19,17,0
49011CF0010,1524,1137,234,55,31,76,15,1073,855,126,28,17,45,8,1469,1118,226,66,33,8,13,1198,935,219,10,25,6,3,1389,1053,219,47,45,8,16,1194,937,186,26,40,6,3
49011CF0170,1709,1188,341,89,26,69,32,1097,814,186,37,17,41,17,1942,1404,335,96,40,7,67,1157,828,150,89,31,0,58,2149,1194,476,262,34,68,159,1261,775,189,154,27,9,86
49011LA0130,1589,1122,328,62,31,74,14,1147,837,199,38,22,51,10,1510,1152,216,30,0,30,28,1087,868,139,30,0,28,21,1778,1299,337,34,0,39,39,1265,959,208,28,0,32,37
49011BO0170,1178,1101,37,2,3,28,4,850,806,18,0,2,18,2,1195,1111,55,0,7,20,0,814,770,34,0,0,7,0,1160,1079,42,4,10,27,0,801,764,25,0,0,5,0
49011BO0110,1265,1179,38,3,2,27,10,905,854,23,2,1,17,6,1320,1207,63,0,22,27,0,899,824,40,0,15,21,0,1299,1181,49,0,25,28,16,913,821,31,0,20,25,14
49011BO0040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,9,8,0,0,0,0,0,12,11,0,0,0,0,0,8,8,0,0,0,0,0
49011WB0010,1192,1094,57,9,9,18,8,784,717,41,4,5,7,7,1575,1379,89,23,0,60,25,1190,1053,59,13,0,46,21,1459,1305,32,23,0,80,21,1104,997,15,9,0,63,15
49011WB0030,1565,1440,69,9,17,20,24,1074,994,50,6,14,9,14,1862,1634,90,36,0,88,35,1398,1241,62,7,0,73,15,1919,1460,207,31,0,78,156,1333,1100,46,7,0,60,117
49011WP0080,1072,952,69,13,11,40,4,706,636,41,7,6,22,1,1313,1031,219,0,12,36,29,805,675,104,0,0,17,6,1365,1150,148,0,6,50,21,863,730,94,0,0,31,4
49011BO004I,1148,1091,17,19,8,16,2,789,757,12,5,4,10,1,1200,1115,53,0,27,4,0,818,766,21,0,27,4,0,1125,1071,20,0,27,5,2,736,696,11,0,28,4,2
49011BO0050,902,836,31,6,1,17,7,615,577,22,2,1,9,4,877,877,0,0,0,0,0,630,630,0,0,0,0,0,929,906,0,0,0,10,13,625,605,0,0,0,10,15
49011FA0070,1176,1116,13,11,7,23,6,767,731,9,2,6,16,3,1199,1158,19,25,0,0,0,752,733,5,14,0,0,0,1266,1219,24,28,0,0,0,774,757,7,12,0,0,0
49011NS0110,1091,981,24,11,3,65,5,630,563,17,4,3,42,2,1076,974,53,0,5,38,11,712,650,35,0,0,17,10,1147,1027,64,5,11,39,10,701,631,40,0,3,14,6
49011NS0050,873,786,21,10,3,51,5,527,473,14,4,2,32,2,880,798,43,0,4,31,8,583,531,28,0,0,16,7,927,833,49,4,8,34,7,573,517,34,0,4,14,5
49011BO030U,2,2,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0
49011CE0060,1394,1263,77,17,8,25,6,973,898,46,9,6,15,3,1962,1720,148,52,0,41,0,1299,1154,78,33,0,41,0,1943,1718,144,44,0,36,0,1271,1139,69,25,0,36,0
49011CE0070,1549,1472,42,6,2,21,8,1057,1016,20,3,0,14,3,1827,1494,119,13,0,14,187,1174,1011,57,8,0,9,90,1688,1396,108,17,0,14,154,1101,970,48,6,0,9,71
49011FH0010,446,417,18,3,4,6,2,314,297,12,0,2,4,0,511,472,9,0,11,17,0,358,327,8,0,7,17,0,501,472,4,0,3,18,0,338,313,4,0,3,18,0
49055LO02I0,575,535,24,1,3,10,1,355,340,15,0,1,3,0,692,647,28,3,7,5,3,446,427,3,0,3,7,0,583,560,12,1,7,3,10,398,386,0,0,0,3,0
49055LO02UW,93,89,3,1,1,1,1,57,54,2,0,1,1,0,110,104,4,1,1,1,1,73,72,1,1,1,1,1,95,88,1,1,1,1,1,64,62,1,1,1,1,1
49013AL011S,208,193,8,1,7,0,0,136,124,5,0,5,0,0,211,198,10,0,5,0,0,148,142,3,0,3,0,0,194,185,6,0,4,0,0,134,130,1,0,2,0,0
49007CB003E,5,5,0,0,0,0,0,5,5,0,0,0,0,0,5,5,0,0,0,0,0,4,4,0,0,0,0,0,5,4,0,0,0,0,0,4,4,0,0,0,0,0
49007CB003W,12,12,0,0,0,0,0,9,9,0,0,0,0,0,12,12,0,0,0,0,0,8,7,0,0,0,0,0,12,12,0,0,0,0,0,8,8,0,0,0,0,0
49007CB0270,471,430,26,0,10,2,2,359,329,19,0,7,1,2,474,428,32,10,0,3,3,316,286,23,0,0,3,4,465,417,37,9,0,0,3,316,294,18,1,0,1,3
4901501226C,990,745,221,5,13,7,0,685,542,133,0,7,4,0,836,598,236,0,0,0,0,546,499,53,0,0,0,0,833,618,217,0,0,0,0,533,481,53,0,0,0,0
4901500818S,266,260,3,0,0,0,3,178,173,2,0,0,0,3,269,236,11,5,22,0,0,178,162,5,0,10,0,0,275,236,19,4,21,0,0,180,164,3,0,13,0,0
4901500818N,52,52,0,0,0,0,0,39,39,0,0,0,0,0,43,38,2,0,0,1,0,31,30,0,0,0,0,0,45,40,3,0,0,1,0,31,30,0,0,0,0,0
