GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_adjtot,Wh_2020_adjtot,His_2020_adjtot,BlC_2020_adjtot,NatC_2020_adjtot,AsnC_2020_adjtot,PacC_2020_adjtot,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
42129000480,640,632,4,2,2,0,0,507,502,3,0,2,0,0,547,527,14,3,8,3,0,445,430,5,0,5,2,0,561,540,12,0,2,1,0,446,439,5,0,2,2,0,640,613,13,2,6,2,0,498,478,6,0,4,3,0,626,586,5,7,17,1,0,518,484,4,4,16,1,0,627,587,5,7,17,1,0,518,484,4,4,1,4,0,1,20
42021000025,1488,1466,4,7,3,7,0,1193,1183,4,2,1,4,0,1384,1379,5,1,0,0,0,1081,1077,4,4,0,0,0,1195,1189,6,1,0,0,0,1002,997,4,4,0,0,0,1421,1415,4,3,0,0,0,1200,1208,3,5,0,0,0,1480,1408,19,14,24,6,0,1175,1128,13,8,14,3,0,1480,1408,19,14,24,6,0,1175,1128,13,4,2,2,0,1,25
42125001020,762,727,9,20,4,1,1,592,576,4,7,3,1,1,781,774,1,0,0,1,4,633,632,0,0,0,1,0,774,765,1,0,0,1,5,619,616,0,0,0,1,0,754,740,0,0,5,0,11,557,542,0,0,7,0,0,774,713,18,14,20,2,0,600,557,16,4,14,2,0,775,714,18,14,20,2,0,600,557,16,2,0,0,0,0,25
42125002000,407,401,0,1,1,3,0,313,307,0,1,1,3,0,423,423,0,0,0,0,0,355,355,0,0,0,0,0,380,380,0,0,0,0,0,310,310,0,0,0,0,0,319,319,0,0,1,0,0,260,255,0,0,1,0,0,346,319,4,4,11,1,0,274,256,3,4,4,0,0,346,319,4,4,11,1,0,274,256,3,1,0,1,0,3,10
42091001981,1493,1407,14,26,7,42,0,1430,1363,13,21,7,29,0,1418,1305,0,74,29,22,0,1376,1292,0,40,15,20,0,1394,1355,0,0,13,26,0,1376,1336,0,0,15,25,0,1304,1180,17,38,8,60,0,1355,1343,19,18,6,17,0,1476,1351,37,28,9,49,1,1424,1326,29,18,7,42,1,1476,1351,37,28,9,49,1,1424,1326,29,15,39,0,0,0,15
42091001135,1205,1077,14,22,3,87,0,928,837,9,16,3,62,0,1291,1123,28,84,84,132,0,973,863,27,10,3,36,0,1259,997,33,106,82,194,0,945,766,31,35,3,79,0,1118,943,117,30,5,30,0,839,709,128,20,0,13,0,1308,1107,42,40,4,109,1,1033,889,28,25,4,83,1,1308,1107,42,40,4,109,1,1033,889,28,19,79,0,0,2,16
42091001450,949,788,33,47,1,84,1,686,593,19,27,1,48,1,775,605,17,46,0,115,0,568,492,8,21,0,46,0,794,603,0,27,0,164,0,559,492,0,12,0,54,0,864,610,0,100,0,154,0,561,455,0,47,0,63,0,1033,749,49,58,6,175,0,730,552,24,39,5,111,0,1033,749,49,58,6,175,0,730,552,24,29,102,0,0,7,16
42091000430,1462,941,207,246,18,66,1,1162,788,146,166,12,55,1,1513,841,420,61,0,190,0,888,657,53,44,0,133,0,1227,779,354,37,0,55,0,766,647,70,38,0,11,0,1370,923,318,67,0,80,0,835,648,73,50,0,16,0,1715,1020,310,275,41,98,3,1317,849,215,160,24,83,3,1718,1020,311,277,41,98,3,1317,849,215,142,75,1,3,6,26
42091003400,969,865,47,33,3,21,0,770,698,35,16,3,18,0,1032,750,69,82,0,153,0,695,563,11,29,0,91,0,937,652,91,64,0,149,0,696,556,22,38,0,77,0,817,602,60,53,0,119,0,593,498,21,30,0,38,0,966,727,105,80,19,37,1,748,577,76,50,19,29,1,968,729,105,81,19,37,1,748,577,76,42,26,0,0,5,22
42091001845,2712,2221,44,75,12,364,0,1962,1660,30,48,6,218,0,2734,2375,0,57,0,302,0,2080,1805,0,60,0,215,0,2385,1947,0,85,49,352,0,1785,1465,0,35,0,240,0,2654,2136,24,51,38,442,0,1944,1665,6,0,0,263,0,2634,2137,66,52,14,350,6,2014,1658,41,40,10,254,5,2636,2138,66,59,14,357,6,2014,1658,41,30,250,0,4,0,31
42091003720,2052,1673,34,168,2,173,2,1484,1208,27,120,2,126,2,2078,1768,47,124,1,162,0,1468,1272,12,82,1,98,0,1994,1679,48,130,1,160,0,1438,1228,14,85,1,105,0,1985,1576,63,148,0,196,0,1411,1180,47,118,0,68,0,2104,1659,69,161,8,214,2,1582,1257,51,111,7,154,0,2104,1659,69,161,8,214,2,1582,1257,51,95,138,0,0,8,33
42091002820,1255,824,40,328,9,67,0,1064,715,30,272,8,50,0,1421,839,36,450,9,80,26,1202,760,20,389,8,25,0,1461,860,45,498,15,63,0,1194,744,25,392,0,20,0,1380,734,45,552,16,64,0,1116,670,25,376,0,14,0,1273,786,39,358,12,83,5,1057,651,30,311,11,62,3,1274,787,39,359,12,83,5,1057,651,30,292,56,1,1,2,24
42129002880,1314,1290,6,7,3,8,0,1057,1039,6,5,3,4,0,1299,1256,2,0,0,37,0,1030,1028,2,0,0,0,0,1351,1288,36,0,3,28,0,1096,1062,37,0,0,0,0,1318,1241,35,4,2,35,0,1069,1040,28,0,1,0,0,1271,1192,15,31,15,6,0,1071,1022,7,16,5,6,0,1271,1192,15,31,15,6,0,1071,1022,7,10,5,0,0,8,19
42129001920,294,292,0,2,0,0,0,238,236,0,2,0,0,0,266,260,5,0,0,0,0,227,221,4,0,0,0,0,229,220,6,1,0,0,0,194,185,3,1,0,0,0,241,232,5,3,0,0,0,192,186,3,4,0,0,0,286,262,7,8,7,1,0,211,199,3,4,3,1,0,286,262,7,8,7,1,0,211,199,3,4,0,0,0,0,5
42129000630,902,846,12,39,4,1,0,723,686,9,24,3,0,0,899,777,0,90,3,27,0,724,632,0,63,3,23,0,879,793,5,58,3,20,0,706,636,5,49,3,16,0,740,675,4,48,2,10,0,596,533,4,41,0,3,0,850,753,20,47,15,9,0,705,633,14,32,12,8,0,852,755,20,47,15,9,0,705,633,14,18,6,0,0,1,33
42041000233,1608,1489,21,22,10,64,1,1309,1231,7,15,7,47,1,1948,1619,43,116,0,193,0,1551,1278,41,62,0,172,0,1845,1653,0,45,0,147,0,1543,1363,0,46,0,134,0,1768,1517,0,44,0,206,0,1437,1222,0,38,0,174,0,1793,1527,63,41,16,125,8,1380,1224,33,19,15,80,7,1794,1528,63,44,16,125,8,1380,1224,33,7,69,0,2,5,40
42107001772,1376,1343,19,3,0,10,0,1095,1078,9,2,0,5,0,1069,1052,8,10,5,0,0,856,840,8,7,3,0,0,1032,1011,9,12,6,0,0,840,818,8,11,3,0,0,1308,1295,0,11,6,0,0,1031,1023,0,8,4,0,0,1417,1374,17,5,13,7,0,1167,1139,13,2,8,5,0,1418,1375,17,5,13,7,0,1167,1139,13,2,5,0,0,0,8
42063000400,1031,1010,5,11,4,2,2,847,835,4,2,3,2,0,1103,1071,3,19,0,9,0,880,875,4,0,0,4,0,1003,976,2,20,0,0,0,825,810,4,15,0,0,0,929,874,0,6,0,0,0,761,755,0,2,0,0,0,1089,1031,12,23,7,2,1,848,819,4,9,7,0,1,1091,1033,12,23,7,2,1,848,819,4,3,0,0,0,2,20
42063000020,817,797,2,7,1,9,0,652,641,2,3,1,4,0,738,733,0,0,3,0,0,617,616,0,0,3,0,0,692,688,0,0,3,0,0,579,576,0,0,3,0,0,654,643,0,0,7,0,0,578,563,0,1,21,0,0,744,697,7,11,11,9,1,617,578,3,7,11,8,1,744,697,7,11,11,9,1,617,578,3,4,6,4,0,3,19
42093000010,1501,1484,1,9,6,4,0,1096,1088,0,4,3,1,0,1438,1414,0,18,6,0,0,1060,1050,0,8,4,0,0,1409,1388,0,20,1,0,0,1030,1015,0,19,4,0,0,1380,1333,0,15,32,0,0,999,968,0,0,29,0,0,1452,1404,18,11,10,9,4,1069,1035,13,9,5,8,4,1454,1406,18,11,10,9,4,1069,1035,13,3,6,0,0,0,12
42095000332,1529,1302,96,44,11,79,0,1243,1083,65,34,8,56,0,1468,1244,125,55,7,47,0,1191,1042,92,20,7,29,0,1478,1181,150,81,7,56,0,1204,1027,116,27,7,30,0,1311,1015,159,67,6,66,0,1103,936,115,8,2,27,0,1507,1195,144,100,17,49,2,1256,1036,101,68,12,30,1,1508,1196,144,100,17,49,2,1256,1036,101,54,25,1,0,10,29
42049001380,3140,3008,29,36,2,65,0,2502,2433,10,24,2,32,0,3561,3380,36,84,17,17,27,2955,2834,20,60,15,5,13,3611,3442,34,91,0,18,31,2954,2845,24,62,0,5,13,3766,3536,84,94,1,24,30,3045,2866,56,43,0,10,12,3809,3505,62,50,34,101,3,3037,2839,33,24,20,72,1,3814,3510,62,50,34,104,3,3037,2839,33,19,67,0,0,2,77
42125001450,1607,1542,16,14,3,32,0,1193,1156,10,5,3,21,0,1715,1555,10,11,0,142,0,1271,1239,0,0,0,32,0,1602,1507,6,9,0,85,0,1253,1221,2,3,0,28,0,1672,1584,3,5,22,61,0,1285,1249,1,5,22,14,0,1556,1465,31,17,1,29,0,1225,1160,25,5,0,24,0,1557,1466,31,17,1,29,0,1225,1160,25,5,21,0,0,0,14
42095000130,3240,747,2193,445,44,20,5,2232,659,1379,258,28,16,3,3304,513,2310,657,72,79,0,2054,466,1297,239,43,43,0,3215,525,2213,659,83,26,0,2166,487,1355,275,80,19,0,3387,547,2171,746,101,34,0,2155,473,1190,423,100,25,0,3149,586,2063,597,100,95,11,2267,525,1396,367,66,79,11,3160,586,2072,597,100,95,11,2267,525,1396,233,73,4,0,7,29
42049001470,1517,1483,13,9,8,4,1,1156,1134,7,4,6,4,1,1330,1241,78,11,6,2,0,1080,1035,35,0,8,0,0,1316,1221,77,16,7,3,0,1055,1010,35,4,8,0,0,1273,1130,103,16,4,0,0,1033,971,52,10,8,0,0,1476,1374,29,21,33,13,1,1141,1068,19,13,28,3,0,1476,1374,29,21,33,13,1,1141,1068,19,4,2,4,0,1,43
42015000150,1196,1143,12,24,13,5,2,906,868,9,15,11,2,2,990,984,0,3,3,3,0,800,795,0,0,6,3,0,1076,1059,0,11,3,2,0,810,805,0,0,6,3,0,1096,1047,0,7,7,33,0,840,823,0,0,2,9,0,1167,1095,16,6,33,11,2,864,823,7,2,24,4,1,1169,1096,16,7,33,11,2,864,823,7,1,1,3,1,0,28
42109000090,1382,1348,12,8,9,7,0,1022,1005,7,3,5,2,0,1610,1526,56,28,0,1,0,1115,1090,25,0,0,0,0,1598,1567,31,0,0,0,0,1130,1120,10,0,0,0,0,1630,1600,29,1,0,0,0,1164,1148,17,4,0,0,0,1587,1490,32,24,25,10,1,1160,1107,20,15,13,6,1,1589,1491,33,24,25,10,1,1160,1107,20,10,3,0,0,2,18
42013000810,760,739,0,12,6,5,3,573,561,0,6,4,2,3,756,706,12,17,1,16,0,521,493,7,13,1,6,0,709,681,11,3,1,17,0,506,493,7,0,1,8,0,657,600,36,2,1,20,0,475,430,45,0,0,10,0,600,564,10,10,3,9,1,456,439,5,2,2,3,0,601,565,10,10,3,9,1,456,439,5,0,2,0,0,0,10
42049000910,3104,3006,22,37,14,30,1,2337,2286,10,19,11,13,1,3003,2574,305,72,16,47,0,2240,2140,80,15,0,0,0,2975,2520,353,88,0,22,0,2225,2085,120,15,0,0,0,2950,2509,303,146,0,0,0,2215,2029,114,72,0,0,0,2993,2800,44,59,57,25,6,2357,2238,20,25,40,18,6,2999,2806,44,59,57,25,6,2357,2238,20,6,8,5,0,0,80
