GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
271350105,151.0,36.0,108.0,114.0,26.0,84.0,115.0,38.0,75.0,115.0,25.0,87.0,152,74,75
271350075,68.0,17.0,48.0,59.0,18.0,40.0,62.0,23.0,38.0,61.0,18.0,42.0,72,18,52
271350080,326.2,83.8,222.7,263.1,71.0,188.2,269.0,100.5,164.6,269.1,80.8,187.3,293,120,166
271350175,325.6,67.6,238.9,268.2,65.4,194.8,274.2,92.6,173.7,271.3,59.6,203.7,342,115,217
271350155,1322.2,380.7,860.3,1050.6,355.6,653.9,1074.7,492.9,552.7,1069.6,372.6,666.0,1326,578,734
271350121,65.0,8.0,56.0,59.0,16.0,41.0,61.0,21.0,38.0,62.0,12.0,49.0,83,29,53
271350083,8.0,2.0,6.0,10.0,4.0,5.0,10.0,4.0,6.0,10.0,2.0,8.0,11,9,2
271350090,280.0,58.0,201.0,210.0,45.0,156.0,212.0,61.0,144.0,210.0,51.0,155.0,269,114,148
271350095,30.0,5.0,22.0,24.0,4.0,19.0,24.0,11.0,12.0,24.0,6.0,16.0,27,4,20
271350100,250.0,79.0,153.0,203.0,65.0,130.0,208.0,85.0,117.0,209.0,78.0,127.0,242,104,133
271350110,69.0,12.0,52.0,67.0,15.0,51.0,69.0,25.0,44.0,68.0,11.0,55.0,74,25,48
271350130,13.0,4.0,9.0,9.0,2.0,7.0,10.0,4.0,6.0,10.0,4.0,6.0,21,4,17
271350115,473.0,61.0,385.0,375.0,70.0,293.0,376.0,100.0,264.0,376.0,76.0,293.0,460,126,324
271350120,17.0,2.0,15.0,14.0,4.0,10.0,16.0,8.0,8.0,15.0,4.0,11.0,30,9,21
271350122,9.0,1.0,8.0,13.0,2.0,11.0,13.0,2.0,10.0,13.0,2.0,11.0,11,9,2
271350135,19.0,8.0,11.0,16.0,8.0,7.0,16.0,9.0,6.0,16.0,7.0,8.0,17,12,5
271350125,29.0,10.0,18.0,30.0,12.0,16.0,30.0,13.0,16.0,30.0,13.0,17.0,30,16,14
271350140,53.0,19.0,33.0,50.0,21.0,27.0,52.0,24.0,26.0,51.0,20.0,29.0,51,31,20
271350150,72.0,11.0,48.0,64.0,18.0,44.0,68.0,26.0,41.0,67.0,18.0,45.0,68,25,39
